source_id,title,eligible,parent_chunk_count,child_chunk_count,source_sha256,source_file
GUIDE_10,产污系数定量核算审核指南,True,3,3,a1954b843790fd2ec5fa734a3e8de8a56b08e317ed51ddd9f64f7f84f16137be,#10_产污系数定量核算指南.md
GUIDE_17,废气收集形式及排气量计算审核指南,True,4,4,152add41393fd50fce1145fddd0523d1fb00546a8b899a3230073fe246e52f19,#17_废气收集形式及排气量计算指南.md
GUIDE_18,废气收集风量与设计风量核算审核指南,True,4,4,4a4c7ec76f6014ccfbf944a84e31d4047a8db105654b0abc9e32d56c9a336d88,#18_废气收集风量与设计风量核算指南.md
GUIDE_19,废气收集效率判定审核指南,True,3,3,dccd6026c060ab606f4dec98ca714b44dd46658a6f48718d6d04370d84e82d6e,#19_废气收集效率判定指南.md
GUIDE_2,环评投资核算审核指南,True,3,3,148e5c9d9c991c671536192f19d8f3334be73b64af88e775d49d56f6db1c3c0d,#2_环评投资核算指南.md
GUIDE_5,建设内容编制完整性审核指南,True,3,3,ab0dc732b7706c63febf091905f686d9d3e507b042961ed9b9478bbc52a1b859,#5_建设内容编制完整性指南.md
GUIDE_6,大气环境,True,1,2,70d6a0966106900a6ffe428ccf1b986480fe68f5b5ba420f829e2d9eca9e236d,#6_2024年佛山市顺德区生态环境状态公报.txt
GUIDE_7,工业企业厂界环境噪声排放限值 (GB 12348-2008),True,1,1,cd428b8178c03d3743cb4e05d8bbac3c4c40a6909863ea0da59d538519df0534,#7_GB12348噪声排放限值.md
GUIDE_7,"城镇污水厂简称,排污口名称,排入水体,排污口类型,受纳水体名称,地表水评价标准,地表水执行标准,尾水污染物排放标准",True,1,5,9d11719ae7e5e9e901f73984ecf2059f9568fbc6bd70e0d9bd727203008116ac,#7_收纳水体地表水执行标准.csv
GUIDE_7,环境质量标准限值速查表,True,3,11,3f4db8f509f1fa0a545a54c6a4a93ac45cf0763b89c87961e6985e7ee320ab87,#7_环境质量标准限值速查.md
GUIDE_8,GB 31572-2015 合成树脂工业污染物排放标准 - 表4限值,True,1,2,2bce5e33461ba4c8376e1de66d4878ef75de16a0335b380d5d5eb5ea0b4dae41,#8_GB31572表4排放限值.md
GUIDE_8,"行业,污染物排放控制标准,类型,主要原辅材料,工序/污染源,产生,主要污染因子,排放形式,对应执行标准,排放限值",True,1,4,c3ebd6ecb3a314ee2b1ce3478eafb224c1a0f8c7999e2cb5bb939db995fd8e15,#8_塑料制品业典型污染源及执行标准.csv
GUIDE_8,塑料制品业典型污染源及执行标准,True,1,2,ebd01f6c56f8107ba3b29be2186931040170619ca9cdfa8f62cdc040f0bc4a4c,#8_塑料制品业典型污染源及执行标准.md
GUIDE_9,[,True,1,127,7558d4f9d1cc508e678417c90e753bf63f66e0473b3aeeab212769a464b271ef,#9_塑料制品业产污系数_废气.json
GUIDE_9,塑料制品业产污系数_废气_速查,True,2,4,43dacc3eee243a04b8650d0636360a69704053a07542de9b5f24ab6d130eacab,#9_塑料制品业产污系数_废气_速查.md
DB44_2367_2022,广 东 省 地,True,96,103,7fe09b65e469c84bca932a9c702859f9a2999549de0e64b8d948b1d53a629a5e,DB44_2367-2022.md
DB44_26_2001,DB44,True,41,74,8ec9a2ce14c07861b70c682908651e141a50454e5a70c7d77a8f769e75a3a0d0,DB44_26-2001.md
DB44_27_2001,ICS 13. 040. 40,True,28,80,b78898488547c8f19199113adc38e6fe0113b0ee1505831f49cd1e4f1c5c9319,DB44_27-2001.md
DB44_814_2010,ICS 13 040 40,True,56,58,29e466e3d23d8bca3930803354666f82202c4f8d153a538f472a335aa0f54d8f,DB44_814-2010.md
DB44_815_2010,ICS 13 040 40,True,90,93,b1570cddfea9de722fce44b2b870a4f9c3917e460e1783f22acd40d23e6ea434,DB44_815-2010.md
GB_12348_2008,中华人民共和国国家标准,True,37,41,b03ef2fa6b8c54951477c6d1ba8abc0765d9074b324f57237cd43875a743d378,GB_12348-2008.md
GB_14554_93,中华人民共和国国家标准,True,23,28,31341c46102dac41c5e8a2d12f01e399dc3fd4e1f2a3f38556a18588ab96784b,GB_14554-93.md
GB_16297_1996,中华人民共和国国家标准,True,48,79,32a93c46b942f3869addc65be5015887479e47f8281800613aa77268c2e9b641,GB_16297-1996.md
GB_18597_2023,中华人民共和国国家标准,True,29,30,ede47fbe398494be6debdaa9de251c40943d6d66cfbbc9dc9ca4fd2ffaafcd04,GB_18597-2023.md
GB_18599_2020,中华人民共和国国家标准,True,30,32,5088341db16c438f8dc86017a36c4701d9bc469cd1fb8c94646ed9525edbc3a6,GB_18599-2020.md
GB_3095_2012,附件：,True,25,32,266ce827de607939b0946b621af42a9d1494882c24b2426e3ff90cc6fb0a963d,GB_3095-2012.md
GB_3096_2008,ICS 13 140,True,77,78,3466851407d5dac70a6f6eee993e6132d88ec2e415a3bb3bd3af894c23d2b5cd,GB_3096-2008.md
GB_31572_2015,ICS 13.040.40,True,55,89,aeeac61d650f8b19c37e88aa734ca702f1579a896844dc616f17f5173eaf6198,GB_31572-2015.md
GB_33372_2020,中 华 人 民 共 和 国 国 家 标 准,True,89,92,c66ba0ac26ae1aa56f16abcd85d68eb11e9e43edb5abfa734358309f8752cba6,GB_33372-2020.md
GB_37822_2019,ICS 13.040.40,True,98,99,0cb472b332bda321189ce50f6c273a95db0552bb630906674bd8d7d646dddf66,GB_37822-2019.md
GB_3838_2002,中华人民共和国国家标准,True,18,44,9a3ed8ed34ef6ca3f3023f435683894b4580a037aa9eefc1ce74f7f157b5e426,GB_3838-2002.md
GB_38508_2020,中华人民共和国国家标准,True,28,29,2a6fe134ee1bad65459df93925c3b07a9a7bc5db4cead4e884ac999147682d08,GB_38508-2020.md
GB_41616_2022,中 华 人 民 共 和 国 国 家 标 准,True,48,56,d0a08a74f5a5d6a3f2eebc7b72e0e9f9fec484d4f0a022bb4aa2879a5a198d91,GB_41616-2022.md
GB_T_18920_2020,中华人民共和国国家标准,True,32,32,83de7006d28308a27885968638a130485013c136f80cfb87438fcac4fc71b206,GB_T_18920-2020.md
HJ_1122_2020,HJ,True,579,742,a52132124a4f0e60402858f8e64989f11ce27c7e3d895751ed219a443445b45c,HJ_1122-2020.md
HJ_1207_2021,![](images/f6ed6fac76b7ba5a2a2425c3095b397c78e14313ad1e9b3d2fbc840c3d8c44fd.jpg),True,38,51,feb6472dade1f5adaeaf7dda8cf9aaa7808248d9e4cfd2ba87e2347ec20c5dd0,HJ_1207-2021.md
HJ_169_2018,附件 1,True,164,242,ff8b9b2abe105cd2b717d3b442fd7b8a63f96d5f153a6a8053306d443f9018e6,HJ_169-2018.md
