chunk_id,source_id,chunk_type,content_length,content_sha256
2022年度佛山市顺德区生态环境状况公报_P001,2022年度佛山市顺德区生态环境状况公报,parent,146,35aa201647bb12a07919218dc1b82f45c496a5d32a2c5775a4d72a8e6d4406e3
2022年度佛山市顺德区生态环境状况公报_P002,2022年度佛山市顺德区生态环境状况公报,parent,204,163c94d46cc44951448a92551901600a018481e227225e0cfc813fdbeb8c1fef
2022年度佛山市顺德区生态环境状况公报_P003,2022年度佛山市顺德区生态环境状况公报,parent,536,a245f9c68e3ddbba404af652c7fd47eb703cf36ae01904825de968e0eedb7eb0
2022年度佛山市顺德区生态环境状况公报_P004,2022年度佛山市顺德区生态环境状况公报,parent,148,9cd5c9710219e0947286ee55f4907c22599375d0ab7b0c80fba59f4627876263
2022年度佛山市顺德区生态环境状况公报_P005,2022年度佛山市顺德区生态环境状况公报,parent,399,7da27675c10c5d9249d00a4e70cde0dc42f06a78e877c92d4f9d9e4dd4c4b844
2022年度佛山市顺德区生态环境状况公报_P006,2022年度佛山市顺德区生态环境状况公报,parent,719,79a9ea63446a8983292d3e1818e2ba10e2be6cd5d5951d19088a625b53e627d2
2022年度佛山市顺德区生态环境状况公报_P007,2022年度佛山市顺德区生态环境状况公报,parent,781,6d3a6bdaccc6ad3cfaad7953317220b33a5b73ae54d9fb38044d06e74384c7ec
2022年度佛山市顺德区生态环境状况公报_P008,2022年度佛山市顺德区生态环境状况公报,parent,593,3db0d9af8563fc5571b83fc3b394d4a93abed19727683ffa6ac493f86dec11f9
2022年度佛山市顺德区生态环境状况公报_P009,2022年度佛山市顺德区生态环境状况公报,parent,713,02f8d468cbcef9d832b6e850059631a124b74ea9db4d601b2d5058f23cae1ec1
2022年度佛山市顺德区生态环境状况公报_P010,2022年度佛山市顺德区生态环境状况公报,parent,707,77282b09ab1aa763f48c3f51c18b4e01dbd209749f35b88cf2faf34f3b7c687e
2022年度佛山市顺德区生态环境状况公报_P011,2022年度佛山市顺德区生态环境状况公报,parent,697,742d4a8e78e92d6f621b870393605a45709d65c8cf204f9fa347f7282bb24fc3
2022年度佛山市顺德区生态环境状况公报_P012,2022年度佛山市顺德区生态环境状况公报,parent,15,ba55da60180a4452d149f4064dd72ca3abc8523238a2b5ed9a46d500f803b56d
2022年度佛山市顺德区生态环境状况公报_C001,2022年度佛山市顺德区生态环境状况公报,child,146,
2022年度佛山市顺德区生态环境状况公报_C002,2022年度佛山市顺德区生态环境状况公报,child,204,
2022年度佛山市顺德区生态环境状况公报_C003,2022年度佛山市顺德区生态环境状况公报,child,536,
2022年度佛山市顺德区生态环境状况公报_C004,2022年度佛山市顺德区生态环境状况公报,child,148,
2022年度佛山市顺德区生态环境状况公报_C005,2022年度佛山市顺德区生态环境状况公报,child,399,
2022年度佛山市顺德区生态环境状况公报_C006,2022年度佛山市顺德区生态环境状况公报,child,719,
2022年度佛山市顺德区生态环境状况公报_C007,2022年度佛山市顺德区生态环境状况公报,child,781,
2022年度佛山市顺德区生态环境状况公报_C008,2022年度佛山市顺德区生态环境状况公报,child,593,
2022年度佛山市顺德区生态环境状况公报_C009,2022年度佛山市顺德区生态环境状况公报,child,713,
2022年度佛山市顺德区生态环境状况公报_C010,2022年度佛山市顺德区生态环境状况公报,child,707,
2022年度佛山市顺德区生态环境状况公报_C011,2022年度佛山市顺德区生态环境状况公报,child,697,
2022年度佛山市顺德区生态环境状况公报_C012,2022年度佛山市顺德区生态环境状况公报,child,15,
