chunk_id,source_id,chunk_type,content_length,content_sha256
DB44_814_2010_P001,DB44_814_2010,parent,48,d90d8ddb1b8de6e30b67469796f6710e1aab736f0fddfd467843768782e513cd
DB44_814_2010_P002,DB44_814_2010,parent,20,1b35b8058cd363d7f795cf67ea909e2000878cd7c6d9b44359a1e2664f04d5ee
DB44_814_2010_P003,DB44_814_2010,parent,151,f35ab394f2c6edb51fb2ffbaacac13c440c5a8ab250c46e40b23b02968fc556f
DB44_814_2010_P004,DB44_814_2010,parent,418,64112410d8217220183306135aca52b0d62c6a83d839e551f3c07b3079f4478e
DB44_814_2010_P005,DB44_814_2010,parent,386,5a56e60cc9b7dd69947874e2703102922406140a5df2cfacc10179cd9cff741f
DB44_814_2010_P006,DB44_814_2010,parent,112,32690f0f99dcb06c6a7c177f2c4235e4dc20f28907f690eb3d36a0c9133d6388
DB44_814_2010_P007,DB44_814_2010,parent,20,1b35b8058cd363d7f795cf67ea909e2000878cd7c6d9b44359a1e2664f04d5ee
DB44_814_2010_P008,DB44_814_2010,parent,127,b0eecf53636ec0c232cdd2b60aa34580ce27d3d3414d032095c11b51a6f4d856
DB44_814_2010_P009,DB44_814_2010,parent,234,418d973e6388599d652f64c966f708f64cee3df86b29713d289ad355aec8e9ec
DB44_814_2010_P010,DB44_814_2010,parent,26,350810645d26e321dc2a941e9cf93a3030a19fabaaf0317724194696c4293b80
DB44_814_2010_P011,DB44_814_2010,parent,200,9f16d3762c039d509f0a343baa7b2c4ca21625c622dfb101e3979479d99d6643
DB44_814_2010_P012,DB44_814_2010,parent,150,0db76ca794203b837869daa835c1152d9f0b294500a468cc14f43303805b48e8
DB44_814_2010_P013,DB44_814_2010,parent,6,5bc9bdf3de71d3e313bbf21be0bf3b67676680991641ece4da20fff217afb763
DB44_814_2010_P014,DB44_814_2010,parent,101,8e64b78ed276213160fbba9801204a4d4156146d5323f0cdd4e5bf5ce70de9ff
DB44_814_2010_P015,DB44_814_2010,parent,53,dbbd1ce5c6f2f5f41263b6dedc77ba282c91b54c1713b46a85b8ec9f3ffc3e76
DB44_814_2010_P016,DB44_814_2010,parent,130,e476c56713f5fab564abeefa39e57a3dfc75de4e77afa584a1cb4e65846cf71b
DB44_814_2010_P017,DB44_814_2010,parent,55,6b0c756710146472552c1c626eac7b942b92e27edf14f557dde9cfc2f7649c00
DB44_814_2010_P018,DB44_814_2010,parent,55,6001ff2da78260717f5bb41688d9fcaf3bf610354caf4a3aba327fbfd2478b5f
DB44_814_2010_P019,DB44_814_2010,parent,87,3e7658cb5a47f75a1c80f992a4f6ef273c2ba00109cb915d2eb5f525b8c163c9
DB44_814_2010_P020,DB44_814_2010,parent,9,d7b83c56c8c4b18cee4843f195698968d5dd65e2b12917c704d8b965a5dcbee0
DB44_814_2010_P021,DB44_814_2010,parent,286,02fdcce382be41c3c42b074071b4db76ed4a30a709d03896cb52c27b8d3d8bd2
DB44_814_2010_P022,DB44_814_2010,parent,906,33bcef57a61cce20489995f2530bde4e29f48cf582ddc961e98ce80825dc9a9a
DB44_814_2010_P023,DB44_814_2010,parent,390,e0c05d1041170f6edcc0abaae179cb47e36805e717e216066876b6e255be6cc9
DB44_814_2010_P024,DB44_814_2010,parent,61,6ffa801e20310af072a3c235c90d43bf2ca7f2b6f945f6c189a5b073eeb1a364
DB44_814_2010_P025,DB44_814_2010,parent,418,8542da0dde694596a79b56a7b69b9197a9a0bceb4e42e5efe3ea7fb45df13e4a
DB44_814_2010_P026,DB44_814_2010,parent,7,a2a12bcef8203c415192ceeee1365dc15e63d896b2f8a405cea0a1369ba3c966
DB44_814_2010_P027,DB44_814_2010,parent,100,1680bc80f4331bf69b83556cd4cb7104db77546daf4349e88b7a626b13bb49b9
DB44_814_2010_P028,DB44_814_2010,parent,923,0e0d9c4b4e204a0032f544d5f87157a16b979737f9d55e37aa4c97cdeed7eb6e
DB44_814_2010_P029,DB44_814_2010,parent,41,72f23c83788a5f85f072db678ed81dc59eebb36e086b491b120c888e4ebc4a3f
DB44_814_2010_P030,DB44_814_2010,parent,40,6f465b4e24c2eea194ab4dcd68ce952d987938f092f49d91e7c3abb863d4c730
DB44_814_2010_P031,DB44_814_2010,parent,7,641c1c666feabd7bd8467037cbd7b213f06d4fc1426a7a9436499b455dce8ead
DB44_814_2010_P032,DB44_814_2010,parent,10,d656a0a4f86e44f4817822c3c478792166ea5eeea49dcb30af92b317cd79dcac
