chunk_id,source_id,chunk_type,content_length,content_sha256
GB_16297_1996_P001,GB_16297_1996,parent,28,1bc3fbfada2492adeb772c0921cfe259f3a814503398bd800491034cd38e5bbc
GB_16297_1996_P002,GB_16297_1996,parent,13,21261d31fe4db198672a37ba544ed4df9f5dfcce9911945dcc7346cf29af9cc6
GB_16297_1996_P003,GB_16297_1996,parent,97,2ff165b0e00b24e5e747fd1af4534063310a48286897ba68a1c7188dfb8a6d34
GB_16297_1996_P004,GB_16297_1996,parent,209,4e357dc298cd9d357b5f1a8fd791db0c46eb4d0013dcb9918f7b6c15982b4157
GB_16297_1996_P005,GB_16297_1996,parent,668,ec7193c1cefd5f1a57b57eae820c03754383255db278a28902039a9b8ec9f187
GB_16297_1996_P006,GB_16297_1996,parent,13,fbcda4e7e1e27b1efed893e612b9b8171757e04405a0de66c79cb20c8e654fe9
GB_16297_1996_P007,GB_16297_1996,parent,13,21261d31fe4db198672a37ba544ed4df9f5dfcce9911945dcc7346cf29af9cc6
GB_16297_1996_P008,GB_16297_1996,parent,203,b4814914180e84b38e6465c03d88d9c66c8907ba3e1f3e774c4fc52470ca5fa1
GB_16297_1996_P009,GB_16297_1996,parent,13,3c57e601047226bc981e1e66ab02473f268376c41f5d0ba15a77001b45aaed4e
GB_16297_1996_P010,GB_16297_1996,parent,48,6572e4866f27446014901fd32e2583937c46e7ae7de738ecf2ba6adb36832e9d
GB_16297_1996_P011,GB_16297_1996,parent,467,d01f15bd2e81fafa4c334530963928fb9ab4b9d15f5375e2ade28f47ba4bfa6c
GB_16297_1996_P012,GB_16297_1996,parent,102,ab4f3563f96209a9664b68f74199360247e82a3cc012565a33507e55b4b62673
GB_16297_1996_P013,GB_16297_1996,parent,32,3e2c97faa41dc1b73a4ff00d54f0203b0f88c758457a81e9895e37d142fa3787
GB_16297_1996_P014,GB_16297_1996,parent,65,418e1e539d965fd54852ce3d1076f5e565d86067b1ec076fbbd48bdca0cd786a
GB_16297_1996_P015,GB_16297_1996,parent,79,0b257458cbb95e031e2108b7444369114b246929e1030531fcda91555e587e8b
GB_16297_1996_P016,GB_16297_1996,parent,79,9b8ba1d14f7bfd9d49f3641960cc35f905e0f6dcbb4e0ba2c6a9c2108a4fef7f
GB_16297_1996_P017,GB_16297_1996,parent,117,68f0cb2c3a96ce89f3133a0ecc0228f7cadf39acbe214d859f498e3c17c0fd81
GB_16297_1996_P018,GB_16297_1996,parent,50,4d4410a325e30ac9aab7546dbc321e5d55011074b27f7bcc80e603d1a757d6c6
GB_16297_1996_P019,GB_16297_1996,parent,47,225953b5bfe9845df8bff863299f44fbf868e3c08c1fb324cb70fffbe4d3d0c9
GB_16297_1996_P020,GB_16297_1996,parent,43,1def19c4aefbce0e0eaf6dda9e234c0d964562d67e8d08316d99d9288153327c
GB_16297_1996_P021,GB_16297_1996,parent,59,5bc6ff91805b870d259e5dfb0478a4f90661b972d67099deade11d90c1419edb
GB_16297_1996_P022,GB_16297_1996,parent,58,8ff08ce0982509df2806237a52c4dc696de0b9a0e147aeca19e9a49894c79b59
GB_16297_1996_P023,GB_16297_1996,parent,46,c9873de7802cdeea9b68a76200192f1f88f8191db7a40524e547340daceb368a
