chunk_id,source_id,chunk_type,content_length,content_sha256
GB_T_18920_2020_P001,GB_T_18920_2020,parent,50,dd1f62e2738cf4a856b9f444177c4aefa4be99c3df25fbdcfb9734e653a7f4ff
GB_T_18920_2020_P002,GB_T_18920_2020,parent,161,14d52decbb775ad1c8ee5334d762b173013651efb7979c0cf45996929c410ce2
GB_T_18920_2020_P003,GB_T_18920_2020,parent,56,05a0a06e097a4f37f0d289211c0b330e0250824dfaa7ee8696fa8ebaefb07577
GB_T_18920_2020_P004,GB_T_18920_2020,parent,537,8593a11ac820079e8e6749aaeea54bbbcbf0a71afd8d3fb8de6f4d493ca498ef
GB_T_18920_2020_P005,GB_T_18920_2020,parent,97,c893feb4edefd2d4578536be000204943b1313ec51ef47be0f50d1141160d5bc
GB_T_18920_2020_P006,GB_T_18920_2020,parent,535,7d1d71d07e7f11c8d22b722f150860c13135a5b1b035ea0e716f2d1d6e0cacbb
GB_T_18920_2020_P007,GB_T_18920_2020,parent,25,77a3108ff55e68522b6279c372417e27fd3e41402c6c68e2f3c674f78bd0306f
GB_T_18920_2020_P008,GB_T_18920_2020,parent,98,86ae0b816b9fb2ae456423438921a6f3c86b24fab90820148fbe6996b3426892
GB_T_18920_2020_P009,GB_T_18920_2020,parent,76,02f115ff9eea9f0f12bd5e85029aedf5311f41c8e1f5262df9f9aa5e74a0f477
GB_T_18920_2020_P010,GB_T_18920_2020,parent,38,3b99299e4d4ac79be16276480ce56cb3a9d2871001926fb3dc87b097f6e4d908
GB_T_18920_2020_P011,GB_T_18920_2020,parent,71,05ccda65b9965a5bd6c4c039f1939ccc9342d8166d5971ae09724ba579b6a37b
GB_T_18920_2020_P012,GB_T_18920_2020,parent,49,c9e428f870105c3a7a88aa38be141c967c1a091330440db5cd86a0476f9beb9d
GB_T_18920_2020_P013,GB_T_18920_2020,parent,44,64c2e525b4bfe3a914eb95978de4f1ea1d5515bb50fd5015a5ea8a512223889c
GB_T_18920_2020_P014,GB_T_18920_2020,parent,77,ec406fe7ef90c1a931cdbe1f8a5c3deb9d541985de7a7c6d67c93c13e497432d
GB_T_18920_2020_P015,GB_T_18920_2020,parent,8,19263cb2afaa25eddd048aaebf459a53d41b4d0af4b97091c7d177629ff3ff4f
