chunk_id,source_id,chunk_type,content_length,content_sha256
GUIDE_7_P001,GUIDE_7,parent,66,8910747b8c06cab003ed3e608e5903b934b34efe2687d0780c16efad1b4a5281
GUIDE_7_P002,GUIDE_7,parent,132,07c5984a030ba0e559609fe770852bc0a56d4313835688025445b9477b9d5375
GUIDE_7_P003,GUIDE_7,parent,6674,1293ed2bf136dfa9e17c5777b7ddfe8f86e1c996706c5a25a10bffeadf83943a
GUIDE_7_C001,GUIDE_7,child,66,
GUIDE_7_C002,GUIDE_7,child,132,
GUIDE_7_C003,GUIDE_7,child,894,
GUIDE_7_C004,GUIDE_7,child,885,
GUIDE_7_C005,GUIDE_7,child,898,
GUIDE_7_C006,GUIDE_7,child,859,
GUIDE_7_C007,GUIDE_7,child,900,
GUIDE_7_C008,GUIDE_7,child,898,
GUIDE_7_C009,GUIDE_7,child,897,
GUIDE_7_C010,GUIDE_7,child,892,
GUIDE_7_C011,GUIDE_7,child,751,
