chunk_id,source_id,chunk_type,content_length,content_sha256
NATIONAL_ECONOMIC_CLASSIFICATION_P001,NATIONAL_ECONOMIC_CLASSIFICATION,parent,380096,43615c845a23ce9b453e458863cb621bc97af41363878c1860e89619b3e5ea68
NATIONAL_ECONOMIC_CLASSIFICATION_C001,NATIONAL_ECONOMIC_CLASSIFICATION,child,895,
NATIONAL_ECONOMIC_CLASSIFICATION_C002,NATIONAL_ECONOMIC_CLASSIFICATION,child,884,
NATIONAL_ECONOMIC_CLASSIFICATION_C003,NATIONAL_ECONOMIC_CLASSIFICATION,child,881,
NATIONAL_ECONOMIC_CLASSIFICATION_C004,NATIONAL_ECONOMIC_CLASSIFICATION,child,895,
NATIONAL_ECONOMIC_CLASSIFICATION_C005,NATIONAL_ECONOMIC_CLASSIFICATION,child,887,
NATIONAL_ECONOMIC_CLASSIFICATION_C006,NATIONAL_ECONOMIC_CLASSIFICATION,child,898,
NATIONAL_ECONOMIC_CLASSIFICATION_C007,NATIONAL_ECONOMIC_CLASSIFICATION,child,878,
NATIONAL_ECONOMIC_CLASSIFICATION_C008,NATIONAL_ECONOMIC_CLASSIFICATION,child,900,
NATIONAL_ECONOMIC_CLASSIFICATION_C009,NATIONAL_ECONOMIC_CLASSIFICATION,child,892,
NATIONAL_ECONOMIC_CLASSIFICATION_C010,NATIONAL_ECONOMIC_CLASSIFICATION,child,886,
NATIONAL_ECONOMIC_CLASSIFICATION_C011,NATIONAL_ECONOMIC_CLASSIFICATION,child,890,
NATIONAL_ECONOMIC_CLASSIFICATION_C012,NATIONAL_ECONOMIC_CLASSIFICATION,child,889,
NATIONAL_ECONOMIC_CLASSIFICATION_C013,NATIONAL_ECONOMIC_CLASSIFICATION,child,899,
NATIONAL_ECONOMIC_CLASSIFICATION_C014,NATIONAL_ECONOMIC_CLASSIFICATION,child,893,
NATIONAL_ECONOMIC_CLASSIFICATION_C015,NATIONAL_ECONOMIC_CLASSIFICATION,child,892,
NATIONAL_ECONOMIC_CLASSIFICATION_C016,NATIONAL_ECONOMIC_CLASSIFICATION,child,898,
NATIONAL_ECONOMIC_CLASSIFICATION_C017,NATIONAL_ECONOMIC_CLASSIFICATION,child,898,
NATIONAL_ECONOMIC_CLASSIFICATION_C018,NATIONAL_ECONOMIC_CLASSIFICATION,child,890,
NATIONAL_ECONOMIC_CLASSIFICATION_C019,NATIONAL_ECONOMIC_CLASSIFICATION,child,894,
NATIONAL_ECONOMIC_CLASSIFICATION_C020,NATIONAL_ECONOMIC_CLASSIFICATION,child,895,
NATIONAL_ECONOMIC_CLASSIFICATION_C021,NATIONAL_ECONOMIC_CLASSIFICATION,child,890,
NATIONAL_ECONOMIC_CLASSIFICATION_C022,NATIONAL_ECONOMIC_CLASSIFICATION,child,873,
NATIONAL_ECONOMIC_CLASSIFICATION_C023,NATIONAL_ECONOMIC_CLASSIFICATION,child,898,
NATIONAL_ECONOMIC_CLASSIFICATION_C024,NATIONAL_ECONOMIC_CLASSIFICATION,child,892,
NATIONAL_ECONOMIC_CLASSIFICATION_C025,NATIONAL_ECONOMIC_CLASSIFICATION,child,896,
NATIONAL_ECONOMIC_CLASSIFICATION_C026,NATIONAL_ECONOMIC_CLASSIFICATION,child,888,
NATIONAL_ECONOMIC_CLASSIFICATION_C027,NATIONAL_ECONOMIC_CLASSIFICATION,child,884,
NATIONAL_ECONOMIC_CLASSIFICATION_C028,NATIONAL_ECONOMIC_CLASSIFICATION,child,873,
NATIONAL_ECONOMIC_CLASSIFICATION_C029,NATIONAL_ECONOMIC_CLASSIFICATION,child,895,
NATIONAL_ECONOMIC_CLASSIFICATION_C030,NATIONAL_ECONOMIC_CLASSIFICATION,child,892,
NATIONAL_ECONOMIC_CLASSIFICATION_C031,NATIONAL_ECONOMIC_CLASSIFICATION,child,875,
NATIONAL_ECONOMIC_CLASSIFICATION_C032,NATIONAL_ECONOMIC_CLASSIFICATION,child,887,
NATIONAL_ECONOMIC_CLASSIFICATION_C033,NATIONAL_ECONOMIC_CLASSIFICATION,child,885,
NATIONAL_ECONOMIC_CLASSIFICATION_C034,NATIONAL_ECONOMIC_CLASSIFICATION,child,888,
NATIONAL_ECONOMIC_CLASSIFICATION_C035,NATIONAL_ECONOMIC_CLASSIFICATION,child,853,
NATIONAL_ECONOMIC_CLASSIFICATION_C036,NATIONAL_ECONOMIC_CLASSIFICATION,child,900,
NATIONAL_ECONOMIC_CLASSIFICATION_C037,NATIONAL_ECONOMIC_CLASSIFICATION,child,890,
NATIONAL_ECONOMIC_CLASSIFICATION_C038,NATIONAL_ECONOMIC_CLASSIFICATION,child,893,
NATIONAL_ECONOMIC_CLASSIFICATION_C039,NATIONAL_ECONOMIC_CLASSIFICATION,child,896,
NATIONAL_ECONOMIC_CLASSIFICATION_C040,NATIONAL_ECONOMIC_CLASSIFICATION,child,885,
