chunk_id,source_id,chunk_type,content_length,content_sha256
PLASTIC_RUBBER_CLASSIFICATION_P001,PLASTIC_RUBBER_CLASSIFICATION,parent,151,a10f196e0c1427c28ce73830c47e784a1ad5b1abe7e85e5b3625168c95b40dac
PLASTIC_RUBBER_CLASSIFICATION_P002,PLASTIC_RUBBER_CLASSIFICATION,parent,293,a53197127ccdf1a8cf24881d7bf78d5126524455b670b3fc3dfaef7be34db102
PLASTIC_RUBBER_CLASSIFICATION_P003,PLASTIC_RUBBER_CLASSIFICATION,parent,204,813c613b23118f5a007a370a3bd03fd842ab9a5adcc5b078ad0187bfbc1efa1e
PLASTIC_RUBBER_CLASSIFICATION_P004,PLASTIC_RUBBER_CLASSIFICATION,parent,560,38c5f25125deaeffc71e2540fd4d03b89d8987d855c0f597fcd7b29cd4136578
PLASTIC_RUBBER_CLASSIFICATION_P005,PLASTIC_RUBBER_CLASSIFICATION,parent,283,fa26778c997f2ab268274d096ac45289cdb14e57dd0162776d77a1a828ce6836
PLASTIC_RUBBER_CLASSIFICATION_P006,PLASTIC_RUBBER_CLASSIFICATION,parent,217,2ba5b8141e2f7e7508ead71d115f69bd501c874092ba448fbb9a9fec3846e4c5
PLASTIC_RUBBER_CLASSIFICATION_C001,PLASTIC_RUBBER_CLASSIFICATION,child,151,
PLASTIC_RUBBER_CLASSIFICATION_C002,PLASTIC_RUBBER_CLASSIFICATION,child,293,
PLASTIC_RUBBER_CLASSIFICATION_C003,PLASTIC_RUBBER_CLASSIFICATION,child,204,
PLASTIC_RUBBER_CLASSIFICATION_C004,PLASTIC_RUBBER_CLASSIFICATION,child,560,
PLASTIC_RUBBER_CLASSIFICATION_C005,PLASTIC_RUBBER_CLASSIFICATION,child,283,
PLASTIC_RUBBER_CLASSIFICATION_C006,PLASTIC_RUBBER_CLASSIFICATION,child,217,
