standard_id,title,primary_source_ids,mapping_status
STD-DIFY-01-001,国民经济行业分类代码字段规范化与匹配,,derived_only_needs_traceback
STD-DIFY-01-002,塑料制品业 C292 适用边界,,derived_only_needs_traceback
STD-DIFY-02-001,总投资与项目规模匹配性审核,,derived_only_needs_traceback
STD-DIFY-03-001,顺德三线一单管控单元匹配,,derived_only_needs_traceback
STD-DIFY-03-002,顺德管控单元准入清单一致性审核,,derived_only_needs_traceback
STD-DIFY-04-001,建设内容工程组成完整性,,derived_only_needs_traceback
STD-DIFY-05-001,顺德区环境状态公报数据引用核对,,derived_only_needs_traceback
STD-DIFY-06-001,环境空气质量标准 GB3095 一级/二级适用,,derived_only_needs_traceback
STD-DIFY-06-002,地表水环境质量标准 GB3838 类别限值,,derived_only_needs_traceback
STD-DIFY-06-003,顺德污水厂受纳水体与地表水类别速查,,derived_only_needs_traceback
STD-DIFY-06-004,声环境质量标准 GB3096 功能区限值,,derived_only_needs_traceback
STD-DIFY-07-001,塑料制品业 NMHC 有组织排放 GB31572 限值,AIR_GB31572_2015_MOD,mapped_primary_source
STD-DIFY-07-002,广东固定污染源 VOCs 综合排放 DB44/2367 限值,AIR_DB44_2367_2022,mapped_primary_source
STD-DIFY-07-003,臭气浓度 GB14554 有组织与厂界无组织限值,AIR_GB14554_93,mapped_primary_source
STD-DIFY-07-004,颗粒物 DB44/27 第二时段限值,AIR_DB44_27_2001,mapped_primary_source
STD-DIFY-07-005,工业企业厂界环境噪声排放 GB12348 限值,NOISE_GB12348_2008,mapped_primary_source
STD-DIFY-07-006,生活污水预处理与尾水排放标准衔接,WATER_DB44_26_2001,mapped_primary_source
STD-DIFY-08-001,塑料制品业废气产污系数选用边界,,derived_only_needs_traceback
STD-DIFY-09-001,产污量定量核算公式完整性,,derived_only_needs_traceback
STD-DIFY-10-001,废气收集形式与控制风速要求,AIR_GB37822_2019,mapped_primary_source
STD-DIFY-10-002,集气罩排气量计算公式,,derived_only_needs_traceback
STD-DIFY-11-001,设计风量、漏风系数与风机匹配,,derived_only_needs_traceback
STD-DIFY-11-002,废气管道与排气筒设计风速,,derived_only_needs_traceback
STD-DIFY-12-001,VOCs 废气收集效率取值表,,derived_only_needs_traceback
STD-DIFY-13-001,活性炭吸附治理参数完整性,AIR_DB44_2367_2022;AIR_GB37822_2019,mapped_primary_source
STD-DIFY-14-001,危险废物识别、贮存与一般固废区分,,derived_only_needs_traceback
STD-DIFY-15-001,VOCs 产生量、收集量、削减量、排放量总量链条,,derived_only_needs_traceback
STD-DIFY-SRC-001,大气污染物综合排放标准 GB16297,AIR_GB16297_1996,mapped_primary_source
STD-DIFY-SRC-002,广东家具制造行业挥发性有机化合物排放标准 DB44/814,,derived_only_needs_traceback
STD-DIFY-SRC-003,广东印刷行业挥发性有机化合物排放标准 DB44/815,,derived_only_needs_traceback
STD-DIFY-SRC-004,胶粘剂挥发性有机化合物限量 GB33372,AIR_GB33372_2020,mapped_primary_source
STD-DIFY-SRC-005,清洗剂挥发性有机化合物含量限值 GB38508,AIR_GB38508_2020,mapped_primary_source
STD-DIFY-SRC-006,印刷工业大气污染物排放标准 GB41616,AIR_GB41616_2022,mapped_primary_source
STD-DIFY-SRC-007,排污许可证申请与核发技术规范 橡胶和塑料制品工业 HJ1122,,derived_only_needs_traceback
STD-DIFY-SRC-008,排污单位自行监测技术指南 橡胶和塑料制品 HJ1207,,derived_only_needs_traceback
STD-DIFY-SRC-009,排污单位自行监测技术指南 总则 HJ819,,derived_only_needs_traceback
STD-DIFY-SRC-010,污染源源强核算技术指南 准则 HJ884,,derived_only_needs_traceback
