standard_id,title,reason
STD-DIFY-01-001,国民经济行业分类代码字段规范化与匹配,未能由标准号/标题自动映射到正式来源清单
STD-DIFY-01-002,塑料制品业 C292 适用边界,未能由标准号/标题自动映射到正式来源清单
STD-DIFY-02-001,总投资与项目规模匹配性审核,未能由标准号/标题自动映射到正式来源清单
STD-DIFY-03-001,顺德三线一单管控单元匹配,未能由标准号/标题自动映射到正式来源清单
STD-DIFY-03-002,顺德管控单元准入清单一致性审核,未能由标准号/标题自动映射到正式来源清单
STD-DIFY-04-001,建设内容工程组成完整性,未能由标准号/标题自动映射到正式来源清单
STD-DIFY-05-001,顺德区环境状态公报数据引用核对,未能由标准号/标题自动映射到正式来源清单
STD-DIFY-06-001,环境空气质量标准 GB3095 一级/二级适用,未能由标准号/标题自动映射到正式来源清单
STD-DIFY-06-002,地表水环境质量标准 GB3838 类别限值,未能由标准号/标题自动映射到正式来源清单
STD-DIFY-06-003,顺德污水厂受纳水体与地表水类别速查,未能由标准号/标题自动映射到正式来源清单
STD-DIFY-06-004,声环境质量标准 GB3096 功能区限值,未能由标准号/标题自动映射到正式来源清单
STD-DIFY-08-001,塑料制品业废气产污系数选用边界,未能由标准号/标题自动映射到正式来源清单
STD-DIFY-09-001,产污量定量核算公式完整性,未能由标准号/标题自动映射到正式来源清单
STD-DIFY-10-002,集气罩排气量计算公式,未能由标准号/标题自动映射到正式来源清单
STD-DIFY-11-001,设计风量、漏风系数与风机匹配,未能由标准号/标题自动映射到正式来源清单
STD-DIFY-11-002,废气管道与排气筒设计风速,未能由标准号/标题自动映射到正式来源清单
STD-DIFY-12-001,VOCs 废气收集效率取值表,未能由标准号/标题自动映射到正式来源清单
STD-DIFY-14-001,危险废物识别、贮存与一般固废区分,未能由标准号/标题自动映射到正式来源清单
STD-DIFY-15-001,VOCs 产生量、收集量、削减量、排放量总量链条,未能由标准号/标题自动映射到正式来源清单
STD-DIFY-SRC-002,广东家具制造行业挥发性有机化合物排放标准 DB44/814,未能由标准号/标题自动映射到正式来源清单
STD-DIFY-SRC-003,广东印刷行业挥发性有机化合物排放标准 DB44/815,未能由标准号/标题自动映射到正式来源清单
STD-DIFY-SRC-007,排污许可证申请与核发技术规范 橡胶和塑料制品工业 HJ1122,未能由标准号/标题自动映射到正式来源清单
STD-DIFY-SRC-008,排污单位自行监测技术指南 橡胶和塑料制品 HJ1207,未能由标准号/标题自动映射到正式来源清单
STD-DIFY-SRC-009,排污单位自行监测技术指南 总则 HJ819,未能由标准号/标题自动映射到正式来源清单
STD-DIFY-SRC-010,污染源源强核算技术指南 准则 HJ884,未能由标准号/标题自动映射到正式来源清单
