standard_id,programmatic_fields,formal_rag_policy
STD-DIFY-01-001,check_logic;evidence_fields;normative_requirements,metadata_or_routing_only
STD-DIFY-01-002,check_logic;evidence_fields;normative_requirements,metadata_or_routing_only
STD-DIFY-02-001,check_logic;evidence_fields;normative_requirements,metadata_or_routing_only
STD-DIFY-03-001,check_logic;evidence_fields;normative_requirements,metadata_or_routing_only
STD-DIFY-03-002,check_logic;evidence_fields;normative_requirements,metadata_or_routing_only
STD-DIFY-04-001,check_logic;evidence_fields;normative_requirements,metadata_or_routing_only
STD-DIFY-05-001,check_logic;evidence_fields;normative_requirements,metadata_or_routing_only
STD-DIFY-06-001,check_logic;evidence_fields;normative_requirements,metadata_or_routing_only
STD-DIFY-06-002,check_logic;evidence_fields;normative_requirements,metadata_or_routing_only
STD-DIFY-06-003,check_logic;evidence_fields;normative_requirements,metadata_or_routing_only
STD-DIFY-06-004,check_logic;evidence_fields;normative_requirements,metadata_or_routing_only
STD-DIFY-07-001,check_logic;evidence_fields;normative_requirements,metadata_or_routing_only
STD-DIFY-07-002,check_logic;evidence_fields;normative_requirements,metadata_or_routing_only
STD-DIFY-07-003,check_logic;evidence_fields;normative_requirements,metadata_or_routing_only
STD-DIFY-07-004,check_logic;evidence_fields;normative_requirements,metadata_or_routing_only
STD-DIFY-07-005,check_logic;evidence_fields;normative_requirements,metadata_or_routing_only
STD-DIFY-07-006,check_logic;evidence_fields;normative_requirements,metadata_or_routing_only
STD-DIFY-08-001,check_logic;evidence_fields;normative_requirements,metadata_or_routing_only
STD-DIFY-09-001,check_logic;evidence_fields;normative_requirements,metadata_or_routing_only
STD-DIFY-10-001,check_logic;evidence_fields;normative_requirements,metadata_or_routing_only
STD-DIFY-10-002,check_logic;evidence_fields;normative_requirements,metadata_or_routing_only
STD-DIFY-11-001,check_logic;evidence_fields;normative_requirements,metadata_or_routing_only
STD-DIFY-11-002,check_logic;evidence_fields;normative_requirements,metadata_or_routing_only
STD-DIFY-12-001,check_logic;evidence_fields;normative_requirements,metadata_or_routing_only
STD-DIFY-13-001,check_logic;evidence_fields;normative_requirements,metadata_or_routing_only
STD-DIFY-14-001,check_logic;evidence_fields;normative_requirements,metadata_or_routing_only
STD-DIFY-15-001,check_logic;evidence_fields;normative_requirements,metadata_or_routing_only
STD-DIFY-SRC-001,check_logic;evidence_fields;normative_requirements,metadata_or_routing_only
STD-DIFY-SRC-002,check_logic;evidence_fields;normative_requirements,metadata_or_routing_only
STD-DIFY-SRC-003,check_logic;evidence_fields;normative_requirements,metadata_or_routing_only
STD-DIFY-SRC-004,check_logic;evidence_fields;normative_requirements,metadata_or_routing_only
STD-DIFY-SRC-005,check_logic;evidence_fields;normative_requirements,metadata_or_routing_only
STD-DIFY-SRC-006,check_logic;evidence_fields;normative_requirements,metadata_or_routing_only
STD-DIFY-SRC-007,check_logic;evidence_fields;normative_requirements,metadata_or_routing_only
STD-DIFY-SRC-008,check_logic;evidence_fields;normative_requirements,metadata_or_routing_only
STD-DIFY-SRC-009,check_logic;evidence_fields;normative_requirements,metadata_or_routing_only
STD-DIFY-SRC-010,check_logic;evidence_fields;normative_requirements,metadata_or_routing_only
