sample_id,project_name,report_section,applicable_object,pollutant_or_item,standard_name,standard_code,applicable_clause_or_table,limit_or_requirement,original_text,suggested_workflow,note
S01,佛山市顺德区菱昌精密塑料五金实业有限公司新建项目,项目固体废物执行《中华人民共和国固体废物污染环境防治法》（2020年修订版）、《广东省固体废物污染环境防治条例》、《广东省城市垃圾管理条例》、《固体废物,危险废物贮存/管理,危险废物,危险废物贮存污染控制标准,GB18597-2023,,满足防渗 漏、防雨淋、防扬尘等环境保护要求；执行《国家危险废物名录》（2021年 版）、《危险废物贮存污染控制标准》（GB18597-2023）、《危险废物收集贮存运 输技术规范》（HJ2025-2012）相关要求,## 4、固体废物排放标准 | 鉴别标准通则》（GB34330-2017）等。一般工业固体废物储存周转场地需要满足防渗 漏、防雨淋、防扬尘等环境保护要求。危险废物执行《国家危险废物名录》（2021年 版）、《危险废物贮存污染控制标准》（GB18597-2023）、《危险废物收集贮存运 输技术规范》（HJ2025-2012）相关要求。,8-污染物排放标准内容判断,报告原文重抽命中，但checked主库未匹配到等价条款，需人工复核
S01,佛山市顺德区菱昌精密塑料五金实业有限公司新建项目,项目固体废物执行《中华人民共和国固体废物污染环境防治法》（2020年修订版）、《广东省固体废物污染环境防治条例》、《广东省城市垃圾管理条例》、《固体废物,危险废物贮存/管理,一般工业固体废物,危险废物贮存污染控制标准,GB18597-2023,,满足防渗 漏、防雨淋、防扬尘等环境保护要求；执行《国家危险废物名录》（2021年 版）、《危险废物贮存污染控制标准》（GB18597-2023）、《危险废物收集贮存运 输技术规范》（HJ2025-2012）相关要求,## 4、固体废物排放标准 | 鉴别标准通则》（GB34330-2017）等。一般工业固体废物储存周转场地需要满足防渗 漏、防雨淋、防扬尘等环境保护要求。危险废物执行《国家危险废物名录》（2021年 版）、《危险废物贮存污染控制标准》（GB18597-2023）、《危险废物收集贮存运 输技术规范》（HJ2025-2012）相关要求。,8-污染物排放标准内容判断,报告原文重抽命中，但checked主库未匹配到等价条款，需人工复核
S01,佛山市顺德区菱昌精密塑料五金实业有限公司新建项目,五、环境保护措施监督检查清单,厂界废气/噪声,BOD5,危险废物贮存污染控制标准,GB18597-2023,第二,3类；4类；>广东省《水污染物排放限值》（DB44/26-2001）第二时段三级标准 BOD5 NH3-N SS 冷却水 冻水机冷却水定期排水，属于间接冷却水，通过市政雨水管网排入附近河涌，不计入污水总量 声环境 生产设备 建议合理布局厂房，使用低噪声的生产设备，墙体隔音、距离衰减 《工业企业；满足相应防渗 漏、防雨淋、防扬尘等环境保护要求，并依法处理处置；须满 足《危险废物贮存污染控制标准》（GB18597-2023）相关要求，危险废物委托有 资质的单位进行处理处置,lspan=1>广东省《水污染物排放限值》（DB44/26-2001）第二时段三级标准 BOD5 NH3-N SS 冷却水 冻水机冷却水定期排水，属于间接冷却水，通过市政雨水管网排入附近河涌，不计入污水总量 声环境 生产设备 建议合理布局厂房，使用低噪声的生产设备，墙体隔音、距离衰减 《工业企业厂界环境噪声排放标准》（GB12348-2008）3类、4类标准 | 固体废 物 土壤及 | 体废物贮存及处置应符合法律法规及国家污染物控制标准要求。一般工业固废经 收集后交由专业回收公司回收处理，一般工业固体废物贮存过程应满足相应防渗 漏、防雨淋、防扬尘等环境保护要求，并依法处理处置；危险废物贮存场所须满 足《危险废物贮存污染控制标准》（GB18597-2023）相关要求，危险废物委托有 资质的单位进行处理处置。生活垃圾交由环卫部门处理。,8-污染物排放标准内容判断,报告原文重抽命中，但checked主库未匹配到等价条款，需人工复核
S01,佛山市顺德区菱昌精密塑料五金实业有限公司新建项目,五、环境保护措施监督检查清单,厂界废气/噪声,SS,危险废物贮存污染控制标准,GB18597-2023,第二,3类；4类；>广东省《水污染物排放限值》（DB44/26-2001）第二时段三级标准 BOD5 NH3-N SS 冷却水 冻水机冷却水定期排水，属于间接冷却水，通过市政雨水管网排入附近河涌，不计入污水总量 声环境 生产设备 建议合理布局厂房，使用低噪声的生产设备，墙体隔音、距离衰减 《工业企业；满足相应防渗 漏、防雨淋、防扬尘等环境保护要求，并依法处理处置；须满 足《危险废物贮存污染控制标准》（GB18597-2023）相关要求，危险废物委托有 资质的单位进行处理处置,lspan=1>广东省《水污染物排放限值》（DB44/26-2001）第二时段三级标准 BOD5 NH3-N SS 冷却水 冻水机冷却水定期排水，属于间接冷却水，通过市政雨水管网排入附近河涌，不计入污水总量 声环境 生产设备 建议合理布局厂房，使用低噪声的生产设备，墙体隔音、距离衰减 《工业企业厂界环境噪声排放标准》（GB12348-2008）3类、4类标准 | 固体废 物 土壤及 | 体废物贮存及处置应符合法律法规及国家污染物控制标准要求。一般工业固废经 收集后交由专业回收公司回收处理，一般工业固体废物贮存过程应满足相应防渗 漏、防雨淋、防扬尘等环境保护要求，并依法处理处置；危险废物贮存场所须满 足《危险废物贮存污染控制标准》（GB18597-2023）相关要求，危险废物委托有 资质的单位进行处理处置。生活垃圾交由环卫部门处理。,8-污染物排放标准内容判断,报告原文重抽命中，但checked主库未匹配到等价条款，需人工复核
S01,佛山市顺德区菱昌精密塑料五金实业有限公司新建项目,五、环境保护措施监督检查清单,厂界废气/噪声,噪声,危险废物贮存污染控制标准,GB18597-2023,第二,3类；4类；>广东省《水污染物排放限值》（DB44/26-2001）第二时段三级标准 BOD5 NH3-N SS 冷却水 冻水机冷却水定期排水，属于间接冷却水，通过市政雨水管网排入附近河涌，不计入污水总量 声环境 生产设备 建议合理布局厂房，使用低噪声的生产设备，墙体隔音、距离衰减 《工业企业；满足相应防渗 漏、防雨淋、防扬尘等环境保护要求，并依法处理处置；须满 足《危险废物贮存污染控制标准》（GB18597-2023）相关要求，危险废物委托有 资质的单位进行处理处置,lspan=1>广东省《水污染物排放限值》（DB44/26-2001）第二时段三级标准 BOD5 NH3-N SS 冷却水 冻水机冷却水定期排水，属于间接冷却水，通过市政雨水管网排入附近河涌，不计入污水总量 声环境 生产设备 建议合理布局厂房，使用低噪声的生产设备，墙体隔音、距离衰减 《工业企业厂界环境噪声排放标准》（GB12348-2008）3类、4类标准 | 固体废 物 土壤及 | 体废物贮存及处置应符合法律法规及国家污染物控制标准要求。一般工业固废经 收集后交由专业回收公司回收处理，一般工业固体废物贮存过程应满足相应防渗 漏、防雨淋、防扬尘等环境保护要求，并依法处理处置；危险废物贮存场所须满 足《危险废物贮存污染控制标准》（GB18597-2023）相关要求，危险废物委托有 资质的单位进行处理处置。生活垃圾交由环卫部门处理。,8-污染物排放标准内容判断,报告原文重抽命中，但checked主库未匹配到等价条款，需人工复核
S01,佛山市顺德区菱昌精密塑料五金实业有限公司新建项目,五、环境保护措施监督检查清单,厂界废气/噪声,危险废物,危险废物贮存污染控制标准,GB18597-2023,第二,3类；4类；>广东省《水污染物排放限值》（DB44/26-2001）第二时段三级标准 BOD5 NH3-N SS 冷却水 冻水机冷却水定期排水，属于间接冷却水，通过市政雨水管网排入附近河涌，不计入污水总量 声环境 生产设备 建议合理布局厂房，使用低噪声的生产设备，墙体隔音、距离衰减 《工业企业；满足相应防渗 漏、防雨淋、防扬尘等环境保护要求，并依法处理处置；须满 足《危险废物贮存污染控制标准》（GB18597-2023）相关要求，危险废物委托有 资质的单位进行处理处置,lspan=1>广东省《水污染物排放限值》（DB44/26-2001）第二时段三级标准 BOD5 NH3-N SS 冷却水 冻水机冷却水定期排水，属于间接冷却水，通过市政雨水管网排入附近河涌，不计入污水总量 声环境 生产设备 建议合理布局厂房，使用低噪声的生产设备，墙体隔音、距离衰减 《工业企业厂界环境噪声排放标准》（GB12348-2008）3类、4类标准 | 固体废 物 土壤及 | 体废物贮存及处置应符合法律法规及国家污染物控制标准要求。一般工业固废经 收集后交由专业回收公司回收处理，一般工业固体废物贮存过程应满足相应防渗 漏、防雨淋、防扬尘等环境保护要求，并依法处理处置；危险废物贮存场所须满 足《危险废物贮存污染控制标准》（GB18597-2023）相关要求，危险废物委托有 资质的单位进行处理处置。生活垃圾交由环卫部门处理。,8-污染物排放标准内容判断,报告原文重抽命中，但checked主库未匹配到等价条款，需人工复核
S01,佛山市顺德区菱昌精密塑料五金实业有限公司新建项目,五、环境保护措施监督检查清单,厂界废气/噪声,一般工业固体废物,危险废物贮存污染控制标准,GB18597-2023,第二,3类；4类；>广东省《水污染物排放限值》（DB44/26-2001）第二时段三级标准 BOD5 NH3-N SS 冷却水 冻水机冷却水定期排水，属于间接冷却水，通过市政雨水管网排入附近河涌，不计入污水总量 声环境 生产设备 建议合理布局厂房，使用低噪声的生产设备，墙体隔音、距离衰减 《工业企业；满足相应防渗 漏、防雨淋、防扬尘等环境保护要求，并依法处理处置；须满 足《危险废物贮存污染控制标准》（GB18597-2023）相关要求，危险废物委托有 资质的单位进行处理处置,lspan=1>广东省《水污染物排放限值》（DB44/26-2001）第二时段三级标准 BOD5 NH3-N SS 冷却水 冻水机冷却水定期排水，属于间接冷却水，通过市政雨水管网排入附近河涌，不计入污水总量 声环境 生产设备 建议合理布局厂房，使用低噪声的生产设备，墙体隔音、距离衰减 《工业企业厂界环境噪声排放标准》（GB12348-2008）3类、4类标准 | 固体废 物 土壤及 | 体废物贮存及处置应符合法律法规及国家污染物控制标准要求。一般工业固废经 收集后交由专业回收公司回收处理，一般工业固体废物贮存过程应满足相应防渗 漏、防雨淋、防扬尘等环境保护要求，并依法处理处置；危险废物贮存场所须满 足《危险废物贮存污染控制标准》（GB18597-2023）相关要求，危险废物委托有 资质的单位进行处理处置。生活垃圾交由环卫部门处理。,8-污染物排放标准内容判断,报告原文重抽命中，但checked主库未匹配到等价条款，需人工复核
S01,佛山市顺德区菱昌精密塑料五金实业有限公司新建项目,五、环境保护措施监督检查清单,厂界废气/噪声,生活垃圾,危险废物贮存污染控制标准,GB18597-2023,第二,3类；4类；>广东省《水污染物排放限值》（DB44/26-2001）第二时段三级标准 BOD5 NH3-N SS 冷却水 冻水机冷却水定期排水，属于间接冷却水，通过市政雨水管网排入附近河涌，不计入污水总量 声环境 生产设备 建议合理布局厂房，使用低噪声的生产设备，墙体隔音、距离衰减 《工业企业；满足相应防渗 漏、防雨淋、防扬尘等环境保护要求，并依法处理处置；须满 足《危险废物贮存污染控制标准》（GB18597-2023）相关要求，危险废物委托有 资质的单位进行处理处置,lspan=1>广东省《水污染物排放限值》（DB44/26-2001）第二时段三级标准 BOD5 NH3-N SS 冷却水 冻水机冷却水定期排水，属于间接冷却水，通过市政雨水管网排入附近河涌，不计入污水总量 声环境 生产设备 建议合理布局厂房，使用低噪声的生产设备，墙体隔音、距离衰减 《工业企业厂界环境噪声排放标准》（GB12348-2008）3类、4类标准 | 固体废 物 土壤及 | 体废物贮存及处置应符合法律法规及国家污染物控制标准要求。一般工业固废经 收集后交由专业回收公司回收处理，一般工业固体废物贮存过程应满足相应防渗 漏、防雨淋、防扬尘等环境保护要求，并依法处理处置；危险废物贮存场所须满 足《危险废物贮存污染控制标准》（GB18597-2023）相关要求，危险废物委托有 资质的单位进行处理处置。生活垃圾交由环卫部门处理。,8-污染物排放标准内容判断,报告原文重抽命中，但checked主库未匹配到等价条款，需人工复核
S01,佛山市顺德区菱昌精密塑料五金实业有限公司新建项目,②本项目产生的危险废物主要为废液压油、废机油、废含油抹布、废油桶、废活性炭。,危险废物贮存/管理,危险废物,危险废物贮存污染控制标准,GB18597-2023,,达到合法合理处置的目的，本评价按照《危险废物贮存污染控制标准》（GB18597-2023）等国家相关法律，提出相应的治理措施，以进一步规范项目在收集、贮运、处置方式等操作过程,危险废物从产生、收集、贮运、转运、处置等各个环节都可能因管理不善而进入环境，因此在各个环节中，抛落、渗漏、丢弃等不完善问题都可能存在，为了使各种危险废物能更好的达到合法合理处置的目的，本评价按照《危险废物贮存污染控制标准》（GB18597-2023）等国家相关法律，提出相应的治理措施，以进一步规范项目在收集、贮运、处置方式等操作过程。,8-污染物排放标准内容判断,报告原文重抽命中，但checked主库未匹配到等价条款，需人工复核
S01,佛山市顺德区菱昌精密塑料五金实业有限公司新建项目,②本项目产生的危险废物主要为废液压油、废机油、废含油抹布、废油桶、废活性炭。,危险废物贮存/管理,危险废物,危险废物贮存污染控制标准,GB18597-2023,,因此，建设单位应根据废物特性设置符合《危险废物贮存污染控制标准》（GB18597-2023）要求的危险废物暂存场所，且在暂存场所上空设有防雨淋设施，地面采取防渗措施，危险废物收集后分别临时贮存于废物储罐内；,因此，建设单位应根据废物特性设置符合《危险废物贮存污染控制标准》（GB18597-2023）要求的危险废物暂存场所，且在暂存场所上空设有防雨淋设施，地面采取防渗措施，危险废物收集后分别临时贮存于废物储罐内；,8-污染物排放标准内容判断,报告原文重抽命中，但checked主库未匹配到等价条款，需人工复核
