clause_id,project_name,report_year,district,town_or_street,source_file,source_path,report_section,clause_type,applicable_object,pollutant_or_item,standard_name,standard_code,applicable_clause_or_table,limit_or_requirement,project_fact,report_conclusion,suggested_workflow,original_text,extractor_decision,standard_checker_decision,evidence_auditor_decision,final_decision,manual_check_note
SD_STD_2024_佛山市顺德区菱昌精密_a6335b46_0001,佛山市顺德区菱昌精密塑料五金实业有限公司新建项目,2024,顺德区,大良,cf82dd00-56cb-4f27-b89e-be2156cca437_origin.pdf,E:\软件\mineru_extracted\2024_2024年12月9日建设项目环境影响报告受理公告（大良）_mineru\full.md,表 1-4 项目与顺德区“三线一单”的相符性分析,规划环评/准入清单要求,,政策准入/符合性事项,政策准入/规划符合性要求,,表1-4,表 1-4 项目与顺德区“三线一单”的相符性分析 | 环境管控单元编码 | 环境管控单元名称 | 行政区划 | 管控单元分类 | 要素细类,项目与顺德区“三线一单”的相符性分析 | 环境管控单元编码 | 环境管控单元名称 | 行政区划 | 管控单元分类 | 要素细类,,4-三线一单管控内容一致性判定,表 1-4 项目与顺德区“三线一单”的相符性分析 | 环境管控单元编码 | 环境管控单元名称 | 行政区划 | 管控单元分类 | 要素细类,suspicious,suspicious,usable,policy_only,标准编号缺失，需人工核查；政策符合性内容，不进入主标准条款库，需人工按政策准入库/疑似清单复核
SD_STD_2024_佛山市顺德区菱昌精密_a6335b46_0002,佛山市顺德区菱昌精密塑料五金实业有限公司新建项目,2024,顺德区,大良,cf82dd00-56cb-4f27-b89e-be2156cca437_origin.pdf,E:\软件\mineru_extracted\2024_2024年12月9日建设项目环境影响报告受理公告（大良）_mineru\full.md,表 1-4 项目与顺德区“三线一单”的相符性分析,规划环评/准入清单要求,,政策准入/符合性事项,政策准入/规划符合性要求,,表1-4,表 1-4 项目与顺德区“三线一单”的相符性分析 | ZH44060620002 | 大良街道重点管控区 | 广东省 | 佛山市 | 顺德区 | 重点管控单元2 | 水环境城镇生活污染重点管控区、水环境一般管控区、大气环境受体敏感重点管控区、大气环境高排放重点管控区、江河湖库岸线重点管控区、江河湖库岸线一般管控区,项目与顺德区“三线一单”的相符性分析 | ZH44060620002 | 大良街道重点管控区 | 广东省 | 佛山市 | 顺德区 | 重点管控单元2 | 水环境城镇生活污染重点管控区、水环境一般管控区、大气环境受体敏感重点管控区、大气环境高排放重点管控区、江河湖库岸线重点管控区、江河湖库岸线一般管控区,,4-三线一单管控内容一致性判定,表 1-4 项目与顺德区“三线一单”的相符性分析 | ZH44060620002 | 大良街道重点管控区 | 广东省 | 佛山市 | 顺德区 | 重点管控单元2 | 水环境城镇生活污染重点管控区、水环境一般管控区、大气环境受体敏感重点管控区、大气环境高排放重点管控区、江河湖库岸线重点管控区、江河湖库岸线一般管控区,suspicious,suspicious,usable,policy_only,标准编号缺失，需人工核查；政策符合性内容，不进入主标准条款库，需人工按政策准入库/疑似清单复核
SD_STD_2024_佛山市顺德区菱昌精密_a6335b46_0003,佛山市顺德区菱昌精密塑料五金实业有限公司新建项目,2024,顺德区,大良,cf82dd00-56cb-4f27-b89e-be2156cca437_origin.pdf,E:\软件\mineru_extracted\2024_2024年12月9日建设项目环境影响报告受理公告（大良）_mineru\full.md,表 1-4 项目与顺德区“三线一单”的相符性分析,规划环评/准入清单要求,,政策准入/符合性事项,政策准入/规划符合性要求,,表1-4,表 1-4 项目与顺德区“三线一单”的相符性分析 | 区域布局管控 | 1-1.【产业/鼓励引导类】重点发展电子信息、5G设备、装备制造及机器人产业、汽车配件产业，打造顺德智造创新服务中心；重点发展高端商贸、金融、科技服务、文创旅游等现代服务业，建设顺德新城城市CBD。 | 不适用。,项目与顺德区“三线一单”的相符性分析 | 区域布局管控 | 1-1.【产业/鼓励引导类】重点发展电子信息、5G设备、装备制造及机器人产业、汽车配件产业，打造顺德智造创新服务中心,,4-三线一单管控内容一致性判定,表 1-4 项目与顺德区“三线一单”的相符性分析 | 区域布局管控 | 1-1.【产业/鼓励引导类】重点发展电子信息、5G设备、装备制造及机器人产业、汽车配件产业，打造顺德智造创新服务中心；重点发展高端商贸、金融、科技服务、文创旅游等现代服务业，建设顺德新城城市CBD。 | 不适用。,suspicious,suspicious,usable,policy_only,标准编号缺失，需人工核查；政策符合性内容，不进入主标准条款库，需人工按政策准入库/疑似清单复核
SD_STD_2024_佛山市顺德区菱昌精密_a6335b46_0004,佛山市顺德区菱昌精密塑料五金实业有限公司新建项目,2024,顺德区,大良,cf82dd00-56cb-4f27-b89e-be2156cca437_origin.pdf,E:\软件\mineru_extracted\2024_2024年12月9日建设项目环境影响报告受理公告（大良）_mineru\full.md,表 1-4 项目与顺德区“三线一单”的相符性分析,规划环评/准入清单要求,,政策准入/符合性事项,政策准入/规划符合性要求,,表1-4,表 1-4 项目与顺德区“三线一单”的相符性分析 | 1-2.【产业/综合类】系统推进村级工业园升级改造，腾出连片空间，布局产业集聚区和主题产业园，推动工业项目入园集聚发展。 | 符合,项目与顺德区“三线一单”的相符性分析 | 1-2.【产业/综合类】系统推进村级工业园升级改造，腾出连片空间，布局产业集聚区和主题产业园，推动工业项目入园集聚发展,符合,4-三线一单管控内容一致性判定,表 1-4 项目与顺德区“三线一单”的相符性分析 | 1-2.【产业/综合类】系统推进村级工业园升级改造，腾出连片空间，布局产业集聚区和主题产业园，推动工业项目入园集聚发展。 | 符合,suspicious,suspicious,usable,policy_only,标准编号缺失，需人工核查；政策符合性内容，不进入主标准条款库，需人工按政策准入库/疑似清单复核
SD_STD_2024_佛山市顺德区菱昌精密_a6335b46_0005,佛山市顺德区菱昌精密塑料五金实业有限公司新建项目,2024,顺德区,大良,cf82dd00-56cb-4f27-b89e-be2156cca437_origin.pdf,E:\软件\mineru_extracted\2024_2024年12月9日建设项目环境影响报告受理公告（大良）_mineru\full.md,表 1-4 项目与顺德区“三线一单”的相符性分析,规划环评/准入清单要求,,政策准入/符合性事项,政策准入/规划符合性要求,,表1-4,表 1-4 项目与顺德区“三线一单”的相符性分析 | 1-3.【大气/限制类】大气环境受体敏感重点管控区内，应严格限制新建储油库项目、产生和排放有毒有害大气污染物的建设项目以及使用溶剂型油墨、涂料、清洗剂、胶黏剂等高挥发性有机物原辅材料项目，鼓励现有该类项目搬迁退出。 | 符合,项目与顺德区“三线一单”的相符性分析 | 1-3.【大气/限制类】大气环境受体敏感重点管控区内，应严格限制新建储油库项目、产生和排放有毒有害大气污染物的建设项目以及使用溶剂型油墨、涂料、清洗剂、胶黏剂等高挥发性有机物原辅材料项目，鼓励现有该类项目搬迁退出,符合,4-三线一单管控内容一致性判定,表 1-4 项目与顺德区“三线一单”的相符性分析 | 1-3.【大气/限制类】大气环境受体敏感重点管控区内，应严格限制新建储油库项目、产生和排放有毒有害大气污染物的建设项目以及使用溶剂型油墨、涂料、清洗剂、胶黏剂等高挥发性有机物原辅材料项目，鼓励现有该类项目搬迁退出。 | 符合,suspicious,suspicious,usable,policy_only,标准编号缺失，需人工核查；政策符合性内容，不进入主标准条款库，需人工按政策准入库/疑似清单复核
SD_STD_2024_佛山市顺德区菱昌精密_a6335b46_0006,佛山市顺德区菱昌精密塑料五金实业有限公司新建项目,2024,顺德区,大良,cf82dd00-56cb-4f27-b89e-be2156cca437_origin.pdf,E:\软件\mineru_extracted\2024_2024年12月9日建设项目环境影响报告受理公告（大良）_mineru\full.md,表 1-4 项目与顺德区“三线一单”的相符性分析,规划环评/准入清单要求,,政策准入/符合性事项,政策准入/规划符合性要求,,表1-4,表 1-4 项目与顺德区“三线一单”的相符性分析 | 1-4.【大气/鼓励引导类】大气环境高排放重点管控区内，应强化达标监管，引导工业项目落地集聚发展，有序推进区域内行业企业提标改造。 | 符合,项目与顺德区“三线一单”的相符性分析 | 1-4.【大气/鼓励引导类】大气环境高排放重点管控区内，应强化达标监管，引导工业项目落地集聚发展，有序推进区域内行业企业提标改造,表 1-4 项目与顺德区“三线一单”的相符性分析 | 1-4.【大气/鼓励引导类】大气环境高排放重点管控区内，应强化达标监管，引导工业项目落地集聚发展，有序推进区域内行业企业提标改造,4-三线一单管控内容一致性判定,表 1-4 项目与顺德区“三线一单”的相符性分析 | 1-4.【大气/鼓励引导类】大气环境高排放重点管控区内，应强化达标监管，引导工业项目落地集聚发展，有序推进区域内行业企业提标改造。 | 符合,suspicious,suspicious,usable,policy_only,标准编号缺失，需人工核查；政策符合性内容，不进入主标准条款库，需人工按政策准入库/疑似清单复核
SD_STD_2024_佛山市顺德区菱昌精密_a6335b46_0007,佛山市顺德区菱昌精密塑料五金实业有限公司新建项目,2024,顺德区,大良,cf82dd00-56cb-4f27-b89e-be2156cca437_origin.pdf,E:\软件\mineru_extracted\2024_2024年12月9日建设项目环境影响报告受理公告（大良）_mineru\full.md,表 1-4 项目与顺德区“三线一单”的相符性分析,规划环评/准入清单要求,,政策准入/符合性事项,政策准入/规划符合性要求,,表1-4,表 1-4 项目与顺德区“三线一单”的相符性分析 | 1.5.【产业/综合类】划定家具生产优先发展区域，优先发展区外不再新建涉及涂装工艺的木质家具制造项目。优先发展区范围根据家具产业发展规划及其规划环评文件确定。 | 符合,项目与顺德区“三线一单”的相符性分析 | 1.5.【产业/综合类】划定家具生产优先发展区域，优先发展区外不再新建涉及涂装工艺的木质家具制造项目,符合,4-三线一单管控内容一致性判定,表 1-4 项目与顺德区“三线一单”的相符性分析 | 1.5.【产业/综合类】划定家具生产优先发展区域，优先发展区外不再新建涉及涂装工艺的木质家具制造项目。优先发展区范围根据家具产业发展规划及其规划环评文件确定。 | 符合,suspicious,suspicious,usable,policy_only,标准编号缺失，需人工核查；政策符合性内容，不进入主标准条款库，需人工按政策准入库/疑似清单复核
SD_STD_2024_佛山市顺德区菱昌精密_a6335b46_0008,佛山市顺德区菱昌精密塑料五金实业有限公司新建项目,2024,顺德区,大良,cf82dd00-56cb-4f27-b89e-be2156cca437_origin.pdf,E:\软件\mineru_extracted\2024_2024年12月9日建设项目环境影响报告受理公告（大良）_mineru\full.md,表 1-4 项目与顺德区“三线一单”的相符性分析,规划环评/准入清单要求,生活污水,政策准入/符合性事项,政策准入/规划符合性要求,,表1-4,不得新建、扩建向河涌直接排放废水的项目,"项目与顺德区“三线一单”的相符性分析 | 1-6.【产业/限制类】受纳水体或监控断面不达标且未""以新带老""制定区域达标方案的河涌，不得新建、扩建向河涌直接排放废水的项目","表 1-4 项目与顺德区“三线一单”的相符性分析 | 1-6.【产业/限制类】受纳水体或监控断面不达标且未""以新带老""制定区域达标方案的河涌，不得新建、扩建向河涌直接排放废水的项目",4-三线一单管控内容一致性判定,"表 1-4 项目与顺德区“三线一单”的相符性分析 | 1-6.【产业/限制类】受纳水体或监控断面不达标且未""以新带老""制定区域达标方案的河涌，不得新建、扩建向河涌直接排放废水的项目。新建、扩建含蚀刻工序的线路板生产项目和化工项目应在配套污水集中处置的工业园区或生活污水管网覆盖区域内建设；纯加工型印花项目，含酸洗、磷化的金属表面处理、金属制品项目（与自身高新技术企业配套的和区级及以上重点项目除外），含酸洗、喷涂、化学抛光、电解等涉及废水排放工艺的不锈钢型材加工项目（与自身高新技术企业配套的和区级及以上重点项目除外），应进入以此类项目为主导产业、有相应废水集中治理设施的工业园区，实现集中治污。 | 符合",usable,suspicious,usable,policy_only,标准编号缺失，需人工核查；政策符合性内容，不进入主标准条款库，需人工按政策准入库/疑似清单复核
SD_STD_2024_佛山市顺德区菱昌精密_a6335b46_0103,佛山市顺德区菱昌精密塑料五金实业有限公司新建项目,2024,顺德区,大良,cf82dd00-56cb-4f27-b89e-be2156cca437_origin.pdf,E:\软件\mineru_extracted\2024_2024年12月9日建设项目环境影响报告受理公告（大良）_mineru\full.md,5、产业政策符合性分析,其他政策符合性要求,,政策准入/符合性事项,政策准入/规划符合性要求,,,禁止类别，也不属于国家发展改革委 商务部《关于印发＜市场准入负面清单（2022年版）的通知＞》（发改经体[2022]397 号）“禁止准入类”,项目从事塑料制品制造，项目生产产品、生产工艺和生产设备均不属于《产业结构调整指导目录（2024年本）》中的限制或禁止类别，也不属于国家发展改革委 商务部《关于印发＜市场准入负面清单（2022年版）的通知＞》（发改经体[2022]397 号）“禁止准入类”,项目从事塑料制品制造，项目生产产品、生产工艺和生产设备均不属于《产业结构调整指导目录（2024年本）》中的限制或禁止类别，也不属于国家发展改革委 商务部《关于印发＜市场准入负面清单（2022年版）的通知＞》（发改经体[20,4-三线一单管控内容一致性判定,项目从事塑料制品制造，项目生产产品、生产工艺和生产设备均不属于《产业结构调整指导目录（2024年本）》中的限制或禁止类别，也不属于国家发展改革委 商务部《关于印发＜市场准入负面清单（2022年版）的通知＞》（发改经体[2022]397 号）“禁止准入类”。,suspicious,suspicious,usable,policy_only,标准编号缺失，需人工核查；政策符合性内容，不进入主标准条款库，需人工按政策准入库/疑似清单复核
SD_STD_2024_佛山市顺德区菱昌精密_3e9b5fe3_0001,佛山市顺德区菱昌精密塑料五金实业有限公司新建项目,2024,顺德区,大良,dcf82ae7-c988-41a5-9928-770a1926115c_origin.pdf,E:\软件\mineru_extracted\2024_2024年9月25日建设项目环境影响报告受理公告（大良）_2_mineru\full.md,7、项目与《广东省人民政府关于印发广东省“三线一单”生态环境分区管控方案的通知》（粤府[2020]71 号）相符性分析,规划环评/准入清单要求,,政策准入/符合性事项,政策准入/规划符合性要求,,表1-3；表1-4,表 1-3 项目与粤府[2020]71 号相符性分析 | 8、项目与《佛山市生态环境局关于印发 的通知》（佛环（2024）20 号）相符性分析对照《佛山市生态环境局关于印发 的通知》（佛环（2024）20 号）的佛山市环境管控单元图，本项目所在地属于大良街道重点管控区（环境管控单元编码：ZH44060620002）。表1-4项目佛山市“三线一单”生态环境分区管控方案的相符性分析,本项目所在地属于大良街道重点管控区（环境管控单元编码：ZH44060620002）,,4-三线一单管控内容一致性判定,表 1-3 项目与粤府[2020]71 号相符性分析 | 8、项目与《佛山市生态环境局关于印发 的通知》（佛环（2024）20 号）相符性分析对照《佛山市生态环境局关于印发 的通知》（佛环（2024）20 号）的佛山市环境管控单元图，本项目所在地属于大良街道重点管控区（环境管控单元编码：ZH44060620002）。表1-4项目佛山市“三线一单”生态环境分区管控方案的相符性分析,suspicious,suspicious,usable,policy_only,标准编号缺失，需人工核查；政策符合性内容，不进入主标准条款库，需人工按政策准入库/疑似清单复核
