clause_id,project_name,report_year,district,town_or_street,source_file,source_path,report_section,clause_type,applicable_object,pollutant_or_item,standard_name,standard_code,applicable_clause_or_table,limit_or_requirement,project_fact,report_conclusion,suggested_workflow,original_text,extractor_decision,standard_checker_decision,evidence_auditor_decision,final_decision,manual_check_note
SD_STD_2024_佛山市顺德区菱昌精密_a6335b46_0009,佛山市顺德区菱昌精密塑料五金实业有限公司新建项目,2024,顺德区,大良,cf82dd00-56cb-4f27-b89e-be2156cca437_origin.pdf,E:\软件\mineru_extracted\2024_2024年12月9日建设项目环境影响报告受理公告（大良）_mineru\full.md,表 1-4 项目与顺德区“三线一单”的相符性分析,水污染物排放标准/控制要求,生活污水,污染物/管理事项,城镇污水处理厂污染物排放标准,GB18918-2002,,75%；执行《城镇污水处理厂污染物排放标准》（GB18918-2002）一级A 标准及《广东省水污染物排放限值》（DB44/26-2001）的较严值；达到75%以上,项目（与自身高新技术企业配套的和区级及以上重点项目除外），应进入以此类项目为主导产业、有相应废水集中治理设施的工业园区，实现集中治污,符合 能源资源利用 2-1.【能源/鼓励引导类】推广节能技术，加快发展绿色货运与现代物流,8-污染物排放标准内容判断,"、化学抛光、电解等涉及废水排放工艺的不锈钢型材加工项目（与自身高新技术企业配套的和区级及以上重点项目除外），应进入以此类项目为主导产业、有相应废水集中治理设施的工业园区，实现集中治污。 符合 能源资源利用 2-1.【能源/鼓励引导类】推广节能技术，加快发展绿色货运与现代物流。 不适用。 2-2【能源/鼓励引导类】推广新能源汽车应用和充电基础设施、加氢站建 1 | 3-4.【水/综合类】稳步推进排水设施“三个一体化""管理模式，补齐城乡污水收集和处理短板，推动逢沙污水处理厂、大门污水处理厂提质增效，加快消除城中村、老旧城区、城乡结合部等污水收集管网空白区，逐步实现城乡污水收集处理全覆盖。2025 年前逢沙污水处理厂根据片区的污水排放收集情况，进行扩建工作，尾水应执行《城镇污水处理厂污染物排放标准》（GB18918-2002）一级A 标准及《广东省水污染物排放限值》（DB44/26-2001）的较严值。2025年城市生活污水集中收集率达到75%以上。 | 不适用。 | /",usable,suspicious,suspicious,suspicious,标准名称—标准编号不在白名单或不匹配，需人工核查；表号/条款缺失，需人工核查
SD_STD_2024_佛山市顺德区菱昌精密_a6335b46_0010,佛山市顺德区菱昌精密塑料五金实业有限公司新建项目,2024,顺德区,大良,cf82dd00-56cb-4f27-b89e-be2156cca437_origin.pdf,E:\软件\mineru_extracted\2024_2024年12月9日建设项目环境影响报告受理公告（大良）_mineru\full.md,表 1-4 项目与顺德区“三线一单”的相符性分析,水污染物排放标准/控制要求,生活污水,污染物/管理事项,城镇污水处理厂污染物排放标准,DB44/26-2001,,75%；执行《城镇污水处理厂污染物排放标准》（GB18918-2002）一级A 标准及《广东省水污染物排放限值》（DB44/26-2001）的较严值；达到75%以上,项目（与自身高新技术企业配套的和区级及以上重点项目除外），应进入以此类项目为主导产业、有相应废水集中治理设施的工业园区，实现集中治污,符合 能源资源利用 2-1.【能源/鼓励引导类】推广节能技术，加快发展绿色货运与现代物流,8-污染物排放标准内容判断,"、化学抛光、电解等涉及废水排放工艺的不锈钢型材加工项目（与自身高新技术企业配套的和区级及以上重点项目除外），应进入以此类项目为主导产业、有相应废水集中治理设施的工业园区，实现集中治污。 符合 能源资源利用 2-1.【能源/鼓励引导类】推广节能技术，加快发展绿色货运与现代物流。 不适用。 2-2【能源/鼓励引导类】推广新能源汽车应用和充电基础设施、加氢站建 1 | 3-4.【水/综合类】稳步推进排水设施“三个一体化""管理模式，补齐城乡污水收集和处理短板，推动逢沙污水处理厂、大门污水处理厂提质增效，加快消除城中村、老旧城区、城乡结合部等污水收集管网空白区，逐步实现城乡污水收集处理全覆盖。2025 年前逢沙污水处理厂根据片区的污水排放收集情况，进行扩建工作，尾水应执行《城镇污水处理厂污染物排放标准》（GB18918-2002）一级A 标准及《广东省水污染物排放限值》（DB44/26-2001）的较严值。2025年城市生活污水集中收集率达到75%以上。 | 不适用。 | /",usable,suspicious,suspicious,suspicious,标准名称和编号可能不匹配，需人工核查；标准名称—标准编号不在白名单或不匹配，需人工核查；表号/条款缺失，需人工核查
SD_STD_2024_佛山市顺德区菱昌精密_a6335b46_0011,佛山市顺德区菱昌精密塑料五金实业有限公司新建项目,2024,顺德区,大良,cf82dd00-56cb-4f27-b89e-be2156cca437_origin.pdf,E:\软件\mineru_extracted\2024_2024年12月9日建设项目环境影响报告受理公告（大良）_mineru\full.md,4、固体废物排放标准,固体废物/危险废物管理标准,危险废物贮存/管理,危险废物,国家危险废物名录,GB34330-2017,,满足防渗 漏、防雨淋、防扬尘等环境保护要求；执行《国家危险废物名录》（2021年 版）、《危险废物贮存污染控制标准》（GB18597-2023）、《危险废物收集贮存运 输技术规范》（HJ2025-2012）相关要求,,一般工业固体废物储存周转场地需要满足防渗 漏、防雨淋、防扬尘等环境保护要求,8-污染物排放标准内容判断,## 4、固体废物排放标准 | 鉴别标准通则》（GB34330-2017）等。一般工业固体废物储存周转场地需要满足防渗 漏、防雨淋、防扬尘等环境保护要求。危险废物执行《国家危险废物名录》（2021年 版）、《危险废物贮存污染控制标准》（GB18597-2023）、《危险废物收集贮存运 输技术规范》（HJ2025-2012）相关要求。,usable,suspicious,suspicious,suspicious,标准名称—标准编号不在白名单或不匹配，需人工核查；表号/条款缺失，需人工核查；项目事实缺失，需人工核查
SD_STD_2024_佛山市顺德区菱昌精密_a6335b46_0012,佛山市顺德区菱昌精密塑料五金实业有限公司新建项目,2024,顺德区,大良,cf82dd00-56cb-4f27-b89e-be2156cca437_origin.pdf,E:\软件\mineru_extracted\2024_2024年12月9日建设项目环境影响报告受理公告（大良）_mineru\full.md,4、固体废物排放标准,固体废物/危险废物管理标准,危险废物贮存/管理,一般工业固体废物,国家危险废物名录,GB34330-2017,,满足防渗 漏、防雨淋、防扬尘等环境保护要求；执行《国家危险废物名录》（2021年 版）、《危险废物贮存污染控制标准》（GB18597-2023）、《危险废物收集贮存运 输技术规范》（HJ2025-2012）相关要求,,一般工业固体废物储存周转场地需要满足防渗 漏、防雨淋、防扬尘等环境保护要求,8-污染物排放标准内容判断,## 4、固体废物排放标准 | 鉴别标准通则》（GB34330-2017）等。一般工业固体废物储存周转场地需要满足防渗 漏、防雨淋、防扬尘等环境保护要求。危险废物执行《国家危险废物名录》（2021年 版）、《危险废物贮存污染控制标准》（GB18597-2023）、《危险废物收集贮存运 输技术规范》（HJ2025-2012）相关要求。,usable,suspicious,suspicious,suspicious,标准名称—标准编号不在白名单或不匹配，需人工核查；表号/条款缺失，需人工核查；项目事实缺失，需人工核查
SD_STD_2024_佛山市顺德区菱昌精密_a6335b46_0013,佛山市顺德区菱昌精密塑料五金实业有限公司新建项目,2024,顺德区,大良,cf82dd00-56cb-4f27-b89e-be2156cca437_origin.pdf,E:\软件\mineru_extracted\2024_2024年12月9日建设项目环境影响报告受理公告（大良）_mineru\full.md,4、固体废物排放标准,固体废物/危险废物管理标准,危险废物贮存/管理,危险废物,国家危险废物名录,GB18597-2023,,满足防渗 漏、防雨淋、防扬尘等环境保护要求；执行《国家危险废物名录》（2021年 版）、《危险废物贮存污染控制标准》（GB18597-2023）、《危险废物收集贮存运 输技术规范》（HJ2025-2012）相关要求,,一般工业固体废物储存周转场地需要满足防渗 漏、防雨淋、防扬尘等环境保护要求,8-污染物排放标准内容判断,## 4、固体废物排放标准 | 鉴别标准通则》（GB34330-2017）等。一般工业固体废物储存周转场地需要满足防渗 漏、防雨淋、防扬尘等环境保护要求。危险废物执行《国家危险废物名录》（2021年 版）、《危险废物贮存污染控制标准》（GB18597-2023）、《危险废物收集贮存运 输技术规范》（HJ2025-2012）相关要求。,usable,suspicious,suspicious,suspicious,标准名称和编号可能不匹配，需人工核查；标准名称—标准编号不在白名单或不匹配，需人工核查；表号/条款缺失，需人工核查；项目事实缺失，需人工核查
SD_STD_2024_佛山市顺德区菱昌精密_a6335b46_0014,佛山市顺德区菱昌精密塑料五金实业有限公司新建项目,2024,顺德区,大良,cf82dd00-56cb-4f27-b89e-be2156cca437_origin.pdf,E:\软件\mineru_extracted\2024_2024年12月9日建设项目环境影响报告受理公告（大良）_mineru\full.md,4、固体废物排放标准,固体废物/危险废物管理标准,危险废物贮存/管理,一般工业固体废物,国家危险废物名录,GB18597-2023,,满足防渗 漏、防雨淋、防扬尘等环境保护要求；执行《国家危险废物名录》（2021年 版）、《危险废物贮存污染控制标准》（GB18597-2023）、《危险废物收集贮存运 输技术规范》（HJ2025-2012）相关要求,,一般工业固体废物储存周转场地需要满足防渗 漏、防雨淋、防扬尘等环境保护要求,8-污染物排放标准内容判断,## 4、固体废物排放标准 | 鉴别标准通则》（GB34330-2017）等。一般工业固体废物储存周转场地需要满足防渗 漏、防雨淋、防扬尘等环境保护要求。危险废物执行《国家危险废物名录》（2021年 版）、《危险废物贮存污染控制标准》（GB18597-2023）、《危险废物收集贮存运 输技术规范》（HJ2025-2012）相关要求。,usable,suspicious,suspicious,suspicious,标准名称和编号可能不匹配，需人工核查；标准名称—标准编号不在白名单或不匹配，需人工核查；表号/条款缺失，需人工核查；项目事实缺失，需人工核查
SD_STD_2024_佛山市顺德区菱昌精密_a6335b46_0015,佛山市顺德区菱昌精密塑料五金实业有限公司新建项目,2024,顺德区,大良,cf82dd00-56cb-4f27-b89e-be2156cca437_origin.pdf,E:\软件\mineru_extracted\2024_2024年12月9日建设项目环境影响报告受理公告（大良）_mineru\full.md,4、固体废物排放标准,固体废物/危险废物管理标准,危险废物贮存/管理,危险废物,危险废物贮存污染控制标准,GB34330-2017,,满足防渗 漏、防雨淋、防扬尘等环境保护要求；执行《国家危险废物名录》（2021年 版）、《危险废物贮存污染控制标准》（GB18597-2023）、《危险废物收集贮存运 输技术规范》（HJ2025-2012）相关要求,,一般工业固体废物储存周转场地需要满足防渗 漏、防雨淋、防扬尘等环境保护要求,8-污染物排放标准内容判断,## 4、固体废物排放标准 | 鉴别标准通则》（GB34330-2017）等。一般工业固体废物储存周转场地需要满足防渗 漏、防雨淋、防扬尘等环境保护要求。危险废物执行《国家危险废物名录》（2021年 版）、《危险废物贮存污染控制标准》（GB18597-2023）、《危险废物收集贮存运 输技术规范》（HJ2025-2012）相关要求。,usable,suspicious,suspicious,suspicious,标准名称—标准编号不在白名单或不匹配，需人工核查；表号/条款缺失，需人工核查；项目事实缺失，需人工核查
SD_STD_2024_佛山市顺德区菱昌精密_a6335b46_0016,佛山市顺德区菱昌精密塑料五金实业有限公司新建项目,2024,顺德区,大良,cf82dd00-56cb-4f27-b89e-be2156cca437_origin.pdf,E:\软件\mineru_extracted\2024_2024年12月9日建设项目环境影响报告受理公告（大良）_mineru\full.md,4、固体废物排放标准,固体废物/危险废物管理标准,危险废物贮存/管理,一般工业固体废物,危险废物贮存污染控制标准,GB34330-2017,,满足防渗 漏、防雨淋、防扬尘等环境保护要求；执行《国家危险废物名录》（2021年 版）、《危险废物贮存污染控制标准》（GB18597-2023）、《危险废物收集贮存运 输技术规范》（HJ2025-2012）相关要求,,一般工业固体废物储存周转场地需要满足防渗 漏、防雨淋、防扬尘等环境保护要求,8-污染物排放标准内容判断,## 4、固体废物排放标准 | 鉴别标准通则》（GB34330-2017）等。一般工业固体废物储存周转场地需要满足防渗 漏、防雨淋、防扬尘等环境保护要求。危险废物执行《国家危险废物名录》（2021年 版）、《危险废物贮存污染控制标准》（GB18597-2023）、《危险废物收集贮存运 输技术规范》（HJ2025-2012）相关要求。,usable,suspicious,suspicious,suspicious,标准名称—标准编号不在白名单或不匹配，需人工核查；表号/条款缺失，需人工核查；项目事实缺失，需人工核查
SD_STD_2024_佛山市顺德区菱昌精密_a6335b46_0017,佛山市顺德区菱昌精密塑料五金实业有限公司新建项目,2024,顺德区,大良,cf82dd00-56cb-4f27-b89e-be2156cca437_origin.pdf,E:\软件\mineru_extracted\2024_2024年12月9日建设项目环境影响报告受理公告（大良）_mineru\full.md,4、固体废物排放标准,固体废物/危险废物管理标准,危险废物贮存/管理,危险废物,危险废物贮存污染控制标准,GB18597-2023,,满足防渗 漏、防雨淋、防扬尘等环境保护要求；执行《国家危险废物名录》（2021年 版）、《危险废物贮存污染控制标准》（GB18597-2023）、《危险废物收集贮存运 输技术规范》（HJ2025-2012）相关要求,,一般工业固体废物储存周转场地需要满足防渗 漏、防雨淋、防扬尘等环境保护要求,8-污染物排放标准内容判断,## 4、固体废物排放标准 | 鉴别标准通则》（GB34330-2017）等。一般工业固体废物储存周转场地需要满足防渗 漏、防雨淋、防扬尘等环境保护要求。危险废物执行《国家危险废物名录》（2021年 版）、《危险废物贮存污染控制标准》（GB18597-2023）、《危险废物收集贮存运 输技术规范》（HJ2025-2012）相关要求。,usable,usable,suspicious,suspicious,表号/条款缺失，需人工核查；项目事实缺失，需人工核查
SD_STD_2024_佛山市顺德区菱昌精密_a6335b46_0018,佛山市顺德区菱昌精密塑料五金实业有限公司新建项目,2024,顺德区,大良,cf82dd00-56cb-4f27-b89e-be2156cca437_origin.pdf,E:\软件\mineru_extracted\2024_2024年12月9日建设项目环境影响报告受理公告（大良）_mineru\full.md,4、固体废物排放标准,固体废物/危险废物管理标准,危险废物贮存/管理,一般工业固体废物,危险废物贮存污染控制标准,GB18597-2023,,满足防渗 漏、防雨淋、防扬尘等环境保护要求；执行《国家危险废物名录》（2021年 版）、《危险废物贮存污染控制标准》（GB18597-2023）、《危险废物收集贮存运 输技术规范》（HJ2025-2012）相关要求,,一般工业固体废物储存周转场地需要满足防渗 漏、防雨淋、防扬尘等环境保护要求,8-污染物排放标准内容判断,## 4、固体废物排放标准 | 鉴别标准通则》（GB34330-2017）等。一般工业固体废物储存周转场地需要满足防渗 漏、防雨淋、防扬尘等环境保护要求。危险废物执行《国家危险废物名录》（2021年 版）、《危险废物贮存污染控制标准》（GB18597-2023）、《危险废物收集贮存运 输技术规范》（HJ2025-2012）相关要求。,usable,usable,suspicious,suspicious,表号/条款缺失，需人工核查；项目事实缺失，需人工核查
