path,error
C:\Users\ylx\「开始」菜单,"PermissionError(13, '拒绝访问。')"
C:\Users\ylx\Templates,"PermissionError(13, '拒绝访问。')"
C:\Users\ylx\SendTo,"PermissionError(13, '拒绝访问。')"
C:\Users\ylx\Recent,"PermissionError(13, '拒绝访问。')"
C:\Users\ylx\PrintHood,"PermissionError(13, '拒绝访问。')"
C:\Users\ylx\NetHood,"PermissionError(13, '拒绝访问。')"
C:\Users\ylx\My Documents,"PermissionError(13, '拒绝访问。')"
C:\Users\ylx\Local Settings,"PermissionError(13, '拒绝访问。')"
C:\Users\ylx\Documents\My Videos,"PermissionError(13, '拒绝访问。')"
C:\Users\ylx\Documents\My Pictures,"PermissionError(13, '拒绝访问。')"
C:\Users\ylx\Documents\My Music,"PermissionError(13, '拒绝访问。')"
C:\Users\ylx\Cookies,"PermissionError(13, '拒绝访问。')"
C:\Users\ylx\Application Data,"PermissionError(13, '拒绝访问。')"
C:\Users\Public\Documents\My Videos,"PermissionError(13, '拒绝访问。')"
C:\Users\Public\Documents\My Pictures,"PermissionError(13, '拒绝访问。')"
C:\Users\Public\Documents\My Music,"PermissionError(13, '拒绝访问。')"
C:\Users\Default User,"PermissionError(13, '拒绝访问。')"
C:\Users\Default\「开始」菜单,"PermissionError(13, '拒绝访问。')"
C:\Users\Default\Templates,"PermissionError(13, '拒绝访问。')"
C:\Users\Default\SendTo,"PermissionError(13, '拒绝访问。')"
C:\Users\Default\Recent,"PermissionError(13, '拒绝访问。')"
C:\Users\Default\PrintHood,"PermissionError(13, '拒绝访问。')"
C:\Users\Default\NetHood,"PermissionError(13, '拒绝访问。')"
C:\Users\Default\My Documents,"PermissionError(13, '拒绝访问。')"
C:\Users\Default\Local Settings,"PermissionError(13, '拒绝访问。')"
C:\Users\Default\Documents\My Videos,"PermissionError(13, '拒绝访问。')"
C:\Users\Default\Documents\My Pictures,"PermissionError(13, '拒绝访问。')"
C:\Users\Default\Documents\My Music,"PermissionError(13, '拒绝访问。')"
C:\Users\Default\Cookies,"PermissionError(13, '拒绝访问。')"
C:\Users\Default\Application Data,"PermissionError(13, '拒绝访问。')"
C:\Users\CodexSandboxOffline,"PermissionError(13, '拒绝访问。')"
C:\Recovery,"PermissionError(13, '拒绝访问。')"
C:\Documents and Settings,"PermissionError(13, '拒绝访问。')"
D:\Config.Msi,"PermissionError(13, '拒绝访问。')"
E:\Config.Msi,"PermissionError(13, '拒绝访问。')"
