canonical_project_id,project_name,excel_first_row,excel_report_name
PL006,佛山市顺德区乐鲸科技有限公司年产五金拉手300万个新建项目,62,202403061513437166乐鲸修改意见.docx
PL007,广东云晟新材料有限公司年产水性涂料2400吨新建项目,68,20230206143628723云晟新材料 修改意见.docx
PL008,佛山市顺德区亚马逊涂料有限公司迁扩建项目,80,（20230603第二次修改版）佛山市顺德区亚马逊涂料有限公司迁扩建项目修改意见.docx
PL009,广东威诺高科技股份有限公司搬迁项目,86,202307319405849广东威诺高科技股份有限公司搬迁项目修改意见.docx
PL010,悍高集团股份有限公司功能拉篮车间搬迁扩建项目,92,2023101914551665922.悍高集团股份有限公司功能拉篮车间搬迁扩建项目（修改意见).docx
PL011,广东潜龙化工有限公司新建项目,98,20240327150247848广东潜龙化工有限公司新建项目修改意见.docx
PL012,佛山市瀚铭新材料有限公司新建项目,104,20240223佛山市瀚铭新材料有限公司新建项目修改意见.docx
PL013,佛山市顺德区百洛电器有限公司迁扩建项目,110,2023091815484454110佛山市顺德区百洛电器有限公司迁扩建项目（修改意见）.docx
PL014,佛山市顺德区蓝顿涂料有限公司迁建项目,116,佛山市顺德区蓝顿涂料有限公司迁建项目修改意见.docx
PL015,佛山市镪优金属制品有限公司迁扩建项目,122,20230529101652538佛山市镪优金属制品有限公司修改意见.docx
