excel_order,project_name,first_sheet,first_row,reason
6,佛山市顺德区乐鲸科技有限公司年产五金拉手300万个新建项目,seed_qa,62,no_report_file_after_removing_opinion_files
7,广东云晟新材料有限公司年产水性涂料2400吨新建项目,seed_qa,68,no_report_file_after_removing_opinion_files
8,佛山市顺德区亚马逊涂料有限公司迁扩建项目,seed_qa,80,no_report_file_after_removing_opinion_files
9,广东威诺高科技股份有限公司搬迁项目,seed_qa,86,no_report_file_after_removing_opinion_files
10,悍高集团股份有限公司功能拉篮车间搬迁扩建项目,seed_qa,92,no_report_file_after_removing_opinion_files
11,广东潜龙化工有限公司新建项目,seed_qa,98,no_report_file_after_removing_opinion_files
12,佛山市瀚铭新材料有限公司新建项目,seed_qa,104,no_report_file_after_removing_opinion_files
13,佛山市顺德区百洛电器有限公司迁扩建项目,seed_qa,110,no_report_file_after_removing_opinion_files
14,佛山市顺德区蓝顿涂料有限公司迁建项目,seed_qa,116,no_report_file_after_removing_opinion_files
15,佛山市镪优金属制品有限公司迁扩建项目,seed_qa,122,no_report_file_after_removing_opinion_files
