excel_order,new_project_order,project_name,version_index,old_name,new_name
1,1,佛山市亮正新材料有限公司新建项目,1,001_佛山市亮正新材料有限公司新建项目_01_核查材料.docx,001_佛山市亮正新材料有限公司新建项目_01_核查材料.docx
2,2,佛山市顺德区启卓工程塑料实业有限公司搬迁项目,1,002_佛山市顺德区启卓工程塑料实业有限公司搬迁项目_01_核查材料.docx,002_佛山市顺德区启卓工程塑料实业有限公司搬迁项目_01_核查材料.docx
3,3,佛山市顺德区康明新材料厂新建项目,1,003_佛山市顺德区康明新材料厂新建项目_01_核查材料.docx,003_佛山市顺德区康明新材料厂新建项目_01_核查材料.docx
3,3,佛山市顺德区康明新材料厂新建项目,2,077_佛山市顺德区康明新材料厂新建项目_01_受理公告或公示版.pdf,003_佛山市顺德区康明新材料厂新建项目_02_受理公告或公示版.pdf
4,4,恒励新材料科技(佛山)有限公司新建项目,1,004_恒励新材料科技(佛山)有限公司新建项目_01_核查材料.docx,004_恒励新材料科技(佛山)有限公司新建项目_01_核查材料.docx
5,5,佛山市润特龙清洁用品有限公司新建项目,1,005_佛山市润特龙清洁用品有限公司新建项目_01_核查材料.docx,005_佛山市润特龙清洁用品有限公司新建项目_01_核查材料.docx
16,6,广东台塑智能科技有限公司新建项目,1,017_广东台塑智能科技有限公司新建项目_01_受理公告或公示版.pdf,006_广东台塑智能科技有限公司新建项目_01_受理公告或公示版.pdf
17,7,佛山市智龙科技有限公司迁扩建项目,1,018_佛山市智龙科技有限公司迁扩建项目_01_受理公告或公示版.pdf,007_佛山市智龙科技有限公司迁扩建项目_01_受理公告或公示版.pdf
18,8,佛山市朗信塑料制品有限公司新建项目,1,019_佛山市朗信塑料制品有限公司新建项目_01_受理公告或公示版.pdf,008_佛山市朗信塑料制品有限公司新建项目_01_受理公告或公示版.pdf
19,9,佛山市顺德区共诺电子元件厂搬迁项目,1,020_佛山市顺德区共诺电子元件厂搬迁项目_01_受理公告或公示版.pdf,009_佛山市顺德区共诺电子元件厂搬迁项目_01_受理公告或公示版.pdf
19,9,佛山市顺德区共诺电子元件厂搬迁项目,2,090_佛山市顺德区共诺电子元件厂搬迁项目_01_受理公告或公示版.pdf,009_佛山市顺德区共诺电子元件厂搬迁项目_02_受理公告或公示版.pdf
20,10,佛山市锐拓新材料有限公司新建项目,1,021_佛山市锐拓新材料有限公司新建项目_01_受理公告或公示版.pdf,010_佛山市锐拓新材料有限公司新建项目_01_受理公告或公示版.pdf
21,11,佛山市通能达科技有限公司新建项目,1,022_佛山市通能达科技有限公司新建项目_01_受理公告或公示版.pdf,011_佛山市通能达科技有限公司新建项目_01_受理公告或公示版.pdf
22,12,佛山市巨人电器有限公司新建项目,1,023_佛山市巨人电器有限公司新建项目_01_受理公告或公示版.pdf,012_佛山市巨人电器有限公司新建项目_01_受理公告或公示版.pdf
23,13,佛山市黑曜电器科技有限公司新建项目,1,024_佛山市黑曜电器科技有限公司新建项目_01_报批稿或报告表.pdf,013_佛山市黑曜电器科技有限公司新建项目_01_报批稿或报告表.pdf
24,14,佛山市天隆通塑料制品有限公司新建项目,1,025_佛山市天隆通塑料制品有限公司新建项目_01_受理公告或公示版.pdf,014_佛山市天隆通塑料制品有限公司新建项目_01_受理公告或公示版.pdf
25,15,佛山市顺德区振峰塑料模具制造有限公司分车间新建项目,1,026_佛山市顺德区振峰塑料模具制造有限公司分车间新建项目_01_受理公告或公示版.pdf,015_佛山市顺德区振峰塑料模具制造有限公司分车间新建项目_01_受理公告或公示版.pdf
26,16,佛山市茂安耀科技有限公司新建项目,1,027_佛山市茂安耀科技有限公司新建项目_01_受理公告或公示版.pdf,016_佛山市茂安耀科技有限公司新建项目_01_受理公告或公示版.pdf
