序号,source_file,project_name,evidence_id,evidence_type,status,section,table_number,table_name,field_name,quote
1,001_佛山市亮正新材料有限公司新建项目_01_核查材料.docx,佛山市亮正新材料有限公司新建项目,E1-1,填报行业,found,一、建设项目基本情况,,基本情况表,国民经济行业类别,国民经济行业类别：C2223 加工纸制造；C2921塑料薄膜制造
2,001_佛山市亮正新材料有限公司新建项目_01_核查材料.docx,佛山市亮正新材料有限公司新建项目,E2-1,最终产品,found,二、建设项目工程分析,表2-2,变更前后项目基本情况一览表,产品及产能,主要从事纸制品制造，年产保护纸400万米、保护膜200万米。
3,001_佛山市亮正新材料有限公司新建项目_01_核查材料.docx,佛山市亮正新材料有限公司新建项目,E3-1,主要原料,found,二、建设项目工程分析,表2-4,项目主要原辅材料及年用量情况,物料名称,保护纸使用水性丙烯酸酯压敏胶和硅油；保护膜使用天然乳胶和液体萜烯树脂；工艺说明列明牛皮纸、保护膜原膜（PE）。
4,001_佛山市亮正新材料有限公司新建项目_01_核查材料.docx,佛山市亮正新材料有限公司新建项目,E4-1,核心工艺,found,二、建设项目工程分析,,工艺流程和产排污环节,工艺流程简述,保护纸经调胶、牛皮纸上胶、复合熟化、水墨印刷、收卷打包；保护膜经调胶、PE原膜上胶、复合熟化、收卷打包。
5,001_佛山市亮正新材料有限公司新建项目_01_核查材料.docx,佛山市亮正新材料有限公司新建项目,E5-1,产品用途,found,二、建设项目工程分析,,工艺说明/产品名称,产品用途,产品名称为保护纸、保护膜，工艺说明显示按客户定制图标并形成成品，初步理解为表面保护用途。
6,001_佛山市亮正新材料有限公司新建项目_01_核查材料.docx,佛山市亮正新材料有限公司新建项目,E6,主要活动,missing,二、建设项目工程分析,,,增加值/销售收入/营业收入/从业人员,
7,001_佛山市亮正新材料有限公司新建项目_01_核查材料.docx,佛山市亮正新材料有限公司新建项目,E7-1,官方分类依据,found,国家统计局国民经济行业分类注释,,小类注释,C2223,C2223加工纸制造：指对原纸及纸板进一步加工的生产活动；包括涂布浸渍覆盖纸、塑料涂布、浸渍或覆盖纸及纸板、其他加工纸。 来源：国家统计局《2017国民经济行业分类注释》（按第1号修改单修订），https://www.stats.gov.cn/sj/tjbz/gmjjhyfl/
8,001_佛山市亮正新材料有限公司新建项目_01_核查材料.docx,佛山市亮正新材料有限公司新建项目,E7-2,官方分类依据,found,国家统计局国民经济行业分类注释,,小类注释,C2921,C2921塑料薄膜制造：指用于农业覆盖，工业、商业及日用包装薄膜的制造；包括复合薄膜、涂布薄膜、其他塑料薄膜等。 来源：国家统计局《2017国民经济行业分类注释》（按第1号修改单修订），https://www.stats.gov.cn/sj/tjbz/gmjjhyfl/
9,002_佛山市顺德区启卓工程塑料实业有限公司搬迁项目_01_核查材料.docx,佛山市顺德区启卓工程塑料实业有限公司搬迁项目,E1,填报行业,found,一、建设项目基本情况,,基本情况表,国民经济行业类别,国民经济行业类别：C2929 塑料零件及其他塑料制品制造
10,002_佛山市顺德区启卓工程塑料实业有限公司搬迁项目_01_核查材料.docx,佛山市顺德区启卓工程塑料实业有限公司搬迁项目,E2,最终产品,found,二、建设项目工程分析,,项目概况/主要产品及产能,产品及产能,主要从事改性塑料粒的生产，年产改性塑料粒2000吨/年。
11,002_佛山市顺德区启卓工程塑料实业有限公司搬迁项目_01_核查材料.docx,佛山市顺德区启卓工程塑料实业有限公司搬迁项目,E3-1,主要原料,found,二、建设项目工程分析,,主要原辅材料及年用量,物料名称,主要原辅材料包括：PP新粒料、PC新粒料、PA新粒料、PPT新粒料、PET新粒料、玻璃纤维、色母（粒料）。
