序号与项目,检查点,原文关键词,解析关键词,原文短证据,解析短证据,Codex预检,人工结论,人工意见
001_佛山市亮正新材料有限公司新建项目_01_核查材料,项目基本情况,建设项目名称、建设地点、总投资,建设项目名称、建设地点、总投资,控单元图 一、建设项目基本情况 建设项目名称 | 佛山市亮正新材料有限公司新建项目 项目代码 | 无 建设单位联系人 | 伍锡显 | 联系方式 | 13,元图 一、建设项目基本情况 | 建设项目名称 | | 佛山市亮正新材料有限公司新建项目 | | 项目代码 | | 无 | | 建设单位联系人 | | 伍,关键词已对应，待人工核验数值与字段归属,,
001_佛山市亮正新材料有限公司新建项目_01_核查材料,产品与产量,主要产品、产品名称、年产,主要产品、产品名称、年产,200m2，主要从事纸制品制造，年产保护纸400万米、保护膜200万米。根据《建设项目环境影响评价分类管理名录（2021年版）》，本次项目属于“十九、造,200m2，主要从事纸制品制造，年产保护纸400万米、保护膜200万米。根据《建设项目环境影响评价分类管理名录（2021年版）》，本次项目属于“十九、造,关键词已对应，待人工核验数值与字段归属,,
001_佛山市亮正新材料有限公司新建项目_01_核查材料,原辅材料,主要原辅材料、原辅材料,主要原辅材料、原辅材料,目建成后通过内部管理、设备选择、原辅材料的选用和管理、废物回收利用、污染治理等方面采取可行的防治措施，以“节能、降耗、减污”为目标，有效的控制污染。项目,目建成后通过内部管理、设备选择、原辅材料的选用和管理、废物回收利用、污染治理等方面采取可行的防治措施，以“节能、降耗、减污”为目标，有效的控制污染。项目,关键词已对应，待人工核验数值与字段归属,,
001_佛山市亮正新材料有限公司新建项目_01_核查材料,生产设备,设备名称、生产设施,设备名称、生产设施,11）第II时段排放限值；车间或生产设施排气中NMHC初始排放速率≥3kg/h时，建设末端治污设施且处理效率≥80%；b）厂区内无组织排放监控点NMHC,11）第II时段排放限值；车间或生产设施排气中NMHC初始排放速率≥3kg/h时，建设末端治污设施且处理效率≥80%；b）厂区内无组织排放监控点NMHC,关键词已对应，待人工核验数值与字段归属,,
001_佛山市亮正新材料有限公司新建项目_01_核查材料,工艺与产污,工艺流程、生产工艺、产污环节,工艺流程、生产工艺、产污环节,代，加快涉 VOCs 重点行业的生产工艺升级改造，推行自动化生产工艺，对达不到要求的VOCs收集及治理设施进行整治提升，逐步淘汰低效 VOCs 治理设施,代，加快涉 VOCs 重点行业的生产工艺升级改造，推行自动化生产工艺，对达不到要求的VOCs收集及治理设施进行整治提升，逐步淘汰低效 VOCs 治理设施,关键词已对应，待人工核验数值与字段归属,,
001_佛山市亮正新材料有限公司新建项目_01_核查材料,源强与定量核算,产生量、排放量、收集效率,产生量、排放量、收集效率,中，应采取废气收集措施，提高废气收集效率，减少废气的无组织排放与逸散。胶水调配、上胶、印刷废气经包围型集气罩收集后和经密闭收集的复合、熟化废气一同通过“,中，应采取废气收集措施，提高废气收集效率，减少废气的无组织排放与逸散。胶水调配、上胶、印刷废气经包围型集气罩收集后和经密闭收集的复合、熟化废气一同通过“,关键词已对应，待人工核验数值与字段归属,,
001_佛山市亮正新材料有限公司新建项目_01_核查材料,废气治理,废气治理、废气收集、活性炭,废气治理、废气收集、活性炭,复合、熟化的有机废气一同经“二级活性炭吸附装置”处理，尾气通过15m高的G1排气筒排放，对周边环境影响较小；生活污水经独立的生活污水处理设施处理达标后，,复合、熟化的有机废气一同经“二级活性炭吸附装置”处理，尾气通过15m高的G1排气筒排放，对周边环境影响较小；生活污水经独立的生活污水处理设施处理达标后，,关键词已对应，待人工核验数值与字段归属,,
001_佛山市亮正新材料有限公司新建项目_01_核查材料,固废与危险废物,危险废物、固体废物、危废暂存,危险废物、固体废物、危废暂存,筒G2高空排放。用于收集燃烧废气危废暂存间1个，面积为5m2用于危险废物暂存一般固废暂存间1个，面积为5m2用于一般固废暂存2、主要产品及产能项目变更前,筒G2高空排放。用于收集燃烧废气危废暂存间1个，面积为5m2用于危险废物暂存一般固废暂存间1个，面积为5m2用于一般固废暂存2、主要产品及产能项目变更前,关键词已对应，待人工核验数值与字段归属,,
001_佛山市亮正新材料有限公司新建项目_01_核查材料,总量与执行标准,总量控制、总量指标、执行标准,总量控制、总量指标、执行标准,管理台账，严格核定VOCs可替代总量指标，重点核查用作替代的削减量是否为企业达标排放后采取治理措施的削减量、或淘汰关停后的削减量，是否有削减量重复使用等,管理台账，严格核定VOCs可替代总量指标，重点核查用作替代的削减量是否为企业达标排放后采取治理措施的削减量、或淘汰关停后的削减量，是否有削减量重复使用等,关键词已对应，待人工核验数值与字段归属,,
001_佛山市亮正新材料有限公司新建项目_01_核查材料,监督检查清单,环境保护措施监督检查清单、监督检查清单,环境保护措施监督检查清单、监督检查清单,要环境影响和保护措施 33 五、环境保护措施监督检查清单 64 六、结论 67 附件1：项目营业执照 附件2：法人身份证 附件3：土地租赁合同 附件4：,主要环境影响和保护措施33 五、环境保护措施监督检查清单64 六、结论67 附件1：项目营业执照 附件2：法人身份证 附件3：土地租赁合同 附件4：宗地,关键词已对应，待人工核验数值与字段归属,,
