project_id,file_name,practical_status,status,text_layer_rate,row_complete_rate,title_complete_rate,checked_rows,complete_rows,partial_rows,missing_rows,reason,md_file,file_id
PL018,PL018_广东台塑智能科技有限公司新建项目_01_受理公告或公示版.pdf,??????,需复核,63.5,91.0,100.0,1288,1172,44,72,存在部分PDF表格行未在md中完整命中,解析文本拼接_表格清洗增强_01_001-020.md,017_广东台塑智能科技有限公司新建项目_01_受理公告或公示版
PL019,PL019_佛山市智龙科技有限公司迁扩建项目_01_受理公告或公示版.pdf,??????,需复核,75.0,89.4,50.0,1268,1133,40,95,存在部分PDF表格行未在md中完整命中,解析文本拼接_表格清洗增强_01_001-020.md,018_佛山市智龙科技有限公司迁扩建项目_01_受理公告或公示版
PL020,PL020_佛山市朗信塑料制品有限公司新建项目_01_受理公告或公示版.pdf,??????,需复核,80.6,89.3,100.0,884,789,39,56,存在部分PDF表格行未在md中完整命中,解析文本拼接_表格清洗增强_01_001-020.md,019_佛山市朗信塑料制品有限公司新建项目_01_受理公告或公示版
PL021,PL021_佛山市顺德区共诺电子元件厂搬迁项目_01_受理公告或公示版.pdf,??????,需复核,63.5,67.8,96.1,866,587,103,176,存在部分PDF表格行未在md中完整命中,解析文本拼接_表格清洗增强_05_081-100.md,090_佛山市顺德区共诺电子元件厂搬迁项目_01_受理公告或公示版
PL022,PL022_佛山市锐拓新材料有限公司新建项目_01_受理公告或公示版.pdf,??????,需复核,81.9,90.9,100.0,943,857,36,50,存在部分PDF表格行未在md中完整命中,解析文本拼接_表格清洗增强_02_021-040.md,021_佛山市锐拓新材料有限公司新建项目_01_受理公告或公示版
PL023,PL023_佛山市通能达科技有限公司新建项目_01_受理公告或公示版.pdf,??????,需复核,74.5,93.8,100.0,1217,1141,27,49,存在部分PDF表格行未在md中完整命中,解析文本拼接_表格清洗增强_02_021-040.md,022_佛山市通能达科技有限公司新建项目_01_受理公告或公示版
PL025,PL025_佛山市巨人电器有限公司新建项目_01_受理公告或公示版.pdf,??????,需复核,73.2,90.8,100.0,960,872,27,61,存在部分PDF表格行未在md中完整命中,解析文本拼接_表格清洗增强_02_021-040.md,023_佛山市巨人电器有限公司新建项目_01_受理公告或公示版
PL026,PL026_佛山市黑曜电器科技有限公司新建项目_01_报批稿或报告表.pdf,??????,需复核,67.2,92.5,100.0,880,814,25,41,存在部分PDF表格行未在md中完整命中,解析文本拼接_表格清洗增强_02_021-040.md,024_佛山市黑曜电器科技有限公司新建项目_01_报批稿或报告表
PL027,PL027_佛山市天隆通塑料制品有限公司新建项目_01_受理公告或公示版.pdf,??????,需复核,82.8,90.5,100.0,1088,985,70,33,存在部分PDF表格行未在md中完整命中,解析文本拼接_表格清洗增强_02_021-040.md,025_佛山市天隆通塑料制品有限公司新建项目_01_受理公告或公示版
PL028,PL028_佛山市顺德区振峰塑料模具制造有限公司分车间新建项目_01_受理公告或公示版.pdf,??????,需复核,82.1,89.8,100.0,1058,950,54,54,存在部分PDF表格行未在md中完整命中,解析文本拼接_表格清洗增强_02_021-040.md,026_佛山市顺德区振峰塑料模具制造有限公司分车间新建项目_01_受理公告或公示版
