project_id,file_name,status,match_status,reason,pages,pages_with_text,text_layer_rate,pdf_tables_extracted,pages_with_tables,md_table_blocks,pdf_table_title_count,matched_title_count,title_complete_rate,checked_rows,complete_rows,partial_rows,missing_rows,skipped_rows,row_complete_rate,md_file,file_id
PL018,PL018_广东台塑智能科技有限公司新建项目_01_受理公告或公示版.pdf,需复核,file_id精确匹配,存在部分PDF表格行未在md中完整命中,115,73,63.5,184,71,0,59,59,100.0,1288,1172,44,72,1743,91.0,解析文本拼接_表格清洗增强_01_001-020.md,017_广东台塑智能科技有限公司新建项目_01_受理公告或公示版
PL019,PL019_佛山市智龙科技有限公司迁扩建项目_01_受理公告或公示版.pdf,需复核,file_id精确匹配,存在部分PDF表格行未在md中完整命中,112,84,75.0,179,82,0,4,2,50.0,1268,1133,40,95,1827,89.4,解析文本拼接_表格清洗增强_01_001-020.md,018_佛山市智龙科技有限公司迁扩建项目_01_受理公告或公示版
PL020,PL020_佛山市朗信塑料制品有限公司新建项目_01_受理公告或公示版.pdf,需复核,file_id精确匹配,存在部分PDF表格行未在md中完整命中,72,58,80.6,153,61,0,48,48,100.0,884,789,39,56,1198,89.3,解析文本拼接_表格清洗增强_01_001-020.md,019_佛山市朗信塑料制品有限公司新建项目_01_受理公告或公示版
PL021,PL021_佛山市顺德区共诺电子元件厂搬迁项目_01_受理公告或公示版.pdf,需复核,file_id精确匹配,存在部分PDF表格行未在md中完整命中,74,47,63.5,128,48,0,77,74,96.1,866,587,103,176,1034,67.8,解析文本拼接_表格清洗增强_05_081-100.md,090_佛山市顺德区共诺电子元件厂搬迁项目_01_受理公告或公示版
PL022,PL022_佛山市锐拓新材料有限公司新建项目_01_受理公告或公示版.pdf,需复核,file_id精确匹配,存在部分PDF表格行未在md中完整命中,83,68,81.9,171,75,0,61,61,100.0,943,857,36,50,1618,90.9,解析文本拼接_表格清洗增强_02_021-040.md,021_佛山市锐拓新材料有限公司新建项目_01_受理公告或公示版
PL023,PL023_佛山市通能达科技有限公司新建项目_01_受理公告或公示版.pdf,需复核,file_id精确匹配,存在部分PDF表格行未在md中完整命中,106,79,74.5,185,78,0,99,99,100.0,1217,1141,27,49,1968,93.8,解析文本拼接_表格清洗增强_02_021-040.md,022_佛山市通能达科技有限公司新建项目_01_受理公告或公示版
PL025,PL025_佛山市巨人电器有限公司新建项目_01_受理公告或公示版.pdf,需复核,file_id精确匹配,存在部分PDF表格行未在md中完整命中,82,60,73.2,151,58,0,58,58,100.0,960,872,27,61,1465,90.8,解析文本拼接_表格清洗增强_02_021-040.md,023_佛山市巨人电器有限公司新建项目_01_受理公告或公示版
PL026,PL026_佛山市黑曜电器科技有限公司新建项目_01_报批稿或报告表.pdf,需复核,file_id精确匹配,存在部分PDF表格行未在md中完整命中,116,78,67.2,199,79,0,62,62,100.0,880,814,25,41,1357,92.5,解析文本拼接_表格清洗增强_02_021-040.md,024_佛山市黑曜电器科技有限公司新建项目_01_报批稿或报告表
PL027,PL027_佛山市天隆通塑料制品有限公司新建项目_01_受理公告或公示版.pdf,需复核,file_id精确匹配,存在部分PDF表格行未在md中完整命中,87,72,82.8,178,71,0,63,63,100.0,1088,985,70,33,1875,90.5,解析文本拼接_表格清洗增强_02_021-040.md,025_佛山市天隆通塑料制品有限公司新建项目_01_受理公告或公示版
PL028,PL028_佛山市顺德区振峰塑料模具制造有限公司分车间新建项目_01_受理公告或公示版.pdf,需复核,file_id精确匹配,存在部分PDF表格行未在md中完整命中,67,55,82.1,124,54,0,51,51,100.0,1058,950,54,54,1373,89.8,解析文本拼接_表格清洗增强_02_021-040.md,026_佛山市顺德区振峰塑料模具制造有限公司分车间新建项目_01_受理公告或公示版
