project_id,file_name,status,match_status,docx_table_count,md_table_blocks,docx_table_title_count,matched_title_count,title_complete_rate,checked_rows,complete_rows,partial_rows,missing_rows,skipped_rows,row_complete_rate,md_file,file_id,reason
PL001,PL001_佛山市亮正新材料有限公司新建项目_01_核查材料.docx,表格审核等价,file_id精确匹配,62,17,52,26,50.0,301,301,0,0,81,100.0,解析文本拼接_表格清洗增强_01_001-020.md,001_佛山市亮正新材料有限公司新建项目_01_核查材料,
PL002,PL002_佛山市顺德区启卓工程塑料实业有限公司搬迁项目_01_核查材料.docx,表格审核等价,file_id精确匹配,63,13,49,31,63.3,315,315,0,0,82,100.0,解析文本拼接_表格清洗增强_01_001-020.md,002_佛山市顺德区启卓工程塑料实业有限公司搬迁项目_01_核查材料,
PL003,PL003_佛山市顺德区康明新材料厂新建项目_01_核查材料.docx,表格审核等价,file_id精确匹配,70,11,102,102,100.0,389,389,0,0,131,100.0,解析文本拼接_表格清洗增强_01_001-020.md,003_佛山市顺德区康明新材料厂新建项目_01_核查材料,
PL004,PL004_恒励新材料科技(佛山)有限公司新建项目_01_核查材料.docx,表格审核等价,file_id精确匹配,64,19,60,39,65.0,322,322,0,0,81,100.0,解析文本拼接_表格清洗增强_01_001-020.md,004_恒励新材料科技(佛山)有限公司新建项目_01_核查材料,
PL005,PL005_佛山市润特龙清洁用品有限公司新建项目_01_核查材料.docx,表格审核等价,file_id精确匹配,52,12,49,49,100.0,312,312,0,0,85,100.0,解析文本拼接_表格清洗增强_01_001-020.md,005_佛山市润特龙清洁用品有限公司新建项目_01_核查材料,
PL006,PL006_佛山市顺德区乐鲸科技有限公司年产五金拉手300万个新建项目_01_修改评估意见.docx,无可核查表格行,file_id精确匹配,0,0,2,2,100.0,0,0,0,0,0,0,解析文本拼接_表格清洗增强_01_001-020.md,006_佛山市顺德区乐鲸科技有限公司年产五金拉手300万个新建项目_01_修改评估意见,
PL007,PL007_广东云晟新材料有限公司年产水性涂料2400吨新建项目_01_修改评估意见.docx,无可核查表格行,file_id精确匹配,0,0,2,2,100.0,0,0,0,0,0,0,解析文本拼接_表格清洗增强_01_001-020.md,008_广东云晟新材料有限公司年产水性涂料2400吨新建项目_01_修改评估意见,
PL008,PL008_佛山市顺德区亚马逊涂料有限公司迁扩建项目_01_修改评估意见.docx,表格审核等价,file_id精确匹配,65,7,70,70,100.0,567,567,0,0,87,100.0,解析文本拼接_表格清洗增强_01_001-020.md,009_佛山市顺德区亚马逊涂料有限公司迁扩建项目_01_修改评估意见,
PL009,PL009_广东威诺高科技股份有限公司搬迁项目_01_修改评估意见.docx,无可核查表格行,file_id精确匹配,0,0,2,2,100.0,0,0,0,0,0,0,解析文本拼接_表格清洗增强_01_001-020.md,010_广东威诺高科技股份有限公司搬迁项目_01_修改评估意见,
PL010,PL010_悍高集团股份有限公司功能拉篮车间搬迁扩建项目_01_修改评估意见.docx,无可核查表格行,file_id精确匹配,0,0,2,2,100.0,0,0,0,0,0,0,解析文本拼接_表格清洗增强_01_001-020.md,011_悍高集团股份有限公司功能拉篮车间搬迁扩建项目_01_修改评估意见,
PL011,PL011_广东潜龙化工有限公司新建项目_01_修改评估意见.docx,无可核查表格行,file_id精确匹配,0,0,2,2,100.0,0,0,0,0,0,0,解析文本拼接_表格清洗增强_01_001-020.md,012_广东潜龙化工有限公司新建项目_01_修改评估意见,
PL012,PL012_佛山市瀚铭新材料有限公司新建项目_01_修改评估意见.docx,无可核查表格行,file_id精确匹配,0,0,2,2,100.0,0,0,0,0,0,0,解析文本拼接_表格清洗增强_01_001-020.md,013_佛山市瀚铭新材料有限公司新建项目_01_修改评估意见,
