project_id,project_name,evidence_type,evidence_id,source_location,value,extra,quote,source_file
PL001,佛山市亮正新材料有限公司新建项目,E1,E1-1,"{""section"": ""一、建设项目基本情况"", ""table_number"": null, ""table_name"": null, ""field_name"": ""国民经济行业类别""}",国民经济行业类别 C2223 加工纸制造C2921塑料薄膜制造,,国民经济行业类别 C2223 加工纸制造C2921塑料薄膜制造,PL001_佛山市亮正新材料有限公司新建项目_01_核查材料.docx
PL001,佛山市亮正新材料有限公司新建项目,E2,E2-1,"{""section"": ""二、建设项目工程分析"", ""table_number"": ""表2-2"", ""table_name"": ""变更前后项目基本情况一览表"", ""field_name"": ""产品名称/备注/产能""}",工艺流程和产排污环节 | 本项目主要从事保护纸和保护膜的生产加工，具体生产工艺及产污流程如下图所示。保护纸生产流程图2-2 保护纸生产流程图保护纸工艺流程简述：项目将水性丙烯酸酯压敏胶和和合成硅油309按2:1的比例使用胶水搅拌机混合均匀，转移至涂布机的上胶槽体中，将牛皮纸嵌入涂布机辊轴，在辊轴的带动下牛皮纸的一面进行上胶，然后经辊轴流水线进入涂布机配套的复合熟化线进行复合，熟化温度为100℃，完成熟化后经流水线辊轴进入水墨印刷机，印制客户定制的图标，最后使用在复卷机嵌入纸管进行收卷，收卷完成后即可使用打扎机打包，形成成品。保护膜生产流程图2-3 保护膜生产流程图保护膜工艺流程简述：项目将浓缩高氨天然乳胶和和液体萜烯树脂按1.04:1的比例使用胶水搅拌机混合均匀，转移至涂布机的上胶槽体中，将保护膜原膜（PE）嵌入涂布机辊轴，在辊轴的带动下保护膜原膜（PE）的一面进行上胶，然后经辊轴流水线进入涂布机配套的复合熟化线进行复合，熟化温度为80℃，完成熟化后使用在复卷机嵌入纸管进行收卷，收卷完成后即可使用打扎机打包，形成成品。表2-10 生产过程产污环节一览表产污类型产污环节污染物废气胶水调配、上胶、复合VOCs、臭气浓度熟化VOCs、臭气浓度、烟尘、SO2、NOx印刷VOCs、臭气浓度废水印刷印刷机清洗废水固废生产过程废化学包装桶设备维护、废气处理废机油、含油废抹布、废含油桶罐、废活性炭噪声生产过程机械噪声备注：项目熟化温度为80℃，PE熔点温度为100℃-130℃，因此在熟化过程中无NMHC产生。,本项目主要从事保护纸和保护膜的生产加工，具体生产工艺及产污流程如下图所示。保护纸生产流程图2-2 保护纸生产流程图保护纸工艺流程简述：项目将水性丙烯酸酯压敏胶和和合成硅油309按2:1的比例使用胶水搅拌机混合均匀，转移至涂布机的上胶槽体中，将牛皮纸嵌入涂布机辊轴，在辊轴的带动下牛皮纸的一面进行上胶，然后经辊轴流水线进入涂布机配套的复合熟化线进行复合，熟化温度为100℃，完成熟化后经流水线辊轴进入水墨印刷机，印制客户定制的图标，最后使用在复卷机嵌入纸管进行收卷，收卷完成后即可使用打扎机打包，形成成品。保护膜生产流程图2-3 保护膜生产流程图保护膜工艺流程简述：项目将浓缩高氨天然乳胶和和液体萜烯树脂按1.04:1的比例使用胶水搅拌机混合均匀，转移至涂布机的上胶槽体中，将保护膜原膜（PE）嵌入涂布机辊轴，在辊轴的带动下保护膜原膜（PE）的一面进行上胶，然后经辊轴流水线进入涂布机配套的复合熟化线进行复合，熟化温度为80℃，完成熟化后使用在复卷机嵌入纸管进行收卷，收卷完成后即可使用打扎机打包，形成成品。表2-10 生产过程产污环节一览表产污类型产污环节污染物废气胶水调配、上胶、复合VOCs、臭气浓度熟化VOCs、臭气浓度、烟尘、SO2、NOx印刷VOCs、臭气浓度废水印刷印刷机清洗废水固废生产过程废化学包装桶设备维护、废气处理废机油、含油废抹布、废含油桶罐、废活性炭噪声生产过程机械噪声备注：项目熟化温度为80℃，PE熔点温度为100℃-130℃，因此在熟化过程中无NMHC产生。,工艺流程和产排污环节 | 本项目主要从事保护纸和保护膜的生产加工，具体生产工艺及产污流程如下图所示。保护纸生产流程图2-2 保护纸生产流程图保护纸工艺流程简述：项目将水性丙烯酸酯压敏胶和和合成硅油309按2:1的比例使用胶水搅拌机混合均匀，转移至涂布机的上胶槽体中，将牛皮纸嵌入涂布机辊轴，在辊轴的带动下牛皮纸的一面进行上胶，然后经辊轴流水线进入涂布机配套的复合熟化线进行复合，熟化温度为100℃，完成熟化后经流水线辊轴进入水墨印刷机，印制客户定制的图标，最后使用在复卷机嵌入纸管进行收卷，收卷完成后即可使用打扎机打包，形成成品。保护膜生产流程图2-3 保护膜生产流程图保护膜工艺流程简述：项目将浓…,PL001_佛山市亮正新材料有限公司新建项目_01_核查材料.docx
PL001,佛山市亮正新材料有限公司新建项目,E2,E2-2,"{""section"": ""二、建设项目工程分析"", ""table_number"": ""表2-2"", ""table_name"": ""变更前后项目基本情况一览表"", ""field_name"": ""产品名称/备注/产能""}",与项目有关的原有环境污染问题 | 本项目为新建项目，租赁已建成的工业厂房简单装修后进行生产，不存在与项目有关的原有环境污染问题。,本项目为新建项目，租赁已建成的工业厂房简单装修后进行生产，不存在与项目有关的原有环境污染问题。,与项目有关的原有环境污染问题 | 本项目为新建项目，租赁已建成的工业厂房简单装修后进行生产，不存在与项目有关的原有环境污染问题。,PL001_佛山市亮正新材料有限公司新建项目_01_核查材料.docx
PL001,佛山市亮正新材料有限公司新建项目,E2,E2-3,"{""section"": ""二、建设项目工程分析"", ""table_number"": null, ""table_name"": null, ""field_name"": ""产品名称/备注/产能""}",保护纸 | 400 | 万米/年 | 每卷规格为1280m*2.8m，约3125卷，每卷约293kg/卷,每卷规格为1280m*2.8m，约3125卷，每卷约293kg/卷,保护纸 | 400 | 万米/年 | 每卷规格为1280m*2.8m，约3125卷，每卷约293kg/卷,PL001_佛山市亮正新材料有限公司新建项目_01_核查材料.docx
PL001,佛山市亮正新材料有限公司新建项目,E2,E2-4,"{""section"": ""二、建设项目工程分析"", ""table_number"": null, ""table_name"": null, ""field_name"": ""产品名称/备注/产能""}",保护膜 | 200 | 万米/年 | 每卷规格为1240m*2.3m，约1613卷，约57.86kg/卷,每卷规格为1240m*2.3m，约1613卷，约57.86kg/卷,保护膜 | 200 | 万米/年 | 每卷规格为1240m*2.3m，约1613卷，约57.86kg/卷,PL001_佛山市亮正新材料有限公司新建项目_01_核查材料.docx
PL001,佛山市亮正新材料有限公司新建项目,E2,E2-5,"{""section"": ""二、建设项目工程分析"", ""table_number"": null, ""table_name"": null, ""field_name"": ""产品名称/备注/产能""}",保护纸 | 4000000*2.8 | 11200000 | 0.1 | 11200 | 35 | 0.392,,保护纸 | 4000000*2.8 | 11200000 | 0.1 | 11200 | 35 | 0.392,PL001_佛山市亮正新材料有限公司新建项目_01_核查材料.docx
PL001,佛山市亮正新材料有限公司新建项目,E2,E2-6,"{""section"": ""二、建设项目工程分析"", ""table_number"": null, ""table_name"": null, ""field_name"": ""产品名称/备注/产能""}",备注：根据《佛山市包装印刷行业建设项目环评文件编制技术参考指南》表8各印刷方式油墨（含稀释剂）用量参考数值一览表中“平板印刷-水性油墨”用量系数为30-40g/m2，本次评价取35g/m2。,,备注：根据《佛山市包装印刷行业建设项目环评文件编制技术参考指南》表8各印刷方式油墨（含稀释剂）用量参考数值一览表中“平板印刷-水性油墨”用量系数为30-40g/m2，本次评价取35g/m2。,PL001_佛山市亮正新材料有限公司新建项目_01_核查材料.docx
PL001,佛山市亮正新材料有限公司新建项目,E2,E2-7,"{""section"": ""二、建设项目工程分析"", ""table_number"": null, ""table_name"": null, ""field_name"": ""产品名称/备注/产能""}",保护纸 | 4000000*2.8 | 11200000 | 11200000 | 1.8 | 20.16 | 水性丙烯酸酯压敏胶、硅油,水性丙烯酸酯压敏胶、硅油,保护纸 | 4000000*2.8 | 11200000 | 11200000 | 1.8 | 20.16 | 水性丙烯酸酯压敏胶、硅油,PL001_佛山市亮正新材料有限公司新建项目_01_核查材料.docx
PL001,佛山市亮正新材料有限公司新建项目,E2,E2-8,"{""section"": ""二、建设项目工程分析"", ""table_number"": null, ""table_name"": null, ""field_name"": ""产品名称/备注/产能""}",保护膜 | 2000000*2.3 | 4600000 | 4600000 | 1.8 | 8.28 | 天然乳胶、液体萜烯树脂,天然乳胶、液体萜烯树脂,保护膜 | 2000000*2.3 | 4600000 | 4600000 | 1.8 | 8.28 | 天然乳胶、液体萜烯树脂,PL001_佛山市亮正新材料有限公司新建项目_01_核查材料.docx
PL001,佛山市亮正新材料有限公司新建项目,E3,E3-1,"{""section"": ""二、建设项目工程分析"", ""table_number"": ""表2-2"", ""table_name"": ""变更前后项目基本情况一览表"", ""field_name"": ""物料名称""}",与项目有关的原有环境污染问题 | 本项目为新建项目，租赁已建成的工业厂房简单装修后进行生产，不存在与项目有关的原有环境污染问题。,,与项目有关的原有环境污染问题 | 本项目为新建项目，租赁已建成的工业厂房简单装修后进行生产，不存在与项目有关的原有环境污染问题。,PL001_佛山市亮正新材料有限公司新建项目_01_核查材料.docx
