input_dir=E:\华南理工项目\环评文件汇总\01_GitHub项目与研究文档\eia-openclaw-sync-chen2026\05_QA测试集\人工核查_环评报告出处整理_20260715\环评报告文件_按问答顺序
source_excel=D:\华南理工项目\智慧环评\skill\seed_qa_942题_151项目_01-10国民经济行业answer格式版.xlsx
classification=C:\Users\ylx\.codex\skills\manual-audit-national-economic-industry-classification\references\2017国民经济行业分类注释_按第1号修改单修订.xlsx
file_count=157
[1/157] OK PL001_佛山市亮正新材料有限公司新建项目_01_核查材料.docx -> 需复核 | docx高亮完成
[2/157] OK PL002_佛山市顺德区启卓工程塑料实业有限公司搬迁项目_01_核查材料.docx -> 需复核 | docx高亮完成
[3/157] OK PL003_佛山市顺德区康明新材料厂新建项目_01_核查材料.docx -> 需复核 | docx高亮完成
[4/157] OK PL004_恒励新材料科技(佛山)有限公司新建项目_01_核查材料.docx -> 需复核 | docx高亮完成
[5/157] OK PL005_佛山市润特龙清洁用品有限公司新建项目_01_核查材料.docx -> 需复核 | docx高亮完成
[6/157] OK PL006_佛山市顺德区乐鲸科技有限公司年产五金拉手300万个新建项目_01_修改评估意见.docx -> 需复核 | docx高亮完成
[7/157] OK PL007_广东云晟新材料有限公司年产水性涂料2400吨新建项目_01_修改评估意见.docx -> 需复核 | docx高亮完成
[8/157] OK PL008_佛山市顺德区亚马逊涂料有限公司迁扩建项目_01_修改评估意见.docx -> 需复核 | docx高亮完成
[9/157] OK PL009_广东威诺高科技股份有限公司搬迁项目_01_修改评估意见.docx -> 需复核 | docx高亮完成
[10/157] OK PL010_悍高集团股份有限公司功能拉篮车间搬迁扩建项目_01_修改评估意见.docx -> 需复核 | docx高亮完成
[11/157] OK PL011_广东潜龙化工有限公司新建项目_01_修改评估意见.docx -> 需复核 | docx高亮完成
[12/157] OK PL012_佛山市瀚铭新材料有限公司新建项目_01_修改评估意见.docx -> 需复核 | docx高亮完成
[13/157] OK PL013_佛山市顺德区百洛电器有限公司迁扩建项目_01_修改评估意见.docx -> 需复核 | docx高亮完成
[14/157] OK PL014_佛山市顺德区蓝顿涂料有限公司迁建项目_01_修改评估意见.docx -> 需复核 | docx高亮完成
[15/157] OK PL015_佛山市镪优金属制品有限公司迁扩建项目_01_修改评估意见.docx -> 需复核 | docx高亮完成
[16/157] OK PL018_广东台塑智能科技有限公司新建项目_01_受理公告或公示版.pdf -> 需复核 | pdf高亮完成，添加14处高亮
[17/157] OK PL019_佛山市智龙科技有限公司迁扩建项目_01_受理公告或公示版.pdf -> 需复核 | pdf高亮完成，添加10处高亮
[18/157] OK PL020_佛山市朗信塑料制品有限公司新建项目_01_受理公告或公示版.pdf -> 需复核 | pdf高亮完成，添加42处高亮
[19/157] OK PL021_佛山市顺德区共诺电子元件厂搬迁项目_01_受理公告或公示版.pdf -> 需复核 | pdf高亮完成，添加29处高亮
[20/157] OK PL022_佛山市锐拓新材料有限公司新建项目_01_受理公告或公示版.pdf -> 需复核 | pdf高亮完成，添加33处高亮
[21/157] OK PL023_佛山市通能达科技有限公司新建项目_01_受理公告或公示版.pdf -> 需复核 | pdf高亮完成，添加72处高亮
[22/157] OK PL025_佛山市巨人电器有限公司新建项目_01_受理公告或公示版.pdf -> 需复核 | pdf高亮完成，添加7处高亮
[23/157] OK PL026_佛山市黑曜电器科技有限公司新建项目_01_报批稿或报告表.pdf -> 需复核 | pdf高亮完成，添加41处高亮
[24/157] OK PL027_佛山市天隆通塑料制品有限公司新建项目_01_受理公告或公示版.pdf -> 需复核 | pdf高亮完成，添加64处高亮
[25/157] OK PL028_佛山市顺德区振峰塑料模具制造有限公司分车间新建项目_01_受理公告或公示版.pdf -> 需复核 | pdf高亮完成，添加21处高亮
