"Project","Category","Status","FileName","SourcePath","TargetPath","Note"
"C2926_佛山市智鑫塑胶制品有限公司","01_受理公告或公示版","缺失说明","缺失说明.md","","D:\华南理工项目\智慧环评\中期答辩\样本链_主链精简版\C2926_佛山市智鑫塑胶制品有限公司\01_受理公告或公示版\缺失说明.md","未在原始“顺德区批复/顺德区受理报告”目录及数据库公开路径中找到智鑫项目受理公告或公示版文件。"
"C2926_佛山市智鑫塑胶制品有限公司","02_报批稿或终稿","已选入","02_佛山市智鑫塑胶制品有限公司新建项目_报告稿_20180817修改.doc","D:\华南理工项目\智慧环评\中期答辩\样本链\C2926_佛山市智鑫塑胶制品有限公司\99_其他_129佛山市智鑫塑胶制品有限公司新建项目\129佛山市智鑫塑胶制品有限公司新建项目\（8.17修改）佛山市智鑫塑胶制品有限公司新建项目.doc","D:\华南理工项目\智慧环评\中期答辩\样本链_主链精简版\C2926_佛山市智鑫塑胶制品有限公司\02_报批稿或终稿\02_佛山市智鑫塑胶制品有限公司新建项目_报告稿_20180817修改.doc","主链代表文件"
"C2926_佛山市智鑫塑胶制品有限公司","03_修改意见或评估意见","已选入","03_智鑫新建项目_技术评估报告.pdf","D:\华南理工项目\智慧环评\中期答辩\样本链\C2926_佛山市智鑫塑胶制品有限公司\04_修改意见_129佛山市智鑫塑胶制品有限公司新建项目\129佛山市智鑫塑胶制品有限公司新建项目\粤环技评表〔2018〕01  248号关于佛山市智鑫塑胶制品有限公司年产家电塑料配件80吨新建项目环境影响报告表的技术评估报告.pdf","D:\华南理工项目\智慧环评\中期答辩\样本链_主链精简版\C2926_佛山市智鑫塑胶制品有限公司\03_修改意见或评估意见\03_智鑫新建项目_技术评估报告.pdf","主链代表文件"
"C2926_佛山市智鑫塑胶制品有限公司","04_批复","缺失说明","缺失说明.md","","D:\华南理工项目\智慧环评\中期答辩\样本链_主链精简版\C2926_佛山市智鑫塑胶制品有限公司\04_批复\缺失说明.md","数据库公开路径中智鑫批复文件请求失败；原始批复目录未检索到精确匹配文件，暂缺批复。"
"C2926_佛山市米心塑业有限公司","01_受理公告或公示版","缺失说明","缺失说明.md","","D:\华南理工项目\智慧环评\中期答辩\样本链_主链精简版\C2926_佛山市米心塑业有限公司\01_受理公告或公示版\缺失说明.md","当前材料中未识别到独立的受理公告或公示版文件；需后续人工补充公开受理材料。"
"C2926_佛山市米心塑业有限公司","02_报批稿或终稿","已选入","02_佛山市米心塑业有限公司新建项目_报批稿.pdf","D:\华南理工项目\智慧环评\中期答辩\样本链\C2926_佛山市米心塑业有限公司\02_终稿_202406031727526810佛山市米心塑业有限公司新建项目（报批稿）.pdf","D:\华南理工项目\智慧环评\中期答辩\样本链_主链精简版\C2926_佛山市米心塑业有限公司\02_报批稿或终稿\02_佛山市米心塑业有限公司新建项目_报批稿.pdf","主链代表文件"
"C2926_佛山市米心塑业有限公司","03_修改意见或评估意见","已选入","03_佛山市米心塑业有限公司新建项目_评估意见.doc","D:\华南理工项目\智慧环评\中期答辩\样本链\C2926_佛山市米心塑业有限公司\04_修改意见_佛山市米心塑业有限公司新建项目评估资料\佛山市米心塑业有限公司新建项目评估资料\佛山市米心塑业有限公司新建项目评估意见.doc","D:\华南理工项目\智慧环评\中期答辩\样本链_主链精简版\C2926_佛山市米心塑业有限公司\03_修改意见或评估意见\03_佛山市米心塑业有限公司新建项目_评估意见.doc","主链代表文件"
"C2926_佛山市米心塑业有限公司","04_批复","已选入","04_佛山市米心塑业有限公司新建项目_批复.pdf","D:\华南理工项目\智慧环评\中期答辩\样本链\C2926_佛山市米心塑业有限公司\03_批复_佛环03环审〔2024〕92号佛山市生态环境局关于佛山市米心塑业有限公司新建项目建设项目环境影响报告表的批复","D:\华南理工项目\智慧环评\中期答辩\样本链_主链精简版\C2926_佛山市米心塑业有限公司\04_批复\04_佛山市米心塑业有限公司新建项目_批复.pdf","主链代表文件"
"C2926_佛山市艾心日用品有限公司","01_受理公告或公示版","已选入","01_佛山市艾心日用品有限公司新建项目_受理公告或公示版.pdf","D:\华南理工项目\智慧环评\中期答辩\样本链\C2926_佛山市艾心日用品有限公司\01_受理公告_2024040911293320911.佛山市艾心日用品有限公司新建项目.pdf","D:\华南理工项目\智慧环评\中期答辩\样本链_主链精简版\C2926_佛山市艾心日用品有限公司\01_受理公告或公示版\01_佛山市艾心日用品有限公司新建项目_受理公告或公示版.pdf","主链代表文件"
"C2926_佛山市艾心日用品有限公司","02_报批稿或终稿","已选入","02_佛山市艾心日用品有限公司新建项目_评估终稿.docx","D:\华南理工项目\智慧环评\中期答辩\样本链\C2926_佛山市艾心日用品有限公司\04_修改意见_艾心日用品\艾心日用品\评估终稿（13760831865）.佛山市艾心日用品有限公司新建项目(1).docx","D:\华南理工项目\智慧环评\中期答辩\样本链_主链精简版\C2926_佛山市艾心日用品有限公司\02_报批稿或终稿\02_佛山市艾心日用品有限公司新建项目_评估终稿.docx","主链代表文件"
