rule_id,industry,element,project_type,rule_status,evidence_level,confidence,support_count,support_ratio,a_count,b_count,c_count,total
RULE_C1432_危废_新建,C1432,危废,新建,case_observation,C,0.1,1,1.0,0,0,1,1
RULE_C1432_噪声_新建,C1432,噪声,新建,case_observation,C,0.1,1,1.0,0,0,1,1
RULE_C1432_废气_新建,C1432,废气,新建,candidate_rule,C,0.3,2,1.0,0,1,1,2
RULE_C1432_废水_新建,C1432,废水,新建,candidate_rule,B,0.4,2,1.0,0,2,0,2
RULE_C1499_废气_新建,C1499,废气,新建,case_observation,C,0.1,1,1.0,0,0,1,1
RULE_C1499_废水_新建,C1499,废水,新建,case_observation,C,0.1,1,1.0,1,0,0,1
RULE_C1953_噪声_新建,C1953,噪声,新建,case_observation,C,0.1,1,1.0,0,0,1,1
RULE_C1953_废气_新建,C1953,废气,新建,case_observation,C,0.1,1,1.0,0,0,1,1
RULE_C1953_废水_新建,C1953,废水,新建,case_observation,C,0.1,1,1.0,1,0,0,1
RULE_C2034_危废_新建,C2034,危废,新建,case_observation,C,0.1,1,1.0,0,0,1,1
RULE_C2034_噪声_新建,C2034,噪声,新建,case_observation,C,0.1,1,1.0,0,0,1,1
RULE_C2034_废气_新建,C2034,废气,新建,case_observation,A,0.8,1,0.25,4,0,0,4
RULE_C2231_危废_扩建,C2231,危废,扩建,case_observation,C,0.1,1,1.0,0,0,1,1
RULE_C2231_噪声_扩建,C2231,噪声,扩建,case_observation,C,0.3,1,0.5,2,0,0,2
RULE_C2231_固废_扩建,C2231,固废,扩建,case_observation,C,0.1,1,1.0,0,1,0,1
RULE_C2231_废气_扩建,C2231,废气,扩建,case_observation,C,0.1,1,1.0,0,1,0,1
RULE_C2231_废水_扩建,C2231,废水,扩建,case_observation,C,0.1,1,1.0,1,0,0,1
RULE_C2231_环境管理_扩建,C2231,环境管理,扩建,case_observation,C,0.1,1,1.0,0,0,1,1
RULE_C2239_危废_新建,C2239,危废,新建,case_observation,C,0.1,1,1.0,0,0,1,1
RULE_C2239_噪声_新建,C2239,噪声,新建,case_observation,C,0.1,1,1.0,0,0,1,1
RULE_C2239_废气_新建,C2239,废气,新建,case_observation,B,0.6,1,0.33,0,3,0,3
RULE_C2641_危废_新建,C2641,危废,新建,case_observation,C,0.1,1,1.0,0,0,1,1
RULE_C2641_噪声_新建,C2641,噪声,新建,case_observation,C,0.1,1,1.0,0,0,1,1
RULE_C2641_固废_新建,C2641,固废,新建,case_observation,C,0.1,1,1.0,0,0,1,1
RULE_C2641_废气_新建,C2641,废气,新建,case_observation,C,0.1,1,1.0,0,0,1,1
RULE_C2641_废水_新建,C2641,废水,新建,case_observation,C,0.1,1,1.0,0,1,0,1
