skill_id,skill_name,skill_sha256,snapshot_version,path
01,国民经济行业类别审核,ee6532f0cf7627ecf9184ab855fc8cbaa85f79ccca0f47c9d76323c8c18df4ed,v2_complementarity,09_环评审核技能库/01_国民经济行业类别审核/SKILL.md
02,环评投资核算审核,ef656df0f8dd7aeb41d1c860914599e07661ed4aa66490f35ab1cec12a82cf24,v2_complementarity,09_环评审核技能库/02_环评投资核算审核/SKILL.md
03,三线一单符合性审核,512e8feb40096b8d1cc77c566ccaf8b9af69c51c54cea89bb3e100481605b306,v2_complementarity,09_环评审核技能库/03_三线一单符合性审核/SKILL.md
04,建设内容完整性审核,2c2fd4347352bf96ae45b5e8578dabec65992fe522622f66aee4f09ec1e2471d,v2_complementarity,09_环评审核技能库/04_建设内容完整性审核/SKILL.md
05,环境质量现状数据审核,4af5b5012090813737876ecc45dccf3ed32e367b2ba2c4754f104428551fba8f,v2_complementarity,09_环评审核技能库/05_环境质量现状数据审核/SKILL.md
06,环境质量执行标准审核,95ef00fd2430fcdb17ec089d14aabde568b828cfd4657cdfeaac6155d1881166,v2_complementarity,09_环评审核技能库/06_环境质量执行标准审核/SKILL.md
07,污染物排放标准审核,6feae8318410caf200f20490cd0e717b11803dc0e311bc14d3563e2836eeb288,v2_complementarity,09_环评审核技能库/07_污染物排放标准审核/SKILL.md
08,产污系数适用性审核,4b88180b7dfc4275f864b08e95e1a3bb74355b62026e66b27a4d6734f8aee511,v2_complementarity,09_环评审核技能库/08_产污系数适用性审核/SKILL.md
09,源强定量核算审核,cab0f6ecba87771e89df45f8ef50fa34337b429b71a5ca54708864ccb640de5a,v2_complementarity,09_环评审核技能库/09_源强定量核算审核/SKILL.md
10,废气收集形式审核,9ccc17319f978331f076adf513b4291ce3743396fe096f4f010a3335d9afde6e,v2_complementarity,09_环评审核技能库/10_废气收集形式审核/SKILL.md
11,废气设计风量审核,8047fcfca9581f40b33196278bff75311dc7e667e4dcc1a059bd7d6fb06e7e46,v2_complementarity,09_环评审核技能库/11_废气设计风量审核/SKILL.md
12,废气收集效率审核,dcb2c58c29e75389994be65caedf1fe8c930c15232085d77731b15490b893c02,v2_complementarity,09_环评审核技能库/12_废气收集效率审核/SKILL.md
13,活性炭参数审核,247760b30be407c6cdba0d0d310ee9d29a1d5506fb1a9e5e993ba48ee7773770,v2_complementarity,09_环评审核技能库/13_活性炭参数审核/SKILL.md
14,危险废物识别审核,c24a86af1b39e45b8b48657b3d6852d10e151b9b3aca95a0450055e97f58666a,v2_complementarity,09_环评审核技能库/14_危险废物识别审核/SKILL.md
15,VOCs总量控制审核,77ef262525b62f4b9647daabba13a5b45ce22c08468893f1d6793b84e3d6fafb,v2_complementarity,09_环评审核技能库/15_VOCs总量控制审核/SKILL.md
