question_id,audit_category,skill_id,skill_sha256,routing_status
PL001_V01_Q01,国民经济行业分类,01,9a966788b34fc76e5be2b7fdb80a728ddc10715b116d8e2d0d5a6b1cfb51a88c,mapped
PL001_EnvQuality_Q01,环境质量数据引用,05,879907819badf4e04483d62fae34339745176727a25b54031ea09eed21472613,mapped
PL001_Emission_固体,固体废物控制标准,07,7a55fa1b736b849625c5b491e2f2f4fe3bea5cdb1a9438771cc07bea7407ffca,mapped
PL002_V01_Q01,国民经济行业分类,01,9a966788b34fc76e5be2b7fdb80a728ddc10715b116d8e2d0d5a6b1cfb51a88c,mapped
PL002_EnvQuality_Q01,环境质量数据引用,05,879907819badf4e04483d62fae34339745176727a25b54031ea09eed21472613,mapped
PL002_Emission_大气,大气污染物排放标准,07,7a55fa1b736b849625c5b491e2f2f4fe3bea5cdb1a9438771cc07bea7407ffca,mapped
PL002_Emission_噪声,噪声排放标准,07,7a55fa1b736b849625c5b491e2f2f4fe3bea5cdb1a9438771cc07bea7407ffca,mapped
PL002_Emission_固体,固体废物控制标准,07,7a55fa1b736b849625c5b491e2f2f4fe3bea5cdb1a9438771cc07bea7407ffca,mapped
PL003_V01_Q01,国民经济行业分类,01,9a966788b34fc76e5be2b7fdb80a728ddc10715b116d8e2d0d5a6b1cfb51a88c,mapped
PL003_V01_Q03,环评投资概算,02,4e6dd690641cf4ddf45dfbbde01367769516d8a9cf50e141dc6af052213cac1f,mapped
PL003_Emission_水污,水污染物排放标准,07,7a55fa1b736b849625c5b491e2f2f4fe3bea5cdb1a9438771cc07bea7407ffca,mapped
PL003_Emission_噪声,噪声排放标准,07,7a55fa1b736b849625c5b491e2f2f4fe3bea5cdb1a9438771cc07bea7407ffca,mapped
PL003_Emission_固体,固体废物控制标准,07,7a55fa1b736b849625c5b491e2f2f4fe3bea5cdb1a9438771cc07bea7407ffca,mapped
PL004_V01_Q01,国民经济行业分类,01,9a966788b34fc76e5be2b7fdb80a728ddc10715b116d8e2d0d5a6b1cfb51a88c,mapped
PL004_Emission_水污,水污染物排放标准,07,7a55fa1b736b849625c5b491e2f2f4fe3bea5cdb1a9438771cc07bea7407ffca,mapped
PL004_Emission_噪声,噪声排放标准,07,7a55fa1b736b849625c5b491e2f2f4fe3bea5cdb1a9438771cc07bea7407ffca,mapped
PL004_Emission_固体,固体废物控制标准,07,7a55fa1b736b849625c5b491e2f2f4fe3bea5cdb1a9438771cc07bea7407ffca,mapped
PL005_Emission_水污,水污染物排放标准,07,7a55fa1b736b849625c5b491e2f2f4fe3bea5cdb1a9438771cc07bea7407ffca,mapped
PL005_Emission_噪声,噪声排放标准,07,7a55fa1b736b849625c5b491e2f2f4fe3bea5cdb1a9438771cc07bea7407ffca,mapped
PL005_Emission_固体,固体废物控制标准,07,7a55fa1b736b849625c5b491e2f2f4fe3bea5cdb1a9438771cc07bea7407ffca,mapped
PL006_EnvQuality_Q01,环境质量数据引用,05,879907819badf4e04483d62fae34339745176727a25b54031ea09eed21472613,mapped
