question_id,project_id,report_context_sha256
PL001_V01_Q01,PL001,0c46dbbad74c1ef8ee70b9ff170c4f5409557899d0f87fa59a9eae77da2df240
PL001_EnvQuality_Q01,PL001,0c46dbbad74c1ef8ee70b9ff170c4f5409557899d0f87fa59a9eae77da2df240
PL001_Emission_固体,PL001,0c46dbbad74c1ef8ee70b9ff170c4f5409557899d0f87fa59a9eae77da2df240
PL002_V01_Q01,PL002,1165e4d65f8d48f9640be87e9244c6a6d554116c1adf2166b5c92a47da349057
PL002_EnvQuality_Q01,PL002,1165e4d65f8d48f9640be87e9244c6a6d554116c1adf2166b5c92a47da349057
PL002_Emission_大气,PL002,1165e4d65f8d48f9640be87e9244c6a6d554116c1adf2166b5c92a47da349057
PL002_Emission_噪声,PL002,1165e4d65f8d48f9640be87e9244c6a6d554116c1adf2166b5c92a47da349057
PL002_Emission_固体,PL002,1165e4d65f8d48f9640be87e9244c6a6d554116c1adf2166b5c92a47da349057
PL003_V01_Q01,PL003,fb87c575e78cb58c32ebebbb40445fd94f6335d204277351440b18bd044f98bf
PL003_V01_Q03,PL003,fb87c575e78cb58c32ebebbb40445fd94f6335d204277351440b18bd044f98bf
PL003_Emission_水污,PL003,fb87c575e78cb58c32ebebbb40445fd94f6335d204277351440b18bd044f98bf
PL003_Emission_噪声,PL003,fb87c575e78cb58c32ebebbb40445fd94f6335d204277351440b18bd044f98bf
PL003_Emission_固体,PL003,fb87c575e78cb58c32ebebbb40445fd94f6335d204277351440b18bd044f98bf
PL004_V01_Q01,PL004,723ee3e7cf7efa7caaffa8d83f823931c9f6c15e23fa278bea4cf69b8cd9e669
PL004_Emission_水污,PL004,723ee3e7cf7efa7caaffa8d83f823931c9f6c15e23fa278bea4cf69b8cd9e669
PL004_Emission_噪声,PL004,723ee3e7cf7efa7caaffa8d83f823931c9f6c15e23fa278bea4cf69b8cd9e669
PL004_Emission_固体,PL004,723ee3e7cf7efa7caaffa8d83f823931c9f6c15e23fa278bea4cf69b8cd9e669
PL005_Emission_水污,PL005,e499c7b68b53f532ca987fa87ac627fd5e126995ea11c13bb23b0467fc79a697
PL005_Emission_噪声,PL005,e499c7b68b53f532ca987fa87ac627fd5e126995ea11c13bb23b0467fc79a697
PL005_Emission_固体,PL005,e499c7b68b53f532ca987fa87ac627fd5e126995ea11c13bb23b0467fc79a697
PL006_EnvQuality_Q01,PL006,63470d6e5c91f327841ba66323b13adbee9de1ab2fdb7b53b11419be2c9056d3
