question_id,project_id,logical_report_id,report_body_committed,report_context_sha256,status
PL001_V01_Q01,PL001,PL001_shared_report_json,False,0c46dbbad74c1ef8ee70b9ff170c4f5409557899d0f87fa59a9eae77da2df240,hash_only_private_report_not_committed
PL001_EnvQuality_Q01,PL001,PL001_shared_report_json,False,0c46dbbad74c1ef8ee70b9ff170c4f5409557899d0f87fa59a9eae77da2df240,hash_only_private_report_not_committed
PL001_Emission_固体,PL001,PL001_shared_report_json,False,0c46dbbad74c1ef8ee70b9ff170c4f5409557899d0f87fa59a9eae77da2df240,hash_only_private_report_not_committed
PL002_V01_Q01,PL002,PL002_shared_report_json,False,1165e4d65f8d48f9640be87e9244c6a6d554116c1adf2166b5c92a47da349057,hash_only_private_report_not_committed
PL002_EnvQuality_Q01,PL002,PL002_shared_report_json,False,1165e4d65f8d48f9640be87e9244c6a6d554116c1adf2166b5c92a47da349057,hash_only_private_report_not_committed
PL002_Emission_大气,PL002,PL002_shared_report_json,False,1165e4d65f8d48f9640be87e9244c6a6d554116c1adf2166b5c92a47da349057,hash_only_private_report_not_committed
PL002_Emission_噪声,PL002,PL002_shared_report_json,False,1165e4d65f8d48f9640be87e9244c6a6d554116c1adf2166b5c92a47da349057,hash_only_private_report_not_committed
PL002_Emission_固体,PL002,PL002_shared_report_json,False,1165e4d65f8d48f9640be87e9244c6a6d554116c1adf2166b5c92a47da349057,hash_only_private_report_not_committed
PL003_V01_Q01,PL003,PL003_shared_report_json,False,fb87c575e78cb58c32ebebbb40445fd94f6335d204277351440b18bd044f98bf,hash_only_private_report_not_committed
PL003_V01_Q03,PL003,PL003_shared_report_json,False,fb87c575e78cb58c32ebebbb40445fd94f6335d204277351440b18bd044f98bf,hash_only_private_report_not_committed
PL003_Emission_水污,PL003,PL003_shared_report_json,False,fb87c575e78cb58c32ebebbb40445fd94f6335d204277351440b18bd044f98bf,hash_only_private_report_not_committed
PL003_Emission_噪声,PL003,PL003_shared_report_json,False,fb87c575e78cb58c32ebebbb40445fd94f6335d204277351440b18bd044f98bf,hash_only_private_report_not_committed
PL003_Emission_固体,PL003,PL003_shared_report_json,False,fb87c575e78cb58c32ebebbb40445fd94f6335d204277351440b18bd044f98bf,hash_only_private_report_not_committed
PL004_V01_Q01,PL004,PL004_shared_report_json,False,723ee3e7cf7efa7caaffa8d83f823931c9f6c15e23fa278bea4cf69b8cd9e669,hash_only_private_report_not_committed
PL004_Emission_水污,PL004,PL004_shared_report_json,False,723ee3e7cf7efa7caaffa8d83f823931c9f6c15e23fa278bea4cf69b8cd9e669,hash_only_private_report_not_committed
PL004_Emission_噪声,PL004,PL004_shared_report_json,False,723ee3e7cf7efa7caaffa8d83f823931c9f6c15e23fa278bea4cf69b8cd9e669,hash_only_private_report_not_committed
PL004_Emission_固体,PL004,PL004_shared_report_json,False,723ee3e7cf7efa7caaffa8d83f823931c9f6c15e23fa278bea4cf69b8cd9e669,hash_only_private_report_not_committed
PL005_Emission_水污,PL005,PL005_shared_report_json,False,e499c7b68b53f532ca987fa87ac627fd5e126995ea11c13bb23b0467fc79a697,hash_only_private_report_not_committed
PL005_Emission_噪声,PL005,PL005_shared_report_json,False,e499c7b68b53f532ca987fa87ac627fd5e126995ea11c13bb23b0467fc79a697,hash_only_private_report_not_committed
PL005_Emission_固体,PL005,PL005_shared_report_json,False,e499c7b68b53f532ca987fa87ac627fd5e126995ea11c13bb23b0467fc79a697,hash_only_private_report_not_committed
PL006_EnvQuality_Q01,PL006,PL006_shared_report_json,False,63470d6e5c91f327841ba66323b13adbee9de1ab2fdb7b53b11419be2c9056d3,hash_only_private_report_not_committed
