question_id,audit_category,skill_id,medium,skill_sha256
PL001_Emission_固体,固体废物控制标准,07_review-eia-pollutant-discharge-standards,solid_waste,72ff50ba113d72427e63b9a8a06501b4a9719e88408bf6b28d7086d322de7e8f
PL001_EnvQuality_Q01,环境质量数据引用,05_review-eia-environmental-quality-data,environment_quality,543f12e82c1b1ab4c2565fa2b889f0a941cadef1116ee9034f171db3e67407cf
PL001_V01_Q01,国民经济行业分类,01_manual-audit-national-economic-industry-classification,industry,2477619673025b73870ce49053124b45d46b7adad8fc72bb25476014d97ceea5
PL002_Emission_大气,大气污染物排放标准,07_review-eia-pollutant-discharge-standards,air,b6cf06b31475493b30b50ea798d37068b2bfa0e87c74921b41dd83afbecb18d3
PL002_Emission_固体,固体废物控制标准,07_review-eia-pollutant-discharge-standards,solid_waste,72ff50ba113d72427e63b9a8a06501b4a9719e88408bf6b28d7086d322de7e8f
PL002_Emission_噪声,噪声排放标准,07_review-eia-pollutant-discharge-standards,noise,4a5414ac3b2caed2c7aa9dca4bd35dd0d264f4a8f6c4e4781b75aafea4d77ce6
PL002_EnvQuality_Q01,环境质量数据引用,05_review-eia-environmental-quality-data,environment_quality,543f12e82c1b1ab4c2565fa2b889f0a941cadef1116ee9034f171db3e67407cf
PL002_V01_Q01,国民经济行业分类,01_manual-audit-national-economic-industry-classification,industry,2477619673025b73870ce49053124b45d46b7adad8fc72bb25476014d97ceea5
PL003_Emission_固体,固体废物控制标准,07_review-eia-pollutant-discharge-standards,solid_waste,72ff50ba113d72427e63b9a8a06501b4a9719e88408bf6b28d7086d322de7e8f
PL003_Emission_水污,水污染物排放标准,07_review-eia-pollutant-discharge-standards,wastewater,614641560a576fd109af280acd3e5c62b0ba9d9137121c5d0d3fb2418450035a
PL003_Emission_噪声,噪声排放标准,07_review-eia-pollutant-discharge-standards,noise,4a5414ac3b2caed2c7aa9dca4bd35dd0d264f4a8f6c4e4781b75aafea4d77ce6
PL003_V01_Q01,国民经济行业分类,01_manual-audit-national-economic-industry-classification,industry,2477619673025b73870ce49053124b45d46b7adad8fc72bb25476014d97ceea5
PL003_V01_Q03,环评投资概算,02_review-eia-environmental-investment,investment,3245800465c1287e8ab235296f4b79d03d83c3a97d6dcd102840394ee5c7b2f5
PL004_Emission_固体,固体废物控制标准,07_review-eia-pollutant-discharge-standards,solid_waste,72ff50ba113d72427e63b9a8a06501b4a9719e88408bf6b28d7086d322de7e8f
PL004_Emission_水污,水污染物排放标准,07_review-eia-pollutant-discharge-standards,wastewater,614641560a576fd109af280acd3e5c62b0ba9d9137121c5d0d3fb2418450035a
PL004_Emission_噪声,噪声排放标准,07_review-eia-pollutant-discharge-standards,noise,4a5414ac3b2caed2c7aa9dca4bd35dd0d264f4a8f6c4e4781b75aafea4d77ce6
PL004_V01_Q01,国民经济行业分类,01_manual-audit-national-economic-industry-classification,industry,2477619673025b73870ce49053124b45d46b7adad8fc72bb25476014d97ceea5
PL005_Emission_固体,固体废物控制标准,07_review-eia-pollutant-discharge-standards,solid_waste,72ff50ba113d72427e63b9a8a06501b4a9719e88408bf6b28d7086d322de7e8f
PL005_Emission_水污,水污染物排放标准,07_review-eia-pollutant-discharge-standards,wastewater,614641560a576fd109af280acd3e5c62b0ba9d9137121c5d0d3fb2418450035a
PL005_Emission_噪声,噪声排放标准,07_review-eia-pollutant-discharge-standards,noise,4a5414ac3b2caed2c7aa9dca4bd35dd0d264f4a8f6c4e4781b75aafea4d77ce6
PL006_EnvQuality_Q01,环境质量数据引用,05_review-eia-environmental-quality-data,environment_quality,543f12e82c1b1ab4c2565fa2b889f0a941cadef1116ee9034f171db3e67407cf
