question_id,group,prompt_sha256
PL001_Emission_固体,D,cf9e51ecaa7a7d226acd9b32c71083eaec1aef99bcbe330a0f7be805571b09a3
PL001_Emission_固体,C,80e6861f15e9ff3a5c31b2cd1291f389cbef092e65a27f804c321ec47effa958
PL001_EnvQuality_Q01,C,ba1c3a7b8072bc3733f48d44a3a426496fb10c93bfc05fad7b6e58ee64c49df6
PL001_V01_Q01,C,2aeb8df8de639b01c10b3b88d032c12ec5c1c726f0f852c5d3ad8c9366851388
PL001_EnvQuality_Q01,D,5b3fbe13b85c8caf28c2116413f1651f681803eb1fb6a2056e30bd742bc77635
PL001_V01_Q01,D,492195514483dea32cc04b9ca8b1446c7b2f3ff1e4ff827b1d975cc7105972f2
PL002_Emission_大气,C,6df99b1571c77e3012623d5cedca344e826c1009c6deb0e756c2c62dac2b4274
PL002_Emission_固体,C,f65e90cddde4e333a5282b8250274284fd8be42e497b8a91411a14833983d16d
PL002_Emission_大气,D,0d2e796b12ccf3bf902ccac6228fc925ee8cc90d2a10e61716842eeb8fb5fd73
PL002_Emission_噪声,C,a75530175073df18f65eeea28a46535744eedbbce5ce9f6310d1150a7207e8a8
PL002_Emission_噪声,D,b3bdc8d52202763318dcd8825f042846ce27bd14947995c9b5f01fda262403db
PL002_Emission_固体,D,a90a19d1973e877d2a105d2ffc8c1c5f2deceadd18748ac25c555be399f192a1
PL002_EnvQuality_Q01,C,0e8a349ea434a40876acf7acf6e04f03e8daf7a324e6a02317cf93d6946a1258
PL002_EnvQuality_Q01,D,d7cb14e13b1e912dfd8d4af4bf1b0cb23b9e9d4aefae7a5ed4a8637cc4d21829
PL002_V01_Q01,C,41fb136052b13b22220f1be3cf4dd7606d9f2b5145c1cc9e497df0c1128d300a
PL002_V01_Q01,D,d102bca87ccce0e591a6c95786091c2828429714111ce6816e0d5fb5dec02261
PL003_Emission_水污,C,251943b07170160b5b3746011bc823671b47195b21be1516c629f700e28589cf
PL003_Emission_水污,D,bf6c908264826a970acf9f7c412a0407591b868dce97041f094020d0aee49025
PL003_Emission_固体,D,ea956cf87e0a920bc4212d6b450a7778b37060ea5b930858266331928b9479bb
PL003_Emission_固体,C,f33a2bf68501b5e8a09213cb16e69ece2ff3323c25ed1d3f0a1ce75217f315ce
PL003_Emission_噪声,C,41e6844555f5afc1501e87470d7a5ef768f3d9cc9b712c067a0d09fe403896bf
PL003_V01_Q01,C,e20d54d9e27c90aef32f27d460b917bfe201e61e15e02e9b62d50c9ccc9deb61
PL003_Emission_噪声,D,88b76edb7882f2932d79e632e645b6a7665b5ce24064edb1462b879320924728
PL003_V01_Q03,C,50dd010e15c87f86fbf437afd58790563d1df209a93ea95c966f3dd6b60afb63
PL003_V01_Q03,D,07d033b62f9d1dc4e74a709ff6cf98e96799b9025524d45ef509b9d3cd740b13
PL003_V01_Q01,D,1250da61e9adedcb5e92d2c582cf385f515682301bf623b75230f77d97ac9548
PL004_Emission_固体,D,cc868862ad920ed62fbe028dfadb84f446f8c289f9d31a122d3f0bfc8fb962a7
PL004_Emission_固体,C,8c13fac3a4d0b6aedab16911136f6cfe65a6d7f7df04487624a124505139543f
PL004_Emission_水污,C,5d8d438a6d9f80cdb65d767cdde8b72686184b65b91dd668be1f2126c4befa11
PL004_Emission_噪声,C,4bab57700c5177a95eb7057ac2cce522f566a255fd16944eec18d133ef820bb4
PL004_Emission_水污,D,ca55dfc7f6243c43b9700f36010df1e9ecad9fb43557dedf349a7a02da84d99e
PL004_Emission_噪声,D,e3a4ceacf8372cf3482f8d19b89622bc851b253f346d3a3a3a2dfcecab749b48
PL004_V01_Q01,D,3158de974c0e7f51954792cffdfd93149724071daf83c5100c02267e00f6795a
PL004_V01_Q01,C,25d2fbd8a61df0e327e5efbdfa4df962a61fe082c61b357aa508ecd08b397b8a
PL005_Emission_固体,C,f518086f6b882fb112fcc3c9579cfee2cdba00c5f834cb0615764a63acf9cb6b
PL005_Emission_固体,D,b5b4ba10959b058e4f9c3dd0c439f1850322cad7cb0da45e183e601af93a513a
PL005_Emission_水污,C,fd943d3d110776846332d759f9b29c72d9d20936f93c31d6e56c4cb1fb39eeec
PL005_Emission_水污,D,667560aee8d61efcba90422b425ce166aa76d7504eb957f75973e423dc6c0e4f
PL005_Emission_噪声,C,6016e20bf7b902d715f409bc5d3282a0903135ee5eb1db842d69ba1842be2123
PL005_Emission_噪声,D,c44050472d086f6417dfaaf89fd7e5a6f07c200ee2be0ef90d5c980038a10936
PL006_EnvQuality_Q01,D,564e5489c2b1cfd6b907f9509787b06d93d4fd3c171929e49497365377c1a817
PL006_EnvQuality_Q01,C,4bb7136deb7704334d10eab6b1c3bf4360a59bda67004f891238a611eb230a74
