question_id,group,response_sha256
PL001_Emission_固体,D,e15eb38a0ab4629eb3357cf6267cba481a50843838f6855d00714ce27b1efe98
PL001_Emission_固体,C,165451e22533856c0583d64c6ca5606ebdcfcd4b4e1f0d8e2eeb8b11158e1967
PL001_EnvQuality_Q01,C,1ac5e79f4a5d2976fa5f3aae9f0ffa70f39fc1edb3ef0192b0bdad4f335763b4
PL001_V01_Q01,C,2364069f105ed2e2f441db6e7de7af982f60092321ba675c35564f2b0abd8336
PL001_EnvQuality_Q01,D,b1d393c67ffe5a69abf2d290fe49b21fd4ea8ef1305b3b04c8546d0b0ecf539f
PL001_V01_Q01,D,3e5ddf691362a8a8157677d24caca5b49ceb07a7b535a1e0b4fe55693dcc4719
PL002_Emission_大气,C,ab9d104100a997e6a15c0d5da1badad187ba7affa0c17db7d27ab81a26b838dc
PL002_Emission_固体,C,e4dfd1685a6588ed6f533a40e4be27101f14b00358a4bed32fcbb9c9d81f3236
PL002_Emission_大气,D,bea8dbd77967dd146f3948a4230054966b5089072588035f7688c3a75988035c
PL002_Emission_噪声,C,c485154e3c35f5c31be6a3c7ec3a5d5ca453a2ce9e6f011d12cec2803020c966
PL002_Emission_噪声,D,0cae8aaa17a433ba79a90154e8affde7bc846ad26281f6e5a04663b9fee9b875
PL002_Emission_固体,D,915f4162400947005f41c2ee48ad0a4d54aca93c347504120205329221b1fbf5
PL002_EnvQuality_Q01,C,1c70c656cda099a1b0dffc66babdd9b81f06c9eb231b244f43a8eb35ff3786e4
PL002_EnvQuality_Q01,D,b7b134e2653e90e0278dd58616e12cfbb0ed900fcc470b615d227cd43ce37e90
PL002_V01_Q01,C,38a718c714ea8e9ff77540d57892466b5a96d733a1289c2fda505f39f78089f5
PL002_V01_Q01,D,1bcd8613d7582018dc19563cea5a998d402e80c0514f35bc70e2f1ed6fbbd0c1
PL003_Emission_水污,C,93dc01a3451dd87f086f9786770737a7cf0147b0425f8920cc6834e6d7d98e71
PL003_Emission_水污,D,95339e992c5b9cd013b91f8c832ee2fe4d2c2681b35286f1750bc80ffcb968e7
PL003_Emission_固体,D,bdf085839fb358690d209e234494358daa63589598576843ba2095666aa8f226
PL003_Emission_固体,C,f57b9be35faec681ed669b766119e8af323f6adb1661488c82d8785c1f0ea312
PL003_Emission_噪声,C,18c805f0b1fab5d83d2dc20f6526dcf9242dc391e9d7751e65b0f3b2a014b77d
PL003_V01_Q01,C,3f15a6e26eef593b3a5e2644bceb9502af2bd070eb3eaaa96e2761f2c3face94
PL003_Emission_噪声,D,d424b0b8e503e4d5a63fa575ccdd01e96ba43583c4261d5ae754e63bf99bee6b
PL003_V01_Q03,C,220de7beadbacd84663f7f72a4d28da41b4ffd8e9d44daa99a6c35313e67c26c
PL003_V01_Q03,D,403338314774de968b36ef9cbd026903d5efa1f68f8d8e4890d06d9da8d7ea6f
PL003_V01_Q01,D,71a9ee7e296cb23ddeca9610eb63b9c824f10344b94f47a15b3fa6fb754b6db2
PL004_Emission_固体,D,33108d77d299ec7cb1f4b70c4b3b6f5e60826ed55fee7725634a90573a103659
PL004_Emission_固体,C,69ea5095d30b3cbe5c05ec9b0e9f6d9ffc17e506a9b56ffd05c32aa5d3cf4d76
PL004_Emission_水污,C,7ad446b8063cf20fa2a301a4aa7f0453191cbb76e581747f93e7caf7dc1d5020
PL004_Emission_噪声,C,110522dd23d2d36a8b7c51a13d83aece94d78983c4a044966d57d6f7dfbbc7e9
PL004_Emission_水污,D,b5f05242b3f4b5e17cba75b631cc02db5e21059785a6b229216679e3c6158284
PL004_Emission_噪声,D,ddd39d414b2c1aa414a24e915b4d335cf47978bf651f73a43b5dc1e5647fb6b0
PL004_V01_Q01,D,c2ca55469c967199a79284c7b15d15e3ff8b8ed7ea4cbbef3b9087de039d6764
PL004_V01_Q01,C,463c467182855f30f1b434a5b4750d9c36a120f327e63087968cf8ad6a5bc729
PL005_Emission_固体,C,0f3b25b34aeafea186c50e2e025b90ea02a25de861dfac2aa7aa036bff78a7d6
PL005_Emission_固体,D,bc1a8f4cbfc4a2e1036f7679b16a6fa36f5ce276e0d375606f2fbb0daefcfce7
PL005_Emission_水污,C,db3fe3f8e881b8bf7b800e528e0e21dc7f883256f66737a24c94ff7456fe3005
PL005_Emission_水污,D,687d2d1a90328e2f32ec2467462d82a563ffd0a1d3fa240c12627e59d34d45c3
PL005_Emission_噪声,C,8c674956858259bece0f36f5ffad2d165ec02cce02d11b56e9867265fdae72e5
PL005_Emission_噪声,D,c73fb72a07c2e27981d3d67fb4506e5c67494684c44186d1302acd1b6944189a
PL006_EnvQuality_Q01,D,af1ab29cc34794bee5e8036b16304bc6a2012342ffd2b3d329c61a33baa82a3c
PL006_EnvQuality_Q01,C,e453881e1118dab4f96199d6c732ddd2a7486c1b3afd4b0f9ed82f31a5ded68e
