run_id,question_id,group,report_context_sha256,rag_context_sha256,skill_id,skill_sha256,status,skill_snapshot_version,basis_status,conclusion,manual_review_needed
PL001_V01_Q01_A,PL001_V01_Q01,A,0c46dbbad74c1ef8ee70b9ff170c4f5409557899d0f87fa59a9eae77da2df240,,,,ready_input_freeze,not_loaded,,,
PL001_V01_Q01_B,PL001_V01_Q01,B,0c46dbbad74c1ef8ee70b9ff170c4f5409557899d0f87fa59a9eae77da2df240,8663c19376176bc25b7301888915711e0e599e9203f2df35722c6a171e51bf67,,,ready_input_freeze,not_loaded,,,
PL001_V01_Q01_C,PL001_V01_Q01,C,0c46dbbad74c1ef8ee70b9ff170c4f5409557899d0f87fa59a9eae77da2df240,,01,ef0b20709c05fdd2ff0c422c2294066f260970fa1fb387a3269433cc9bba4094,ready_input_freeze,v2.1_pr17_acceptance,,,
PL001_V01_Q01_D,PL001_V01_Q01,D,0c46dbbad74c1ef8ee70b9ff170c4f5409557899d0f87fa59a9eae77da2df240,8663c19376176bc25b7301888915711e0e599e9203f2df35722c6a171e51bf67,01,ef0b20709c05fdd2ff0c422c2294066f260970fa1fb387a3269433cc9bba4094,ready_input_freeze,v2.1_pr17_acceptance,,,
PL001_EnvQuality_Q01_A,PL001_EnvQuality_Q01,A,0c46dbbad74c1ef8ee70b9ff170c4f5409557899d0f87fa59a9eae77da2df240,,,,ready_input_freeze,not_loaded,,,
PL001_EnvQuality_Q01_B,PL001_EnvQuality_Q01,B,0c46dbbad74c1ef8ee70b9ff170c4f5409557899d0f87fa59a9eae77da2df240,2efa02505fb0950d65bac3830341b0bbae35c403fb60f697c34a1d9c8b7801d5,,,ready_input_freeze,not_loaded,,,
PL001_EnvQuality_Q01_C,PL001_EnvQuality_Q01,C,0c46dbbad74c1ef8ee70b9ff170c4f5409557899d0f87fa59a9eae77da2df240,,05,0f25ae873f7e2ddebdaba7cbae36bdc362425128b246735171f6caf2335ed2e3,ready_input_freeze,v2.1_pr17_acceptance,,,
PL001_EnvQuality_Q01_D,PL001_EnvQuality_Q01,D,0c46dbbad74c1ef8ee70b9ff170c4f5409557899d0f87fa59a9eae77da2df240,2efa02505fb0950d65bac3830341b0bbae35c403fb60f697c34a1d9c8b7801d5,05,0f25ae873f7e2ddebdaba7cbae36bdc362425128b246735171f6caf2335ed2e3,ready_input_freeze,v2.1_pr17_acceptance,,,
PL001_Emission_固体_A,PL001_Emission_固体,A,0c46dbbad74c1ef8ee70b9ff170c4f5409557899d0f87fa59a9eae77da2df240,,,,ready_input_freeze,not_loaded,,,
PL001_Emission_固体_B,PL001_Emission_固体,B,0c46dbbad74c1ef8ee70b9ff170c4f5409557899d0f87fa59a9eae77da2df240,97d7772337617ff76c990806e13f0d8b7b2f6dc167e00f283e4fd7e30937edd3,,,ready_input_freeze,not_loaded,,,
