question_id,project_id,audit_category,gold_version,gold_review_status,experiment_inclusion,report_sha256,include,exclusion_reason,not_for_analysis
PL001_V01_Q01,PL001,国民经济行业分类,,未复核,候选池,cebdde5f385f0581a5539450a20e41d42c84bf3b43ec7e5bcd93d99643bb5592,false,not_human_frozen,false
PL001_V01_Q03,PL001,环评投资概算,,未复核,候选池,cebdde5f385f0581a5539450a20e41d42c84bf3b43ec7e5bcd93d99643bb5592,false,not_human_frozen,false
PL001_EnvQuality_Q01,PL001,环境质量数据引用,,未复核,候选池,cebdde5f385f0581a5539450a20e41d42c84bf3b43ec7e5bcd93d99643bb5592,false,not_human_frozen,false
PL001_Emission_水污,PL001,水污染物排放标准,,未复核,候选池,cebdde5f385f0581a5539450a20e41d42c84bf3b43ec7e5bcd93d99643bb5592,false,not_human_frozen,false
PL001_Emission_大气,PL001,大气污染物排放标准,,未复核,候选池,cebdde5f385f0581a5539450a20e41d42c84bf3b43ec7e5bcd93d99643bb5592,false,not_human_frozen,false
PL001_Emission_噪声,PL001,噪声排放标准,,未复核,候选池,cebdde5f385f0581a5539450a20e41d42c84bf3b43ec7e5bcd93d99643bb5592,false,not_human_frozen,false
PL001_Emission_固体,PL001,固体废物控制标准,,未复核,候选池,cebdde5f385f0581a5539450a20e41d42c84bf3b43ec7e5bcd93d99643bb5592,false,not_human_frozen,false
PL002_V01_Q01,PL002,国民经济行业分类,,未复核,候选池,720efa2925c5002f7f7ec8d04a0e313c3d72359f5b715de1cf88eb1f47023be7,false,not_human_frozen,false
PL002_V02_Q03,PL002,环评投资概算,,未复核,候选池,720efa2925c5002f7f7ec8d04a0e313c3d72359f5b715de1cf88eb1f47023be7,false,not_human_frozen,false
PL002_EnvQuality_Q01,PL002,环境质量数据引用,,未复核,候选池,720efa2925c5002f7f7ec8d04a0e313c3d72359f5b715de1cf88eb1f47023be7,false,not_human_frozen,false
PL002_Emission_水污,PL002,水污染物排放标准,,未复核,候选池,720efa2925c5002f7f7ec8d04a0e313c3d72359f5b715de1cf88eb1f47023be7,false,not_human_frozen,false
PL002_Emission_大气,PL002,大气污染物排放标准,,未复核,候选池,720efa2925c5002f7f7ec8d04a0e313c3d72359f5b715de1cf88eb1f47023be7,false,not_human_frozen,false
PL002_Emission_噪声,PL002,噪声排放标准,,未复核,候选池,720efa2925c5002f7f7ec8d04a0e313c3d72359f5b715de1cf88eb1f47023be7,false,not_human_frozen,false
PL002_Emission_固体,PL002,固体废物控制标准,,未复核,候选池,720efa2925c5002f7f7ec8d04a0e313c3d72359f5b715de1cf88eb1f47023be7,false,not_human_frozen,false
PL003_V01_Q01,PL003,国民经济行业分类,,未复核,候选池,37ed2244ce694a02ef32940abbebc79f297e2565f23a544774081402f9d7fbe4,false,not_human_frozen,false
PL003_V01_Q03,PL003,环评投资概算,,未复核,候选池,37ed2244ce694a02ef32940abbebc79f297e2565f23a544774081402f9d7fbe4,false,not_human_frozen,false
PL003_EnvQuality_Q01,PL003,环境质量数据引用,,未复核,候选池,37ed2244ce694a02ef32940abbebc79f297e2565f23a544774081402f9d7fbe4,false,not_human_frozen,false
PL003_Emission_水污,PL003,水污染物排放标准,,未复核,候选池,37ed2244ce694a02ef32940abbebc79f297e2565f23a544774081402f9d7fbe4,false,not_human_frozen,false
PL003_Emission_大气,PL003,大气污染物排放标准,,未复核,候选池,37ed2244ce694a02ef32940abbebc79f297e2565f23a544774081402f9d7fbe4,false,not_human_frozen,false
PL003_Emission_噪声,PL003,噪声排放标准,,未复核,候选池,37ed2244ce694a02ef32940abbebc79f297e2565f23a544774081402f9d7fbe4,false,not_human_frozen,false
PL003_Emission_固体,PL003,固体废物控制标准,,未复核,候选池,37ed2244ce694a02ef32940abbebc79f297e2565f23a544774081402f9d7fbe4,false,not_human_frozen,false
PL004_V01_Q01,PL004,国民经济行业分类,,未复核,候选池,b3bf2abc2c80650ac3e27c4508fb650d13b0811f350040d395f9c78623e9db01,false,not_human_frozen,false
PL004_V01_Q03,PL004,环评投资概算,,未复核,候选池,b3bf2abc2c80650ac3e27c4508fb650d13b0811f350040d395f9c78623e9db01,false,not_human_frozen,false
PL004_EnvQuality_Q01,PL004,环境质量数据引用,,未复核,候选池,b3bf2abc2c80650ac3e27c4508fb650d13b0811f350040d395f9c78623e9db01,false,not_human_frozen,false
