"数据来源","项目名称","行业代码","是否新建","是否涉胶复合VOCs","样本链状态","优先级","下一步","备注"
"本地主链精简版","C2926_佛山市智鑫塑胶制品有限公司","C2926","是","待人工确认","半链","P1","打开四类文件，确认能否拆审核题","本地已有主链文件或缺失说明"
"本地主链精简版","C2926_佛山市米心塑业有限公司","C2926","是","待人工确认","待补链","P1","打开四类文件，确认能否拆审核题","本地已有主链文件或缺失说明"
"本地主链精简版","C2926_佛山市艾心日用品有限公司","C2926","是","待人工确认","完整链","P0","打开四类文件，确认能否拆审核题","本地已有主链文件或缺失说明"
"本地主链精简版","C2929_佛山市彩川合成材料有限公司","C2929","是","待人工确认","完整链","P0","打开四类文件，确认能否拆审核题","本地已有主链文件或缺失说明"
"数据库重点候选","佛山市唯信塑胶制品有限公司新建项目","C2929","是","是/高度相关","数据库候选完整链","P1","按file_index定位四类文件并人工打开确认","受理时间: 2023-09-26 17:06:03; 批复号: 20230153"
"数据库重点候选","佛山市东溢胶粘制品科技有限公司年产保护膜1352t新建项目","C2921","是","是/高度相关","数据库候选完整链","P1","按file_index定位四类文件并人工打开确认","受理时间: 2022-04-02 16:46:49; 批复号: 杏20220036"
"数据库重点候选","佛山市庆裕电子有限公司年产塑料配件600万件、硅胶配件150万件新建项目","C2929","是","是/高度相关","数据库候选完整链","P1","按file_index定位四类文件并人工打开确认","受理时间: 2021-10-18 14:49:52; 批复号: 良20210066"
"数据库重点候选","佛山市虹荣包装材料科技有限公司年产胶袋200吨新建项目","C2923","是","是/高度相关","数据库候选完整链","P1","按file_index定位四类文件并人工打开确认","受理时间: 2021-04-13 9:37:49; 批复号: 20210072"
"数据库重点候选","佛山市富凯宏威塑胶有限公司新建项目","C2929","是","是/高度相关","数据库候选完整链","P1","按file_index定位四类文件并人工打开确认","受理时间: 2021-04-02 12:01:47; 批复号: 勒20210054"
"数据库重点候选","佛山市瑞莆软胶制品有限公司年产聚氨酯制品30万个新建项目","C2924","是","是/高度相关","数据库候选完整链","P1","按file_index定位四类文件并人工打开确认","受理时间: 2020-10-23 9:45:14; 批复号: 杏20200370"
"数据库重点候选","佛山市顺德区鑫粤翔印刷有限公司新建项目","C2929","是","是/高度相关","数据库候选完整链","P1","按file_index定位四类文件并人工打开确认","受理时间: 2020-04-17 14:27:17; 批复号: 勒20200080"
"数据库重点候选","佛山市顺德区美讯塑料餐具包装制品有限公司年产小塑料袋60吨新建项目","C2921","是","是/高度相关","数据库候选完整链","P1","按file_index定位四类文件并人工打开确认","受理时间: 2019-09-27 10:41:19; 批复号: 勒20190317"
"数据库重点候选","佛山市巨仁塑胶制品有限公司年产装饰条70吨新建项目","C2922","是","是/高度相关","数据库候选完整链","P1","按file_index定位四类文件并人工打开确认","受理时间: 2019-08-13 11:38:12; 批复号: 勒20190271"
"数据库重点候选","顺德区勒流兴联泰塑胶制品厂年产PE复合膜600吨新建项目","C2921","是","是/高度相关","数据库候选完整链","P1","按file_index定位四类文件并人工打开确认","受理时间: 2019-06-27 9:02:25; 批复号: 勒20190213"
"数据库重点候选","佛山市顺德区勒流美毅塑胶颜料厂年产色母60吨新建项目","C2929","是","是/高度相关","数据库候选完整链","P1","按file_index定位四类文件并人工打开确认","受理时间: 2018-12-29 16:39:56; 批复号: 勒20190024"
"数据库重点候选","佛山市智鑫塑胶制品有限公司年产家电塑料配件80吨新建项目","C2929","是","是/高度相关","数据库候选完整链","P1","按file_index定位四类文件并人工打开确认","受理时间: 2018-07-24 10:50:35; 批复号: 勒20180411"
"数据库重点候选","佛山市顺德区志信塑胶制品有限公司年产空调塑料配件150万件新建项目","C2929","是","是/高度相关","数据库候选完整链","P1","按file_index定位四类文件并人工打开确认","受理时间: 2018-07-05 17:14:06; 批复号: 北20180196"
"数据库重点候选","佛山市英邦包装材料有限公司新建项目","C2924","是","是/高度相关","数据库候选完整链","P1","按file_index定位四类文件并人工打开确认","受理时间: 2018-05-31 10:53:51; 批复号: 龙20180179"
"数据库重点候选","佛山市骐腾塑胶五金有限公司新建项目","C2929","是","是/高度相关","数据库候选完整链","P1","按file_index定位四类文件并人工打开确认","受理时间: 2018-05-24 16:25:31; 批复号: 杏20180144"
"数据库重点候选","佛山市溢能新材料有限公司年产聚乙烯薄膜570吨新建项目","C2921","是","是/高度相关","数据库候选完整链","P1","按file_index定位四类文件并人工打开确认","受理时间: 2018-05-24 16:24:47; 批复号: 杏20180143"
