project_name,注塑,挤出或吹膜,涂胶或上胶,涂布,复合或贴合,印刷,熟化或固化,evidence_source
佛山市亮正新材料有限公司新建项目,0,0,1,1,1,1,1,202307051138439441.佛山市亮正新材料有限公司新建项目-修改意见.docx
佛山市顺德区启卓工程塑料实业有限公司搬迁项目,1,1,0,0,1,0,0,202303061051125381佛山市顺德区启卓工程塑料实业有限公司搬迁项目(修改意见).docx
佛山市顺德区康明新材料厂新建项目,0,1,0,1,1,0,0,202404081435415312佛山市顺德区康明新材料厂新建项目 修改意见.docx
恒励新材料科技(佛山)有限公司新建项目,1,1,0,0,0,0,0,恒励新材料科技（佛山）有限公司新建项目-修改意见.docx
佛山市润特龙清洁用品有限公司新建项目,1,1,0,0,0,1,0,佛山市润特龙清洁用品有限公司新建项目（修改意见）.docx
佛山市顺德区乐鲸科技有限公司年产五金拉手300万个新建项目,0,0,0,0,0,1,1,202403061513437166乐鲸修改意见.docx
广东云晟新材料有限公司年产水性涂料2400吨新建项目,0,0,0,0,1,1,1,20230206143628723云晟新材料 修改意见.docx
佛山市顺德区亚马逊涂料有限公司迁扩建项目,0,0,0,0,0,0,1,（20230603第二次修改版）佛山市顺德区亚马逊涂料有限公司迁扩建项目修改意见.docx
广东威诺高科技股份有限公司搬迁项目,1,0,0,0,0,1,1,202307319405849广东威诺高科技股份有限公司搬迁项目修改意见.docx
悍高集团股份有限公司功能拉篮车间搬迁扩建项目,0,0,0,0,0,1,1,2023101914551665922.悍高集团股份有限公司功能拉篮车间搬迁扩建项目（修改意见).docx
广东潜龙化工有限公司新建项目,1,0,0,0,0,0,1,20240327150247848广东潜龙化工有限公司新建项目修改意见.docx
佛山市瀚铭新材料有限公司新建项目,0,0,0,0,1,0,1,20240223佛山市瀚铭新材料有限公司新建项目修改意见.docx
佛山市顺德区百洛电器有限公司迁扩建项目,0,0,0,0,0,0,1,2023091815484454110佛山市顺德区百洛电器有限公司迁扩建项目（修改意见）.docx
佛山市顺德区蓝顿涂料有限公司迁建项目,0,0,0,0,1,0,0,佛山市顺德区蓝顿涂料有限公司迁建项目修改意见.docx
佛山市镪优金属制品有限公司迁扩建项目,0,0,0,0,0,0,1,20230529101652538佛山市镪优金属制品有限公司修改意见.docx
广东台塑智能科技有限公司新建项目,1,1,1,0,0,1,1,年10月10日建设项目环境影响报告书（表）受理公告（佛山市生态环境局顺德分局）_4.pdf
佛山市智龙科技有限公司迁扩建项目,1,1,0,1,1,1,0,年10月12日建设项目环境影响报告书（表）受理公告（佛山市生态环境局顺德分局）_1.pdf
佛山市朗信塑料制品有限公司新建项目,1,1,0,0,0,0,1,年10月16日建设项目环境影响报告书（表）受理公告（佛山市生态环境局顺德分局）_2.pdf
佛山市顺德区共诺电子元件厂搬迁项目,1,1,0,0,0,1,0,年10月16日建设项目环境影响报告受理公告（大良）.pdf
佛山市锐拓新材料有限公司新建项目,1,1,0,0,0,1,0,年10月17日建设项目环境影响报告书（表）受理公告（佛山市生态环境局顺德分局）_2.pdf
佛山市通能达科技有限公司新建项目,1,1,1,0,0,1,0,年10月17日建设项目环境影响报告书（表）受理公告（佛山市生态环境局顺德分局）_4.pdf
佛山市巨人电器有限公司新建项目,1,1,0,0,0,1,0,年10月22日建设项目环境影响报告受理公告（大良）_2.pdf
佛山市黑曜电器科技有限公司新建项目,1,1,0,0,0,1,1,年10月22日建设项目环境影响报告表受理公告（容桂）_2.pdf
佛山市天隆通塑料制品有限公司新建项目,0,1,0,0,0,1,1,年10月23日建设项目环境影响报告书（表）受理公告（佛山市生态环境局顺德分局）_1.pdf
佛山市顺德区振峰塑料模具制造有限公司分车间新建项目,1,1,0,0,0,0,0,年10月24日建设项目环境影响报告书（表）受理公告（均安）_1.pdf
佛山市茂安耀科技有限公司新建项目,1,1,0,0,0,0,0,年10月24日建设项目环境影响报告书（表）受理公告（均安）_2.pdf
佛山市瑞易德塑料五金制品有限公司搬迁项目,1,1,0,0,0,1,0,年10月25日建设项目环境影响报告书（表）受理公告（佛山市生态环境局顺德分局）_3.pdf
佛山市浩创时代包装制品有限公司新建项目,1,1,0,1,1,1,1,年10月28日建设项目环境影响报告书（表）受理公告（佛山市生态环境局顺德分局）_3.pdf
德旺众新材料科技（佛山）有限公司新建建设项目,0,0,0,0,0,1,1,年10月28日建设项目环境影响报告书（表）受理公告（佛山市生态环境局顺德分局）_4.pdf
广东施格纳电气有限公司新建项目,1,0,0,0,0,1,1,年10月29日建设项目环境影响报告书（表）受理公告（佛山市生态环境局顺德分局）_1.pdf
佛山市沃丰德电器有限公司扩建项目,1,1,0,0,0,1,1,年10月29日建设项目环境影响报告书（表）受理公告（佛山市生态环境局顺德分局）_3.pdf
佛山市顺德区钧锐塑料厂迁建项目,1,1,0,0,1,1,0,年10月29日建设项目环境影响报告书（表）受理公告（佛山市生态环境局顺德分局）_4.pdf
广东梅州磁性材料有限公司顺德分公司迁扩建项目,0,1,0,0,0,1,0,年10月29日建设项目环境影响报告书（表）受理公告（均安）.pdf
佛山麦琪科技有限公司建设项目,1,1,0,0,0,0,1,年11月13日建设项目环境影响报告受理公告（大良）.pdf
佛山市顺德区晟昂电子科技有限公司新建项目,1,1,0,0,0,0,0,年11月13日建设项目环境影响报告表受理公告（伦教）_2.pdf
佛山市锦汇塑料制品有限公司新建项目,1,0,0,0,0,1,1,年11月14日建设项目环境影响报告受理公告（大良）_1.pdf
佛山市海川塑料制品有限公司新建项目,1,1,0,0,1,0,0,年11月14日建设项目环境影响报告受理公告（大良）_2.pdf
佛山市创灏五金塑料有限公司年产塑料制品 1250 万件迁改扩建项目,1,1,1,0,0,1,1,年11月15日建设项目环境影响报告书（表）受理公告（佛山市生态环境局顺德分局）_4.pdf
佛山市顺德区夏瑞塑胶有限公司迁扩建项目,1,1,0,0,0,0,0,年11月19日建设项目环境影响报告书（表）受理公告（佛山市生态环境局顺德分局）_1.pdf
佛山市益旭电器有限公司新建项目,1,1,0,0,1,1,0,年11月21日建设项目环境影响报告受理公告（大良）.pdf
佛山市昇汇包装材料有限公司新建项目,1,0,0,0,0,0,0,年11月29日建设项目环境影响报告书（表）受理公告（佛山市生态环境局顺德分局）_2.pdf
佛山市富懿塑料制品有限公司新建项目,1,1,0,0,0,0,0,年11月8日建设项目环境影响报告表受理公告（容桂）.pdf
佛山市圣鑫塑料制品有限公司新建项目,1,1,0,0,1,1,1,年12月10日建设项目环境影响报告受理公告（大良）_1.pdf
佛山智达医疗器械有限公司新建项目,1,1,0,0,1,0,1,年12月10日建设项目环境影响报告受理公告（大良）_2.pdf
佛山市顺德区华祥坤工艺电器有限公司扩建项目,1,1,0,0,1,1,0,年12月13日建设项目环境影响报告受理公告（大良）.pdf
广东希睿思汽车零部件有限公司新建项目,0,1,1,0,1,1,1,年12月20日建设项目环境影响报告书（表）受理公告（佛山市生态环境局顺德分局）_3.pdf
佛山市顺德区嘉保洁具有限公司迁建项目,1,0,0,0,0,0,0,年12月24日建设项目环境影响报告表受理公告（容桂）_1.pdf
佛山市力方电器科技有限公司新建项目,unknown,unknown,unknown,unknown,unknown,unknown,unknown,年12月24日建设项目环境影响报告表受理公告（容桂）_2.pdf
佛山市顺德区红昇电器有限公司新建项目,1,1,0,0,1,1,0,年12月30日建设项目环境影响报告受理公告（大良）.pdf
佛山市力新五金塑胶制品有限公司新建项目,0,1,0,0,0,1,1,年12月31日建设项目环境影响报告书（表）受理公告（佛山市生态环境局顺德分局）.pdf
佛山市祖帮海绵有限公司新建项目,0,1,0,0,0,1,1,年12月4日建设项目环境影响报告书（表）受理公告（佛山市生态环境局顺德分局）_1.pdf
佛山粤友塑料制品有限公司新建项目,1,1,0,0,1,0,1,年12月4日建设项目环境影响报告受理公告（大良）.pdf
佛山诗佳格科技有限公司新建项目,1,1,0,0,1,0,1,年12月6日建设项目环境影响报告受理公告（大良）_1.pdf
佛山市乔安电器有限公司迁建项目,1,0,0,0,0,1,0,年12月6日建设项目环境影响报告受理公告（大良）_2.pdf
佛山市顺德区菱昌精密塑料五金实业有限公司新建项目,0,1,0,0,0,1,0,年12月9日建设项目环境影响报告受理公告（大良）.pdf
佛山市德田科技有限公司建设项目,1,1,0,0,0,0,1,年1月15日建设项目环境影响报告受理公告（大良）.pdf
佛山市车壹套塑料制品有限公司新建项目,1,1,0,0,0,0,1,年1月19日建设项目环境影响报告受理公告（大良）.pdf
