审核主题,问题数量,占比
1. 塑胶行业样本筛选与国民经济行业分类,136,0.1311
2. 建设项目行业类别/塑胶行业适用性,136,0.1311
3. 环评投资核算,136,0.1311
4. 建设内容编制完整性,136,0.1311
6. 废气收集形式与设计风量核算,131,0.1263
7. 废气收集效率与活性炭处理设施参数,131,0.1263
建设内容与生产设施参数审核,14,0.0135
VOCs与废气治理审核,13,0.0125
样本筛选与行业类别边界,11,0.0106
塑胶指南适用性与行业边界,11,0.0106
建设内容与产污识别,11,0.0106
VOCs物料识别与废气治理,11,0.0106
标准适用与源强/总量一致性,11,0.0106
人工批注与类案经验转化,11,0.0106
样本链专家意见审核,11,0.0106
污染物排放标准适用性审核,9,0.0087
废气收集形式与设计风量核算,7,0.0068
塑胶行业样本筛选与国民经济行业分类,6,0.0058
建设项目行业类别/塑胶行业适用性,6,0.0058
环评投资核算,6,0.0058
建设内容编制完整性,6,0.0058
污染物排放标准适用性,6,0.0058
运营期产污系数与源强定量核算,6,0.0058
废气收集效率与活性炭治理设施参数,6,0.0058
危险废物识别和废活性炭核算,6,0.0058
总量控制与附表一致性,6,0.0058
批复条件一致性审核,6,0.0058
行业准入与规划相符性审核,5,0.0048
5. 运营期产污系数与源强定量核算,4,0.0039
9. 危险废物识别和废活性炭核算,4,0.0039
环境风险与新污染物审核,4,0.0039
建设内容完整性;运营期产污系数与源强核算,2,0.0019
固废与危险废物识别审核,2,0.0019
废水处理与委外处置审核,2,0.0019
源强核算与预测参数审核,2,0.0019
噪声源强与预测审核,2,0.0019
图件附件完整性审核,2,0.0019
报告质量评分依据审核,2,0.0019
8. 污染物排放标准适用性,1,0.001
10. 总量控制与附表一致性,1,0.001
VOCs排放量与治理措施一致性;污染物排放标准适用性,1,0.001
危险废物识别与废活性炭核算,1,0.001
废气收集效率与活性炭治理设施参数;环境保护措施可行性,1,0.001
建设内容完整性;文件制式规范,1,0.001
VOCs总量控制审核,1,0.001
废水处理与排放标准审核,1,0.001
达标排放分析审核,1,0.001
工艺产污节点审核,1,0.001
水耗与水平衡审核,1,0.001
自行监测与监督检查审核,1,0.001
VOCs初始排放速率审核,1,0.001
可行技术适用性审核,1,0.001
委外处置可行性审核,1,0.001
修改闭环核查,1,0.001
技术评估结论核查,1,0.001
修改位置可追溯性审核,1,0.001
工程分析闭环审核,1,0.001
废水委外处置闭环审核,1,0.001
