run_id,question_id,group,input_condition,project_name,audit_module,suggested_skill,model_output,score_problem_identification,score_standard_basis,score_evidence_location,score_reasoning_consistency,score_actionability,score_risk_boundary,human_comment
SC_QHSJ_001_A,SC_QHSJ_001,A,仅大模型 + 审核问题,佛山市全海世家新材料科技有限公司新建项目,VOCs排放量与治理措施一致性;污染物排放标准适用性,07_污染物排放标准审核,,,,,,,,
SC_QHSJ_001_B,SC_QHSJ_001,B,大模型 + 标准依据库,佛山市全海世家新材料科技有限公司新建项目,VOCs排放量与治理措施一致性;污染物排放标准适用性,07_污染物排放标准审核,,,,,,,,
SC_QHSJ_001_C,SC_QHSJ_001,C,大模型 + 审核技能库,佛山市全海世家新材料科技有限公司新建项目,VOCs排放量与治理措施一致性;污染物排放标准适用性,07_污染物排放标准审核,,,,,,,,
SC_QHSJ_001_D,SC_QHSJ_001,D,大模型 + 标准依据库 + 审核技能库,佛山市全海世家新材料科技有限公司新建项目,VOCs排放量与治理措施一致性;污染物排放标准适用性,07_污染物排放标准审核,,,,,,,,
SC_QHSJ_002_A,SC_QHSJ_002,A,仅大模型 + 审核问题,佛山市全海世家新材料科技有限公司新建项目,危险废物识别与废活性炭核算,09_源强定量核算审核,,,,,,,,
SC_QHSJ_002_B,SC_QHSJ_002,B,大模型 + 标准依据库,佛山市全海世家新材料科技有限公司新建项目,危险废物识别与废活性炭核算,09_源强定量核算审核,,,,,,,,
SC_QHSJ_002_C,SC_QHSJ_002,C,大模型 + 审核技能库,佛山市全海世家新材料科技有限公司新建项目,危险废物识别与废活性炭核算,09_源强定量核算审核,,,,,,,,
SC_QHSJ_002_D,SC_QHSJ_002,D,大模型 + 标准依据库 + 审核技能库,佛山市全海世家新材料科技有限公司新建项目,危险废物识别与废活性炭核算,09_源强定量核算审核,,,,,,,,
SC_QHSJ_003_A,SC_QHSJ_003,A,仅大模型 + 审核问题,佛山市全海世家新材料科技有限公司新建项目,建设内容完整性;运营期产污系数与源强核算,04_建设内容完整性审核,,,,,,,,
SC_QHSJ_003_B,SC_QHSJ_003,B,大模型 + 标准依据库,佛山市全海世家新材料科技有限公司新建项目,建设内容完整性;运营期产污系数与源强核算,04_建设内容完整性审核,,,,,,,,
