"ProjectID","ProjectName","PSName","IndustryTypeCode","TradeCode","AcceptTime","ApproveNum","ConstructionSites","ProjectDesc","HasHPfile","HasPFile","ReportUploadCount","PUploadCount","AssessmentCount","AssessmentOpinionCount","AccessoryCount","ChainClass"
"cba21148-9edf-45e7-96a7-d224aa8117da","佛山市唯信塑胶制品有限公司新建项目","佛山市唯信塑胶制品有限公司","26--053","C2929","2023-09-26 17:06:03","20230153","广东省佛山市顺德区大良街道五沙社区新汇路7号国腾智能制造中心3栋810室","","1","1","1","3","1","1","15","A_数据库候选完整链"
"a72fc0dd-e6f7-4208-bacf-7bf30238bdf3","佛山市东溢胶粘制品科技有限公司年产保护膜1352t新建项目","佛山市东溢胶粘制品科技有限公司","26--053","C2921","2022-04-02 16:46:49","杏20220036","广东省佛山市顺德区杏坛镇东村工业区东村大道北5号之十八","","1","1","1","2","1","1","15","A_数据库候选完整链"
"26ebcdfa-5245-487d-aa4f-6d33c768c428","佛山市庆裕电子有限公司年产塑料配件600万件、硅胶配件150万件新建项目","佛山市庆裕电子有限公司","26--053","C2929","2021-10-18 14:49:52","良20210066","广东省佛山市顺德区大良街道古鉴村顺翔路40号首层之二十八","","1","1","1","3","1","1","15","A_数据库候选完整链"
"4491dcc9-f187-47b5-a59a-211876a8ea2f","佛山市虹荣包装材料科技有限公司年产胶袋200吨新建项目","佛山市虹荣包装材料科技有限公司","26--053","C2923","2021-04-13 9:37:49","20210072","广东省佛山市顺德区杏坛镇海凌村海赞路20号七层之四","","1","1","1","1","1","1","15","A_数据库候选完整链"
"5cdf7a2b-1846-4619-b8ae-d7988c4e0b32","佛山市富凯宏威塑胶有限公司新建项目","佛山市富凯宏威塑胶有限公司","26--053","C2929","2021-04-02 12:01:47","勒20210054","广东省佛山市顺德区勒流街道冲鹤村富安工业区11-1-3号地块之二","","1","1","1","2","1","1","15","A_数据库候选完整链"
"1d6674ac-4f46-4e2f-852a-39e966e241d0","佛山市瑞莆软胶制品有限公司年产聚氨酯制品30万个新建项目","佛山市瑞莆软胶制品有限公司","47","C2924","2020-10-23 9:45:14","杏20200370","广东省佛山市顺德区杏坛镇高赞村委会二环路8号顺德智富园33栋701、702","","1","1","1","1","1","1","15","A_数据库候选完整链"
"b0e59fd7-bc21-40d8-b6b1-fbb6f9e32caf","佛山市顺德区鑫粤翔印刷有限公司新建项目","佛山市顺德区鑫粤翔印刷有限公司","47","C2929","2020-04-17 14:27:17","勒20200080","佛山市顺德区勒流街道支流北岸片D-XB-02-02-04-02号地块（顺德光电产业园东侧）A栋4楼","","1","1","1","1","1","1","15","A_数据库候选完整链"
"7d01b9a4-7402-4be0-98a9-39b4c2e4eaf8","佛山市顺德区美讯塑料餐具包装制品有限公司年产小塑料袋60吨新建项目","佛山市顺德区美讯塑料餐具包装制品有限公司","47","C2921","2019-09-27 10:41:19","勒20190317","佛山市顺德区勒流众涌村众裕北路一街东一巷3号之一","","1","1","1","1","3","2","15","A_数据库候选完整链"
"2a37212d-7d57-41cf-993d-b87d8cf1c680","佛山市巨仁塑胶制品有限公司年产装饰条70吨新建项目","佛山市巨仁塑胶制品有限公司","47","C2922","2019-08-13 11:38:12","勒20190271","佛山市顺德区勒流街道众涌村众裕北一街西三巷2号","","1","1","1","1","1","1","15","A_数据库候选完整链"
"4e974fa3-be3c-4004-922f-f7d1e444e0e4","顺德区勒流兴联泰塑胶制品厂年产PE复合膜600吨新建项目","顺德区勒流兴联泰塑胶制品厂","47","C2921","2019-06-27 9:02:25","勒20190213","佛山市顺德区勒流街道街道办事处富裕村委会富涌路16号","","1","1","1","1","1","1","15","A_数据库候选完整链"
"c40f3065-3c59-46ae-9f11-03088489d07e","佛山市顺德区勒流美毅塑胶颜料厂年产色母60吨新建项目","佛山市顺德区勒流美毅塑胶颜料厂","47","C2929","2018-12-29 16:39:56","勒20190024","佛山市顺德区勒流富安工业区5号之二","","1","1","1","1","1","1","15","A_数据库候选完整链"
"1b20901e-7a9a-48bd-a6d3-2379895c0482","佛山市智鑫塑胶制品有限公司年产家电塑料配件80吨新建项目","佛山市智鑫塑胶制品有限公司","47","C2929","2018-07-24 10:50:35","勒20180411","佛山市顺德区勒流街道建设工业五路25号之一","","1","1","1","1","2","1","15","A_数据库候选完整链"
"feba4815-e761-4b14-8823-48a1bf4b00b9","佛山市顺德区志信塑胶制品有限公司年产空调塑料配件150万件新建项目","佛山市顺德区志信塑胶制品有限公司","47","C2929","2018-07-05 17:14:06","北20180196","佛山市顺德区北滘镇碧江坤洲工业区群力路9号之二","","1","1","1","1","1","1","15","A_数据库候选完整链"
"6f4f0b2c-0e27-4185-8324-80cca7877162","佛山市英邦包装材料有限公司新建项目","佛山市英邦包装材料有限公司","47","C2924","2018-05-31 10:53:51","龙20180179","佛山市顺德区龙江镇官田北路4号第一厂房一至二楼","","1","1","1","1","1","1","15","A_数据库候选完整链"
"2b508bf7-d3ce-41f1-a8c6-d10f004ffc53","佛山市骐腾塑胶五金有限公司新建项目","佛山市骐腾塑胶五金有限公司","47","C2929","2018-05-24 16:25:31","杏20180144","佛山市顺德区杏坛镇光华村百安路光华大草寨工业区03F","","1","1","1","1","1","1","15","A_数据库候选完整链"
"6000076c-6c00-4b5e-9b6f-5b96a951219b","佛山市溢能新材料有限公司年产聚乙烯薄膜570吨新建项目","佛山市溢能新材料有限公司","47","C2921","2018-05-24 16:24:47","杏20180143","佛山市顺德区杏坛镇七滘工业园光华区三路1号之第1厂房","","1","1","1","1","1","1","15","A_数据库候选完整链"
